reference_id,scope,production_method_id,production_method_group,building_ids,file,line_or_block,gate_type,gate_expression,technology_id,technology_category,technology_era,technology_status,vanilla_requirement,mod_requirement,vanilla_mod_relationship,hidden_alias,pm_role,frozen_target,frozen_target_source,design_status,notes
PMTG-0001,EFFECTIVE_VANILLA,pm_aeroplane_production,pmg_aeroplanes,building_automotive_industry,common/production_methods/01_industry.txt,2221,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { military_aviation },military_aviation,military,era_10,VISIBLE_POST1836,unlocking_technologies = { military_aviation },INHERITED_FROM_VANILLA: unlocking_technologies = { military_aviation },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0002,EFFECTIVE_VANILLA,pm_airship_mooring_post,pmg_airship_mooring_post,building_skyscraper,common/production_methods/07_government.txt,348,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { zeppelins },zeppelins,society,era_10,VISIBLE_POST1836,unlocking_technologies = { zeppelins },INHERITED_FROM_VANILLA: unlocking_technologies = { zeppelins },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0003,EFFECTIVE_VANILLA,pm_market_squares,pmg_amenities,building_urban_center,common/production_methods/06_urban_center.txt,20,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { urban_planning },urban_planning,society,era_7,HIDDEN_COMPATIBILITY_ALIAS,unlocking_technologies = { urban_planning },INHERITED_FROM_VANILLA: unlocking_technologies = { urban_planning },INHERITED_VANILLA,YES,INTERMEDIATE_PM,,,DESIGN_REVIEW_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0004,EFFECTIVE_VANILLA,pm_covered_markets,pmg_amenities,building_urban_center,common/production_methods/06_urban_center.txt,40,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { steel_frame_buildings },steel_frame_buildings,society,era_9,VISIBLE_POST1836,unlocking_technologies = { steel_frame_buildings },INHERITED_FROM_VANILLA: unlocking_technologies = { steel_frame_buildings },INHERITED_VANILLA,NO,INTERMEDIATE_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0005,EFFECTIVE_VANILLA,pm_arcades,pmg_amenities,building_urban_center,common/production_methods/06_urban_center.txt,61,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { elevator },elevator,society,era_9,VISIBLE_POST1836,unlocking_technologies = { elevator },INHERITED_FROM_VANILLA: unlocking_technologies = { elevator },INHERITED_VANILLA,NO,ADVANCED_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0006,EFFECTIVE_VANILLA,pm_rotary_valve_engine_building_arms_industry,pmg_automation_building_arms_industry,building_arms_industry;building_artillery_foundry,common/production_methods/01_industry.txt,2538,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { rotary_valve_engine },rotary_valve_engine,production,era_8,VISIBLE_POST1836,unlocking_technologies = { rotary_valve_engine },INHERITED_FROM_VANILLA: unlocking_technologies = { rotary_valve_engine },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0007,EFFECTIVE_VANILLA,pm_assembly_lines_building_arms_industry,pmg_automation_building_arms_industry,building_arms_industry;building_artillery_foundry,common/production_methods/01_industry.txt,2562,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { conveyors },conveyors,production,era_10,VISIBLE_POST1836,unlocking_technologies = { conveyors },INHERITED_FROM_VANILLA: unlocking_technologies = { conveyors },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0008,EFFECTIVE_VANILLA,pm_assembly_lines_building_automotive_industry,pmg_automation_building_automotive_industry,building_automotive_industry,common/production_methods/01_industry.txt,1889,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { conveyors },conveyors,production,era_10,VISIBLE_POST1836,unlocking_technologies = { conveyors },INHERITED_FROM_VANILLA: unlocking_technologies = { conveyors },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0009,EFFECTIVE_VANILLA,pm_automated_bakery,pmg_automation_building_food_industry,building_food_industry,common/production_methods/01_industry.txt,258,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { dough_rollers },dough_rollers,production,era_12,VISIBLE_POST1836,unlocking_technologies = { dough_rollers },INHERITED_FROM_VANILLA: unlocking_technologies = { dough_rollers },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0010,EFFECTIVE_VANILLA,pm_watertube_boiler_building_furniture_manufactory,pmg_automation_building_furniture_manufactory,building_furniture_manufactory,common/production_methods/01_industry.txt,632,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { watertube_boiler },watertube_boiler,production,era_7,VISIBLE_POST1836,unlocking_technologies = { watertube_boiler },INHERITED_FROM_VANILLA: unlocking_technologies = { watertube_boiler },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0011,EFFECTIVE_VANILLA,pm_rotary_valve_engine_building_furniture_manufactory,pmg_automation_building_furniture_manufactory,building_furniture_manufactory,common/production_methods/01_industry.txt,662,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { rotary_valve_engine },rotary_valve_engine,production,era_8,VISIBLE_POST1836,unlocking_technologies = { rotary_valve_engine },INHERITED_FROM_VANILLA: unlocking_technologies = { rotary_valve_engine },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0012,EFFECTIVE_VANILLA,pm_assembly_lines_building_furniture_manufactory,pmg_automation_building_furniture_manufactory,building_furniture_manufactory,common/production_methods/01_industry.txt,692,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { conveyors },conveyors,production,era_10,VISIBLE_POST1836,unlocking_technologies = { conveyors },INHERITED_FROM_VANILLA: unlocking_technologies = { conveyors },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0013,EFFECTIVE_VANILLA,pm_watertube_boiler_building_motor_industry,pmg_automation_building_motor_industry,building_motor_industry,common/production_methods/01_industry.txt,1807,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { watertube_boiler },watertube_boiler,production,era_7,VISIBLE_POST1836,unlocking_technologies = { watertube_boiler },INHERITED_FROM_VANILLA: unlocking_technologies = { watertube_boiler },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0014,EFFECTIVE_VANILLA,pm_rotary_valve_engine_building_motor_industry,pmg_automation_building_motor_industry,building_motor_industry,common/production_methods/01_industry.txt,1834,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { rotary_valve_engine },rotary_valve_engine,production,era_8,VISIBLE_POST1836,unlocking_technologies = { rotary_valve_engine },INHERITED_FROM_VANILLA: unlocking_technologies = { rotary_valve_engine },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0015,EFFECTIVE_VANILLA,pm_assembly_lines_building_motor_industry,pmg_automation_building_motor_industry,building_motor_industry,common/production_methods/01_industry.txt,1860,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { conveyors },conveyors,production,era_10,VISIBLE_POST1836,unlocking_technologies = { conveyors },INHERITED_FROM_VANILLA: unlocking_technologies = { conveyors },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0016,EFFECTIVE_VANILLA,pm_rotary_valve_engine_building_munition_plant,pmg_automation_building_munition_plant,building_munition_plant,common/production_methods/01_industry.txt,2649,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { rotary_valve_engine },rotary_valve_engine,production,era_8,VISIBLE_POST1836,unlocking_technologies = { rotary_valve_engine },INHERITED_FROM_VANILLA: unlocking_technologies = { rotary_valve_engine },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0017,EFFECTIVE_VANILLA,pm_assembly_lines_building_munition_plant,pmg_automation_building_munition_plant,building_munition_plant,common/production_methods/01_industry.txt,2673,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { conveyors },conveyors,production,era_10,VISIBLE_POST1836,unlocking_technologies = { conveyors },INHERITED_FROM_VANILLA: unlocking_technologies = { conveyors },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
PMTG-0018,EFFECTIVE_VANILLA,pm_watertube_boiler_building_paper_mill,pmg_automation_building_paper_mill,building_paper_mill,common/production_methods/01_industry.txt,1190,UNLOCKING_TECHNOLOGIES,unlocking_technologies = { watertube_boiler },watertube_boiler,production,era_7,VISIBLE_POST1836,unlocking_technologies = { watertube_boiler },INHERITED_FROM_VANILLA: unlocking_technologies = { watertube_boiler },INHERITED_VANILLA,NO,AUTOMATION_PM,,,NO_TRANSFER_REQUIRED,Expanded per effective PMG; no mod override.
