object_type,object_id,source_vanilla_file,override_mod_file,old_technology,new_technology,frozen_source,expanded_relation_count,non_gate_fields_identical,status,notes
BUILDING,building_university,common/buildings/07_government.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,academia,institutionalized_scientific_exchange,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_government_administration,common/buildings/07_government.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,tech_bureaucracy,systematic_administrative_statistics,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_naval_administration,common/buildings/05_military.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,admiralty,state_dockyard_systems,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_barrack,common/buildings/05_military.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,standing_army,corps_organization,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_arms_industry,common/buildings/01_industry.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,gunsmithing,regulated_small_arms,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_artillery_foundry,common/buildings/01_industry.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,gunsmithing,regulated_small_arms,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_chemical_plant,common/buildings/01_industry.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,intensive_agriculture,industrial_acids,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_explosives_factory,common/buildings/01_industry.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,intensive_agriculture,industrial_acids,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_food_industry,common/buildings/01_industry.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,manufacturies,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_furniture_manufactory,common/buildings/01_industry.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,manufacturies,interchangeable_manufacture,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_glassworks,common/buildings/01_industry.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,manufacturies,pressed_glass,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_paper_mill,common/buildings/01_industry.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,manufacturies,continuous_papermaking,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_textile_mill,common/buildings/01_industry.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,manufacturies,mechanized_weaving,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
BUILDING,building_tooling_workshop,common/buildings/01_industry.txt,common/buildings/99_tech5b1_frozen_technology_gate_overrides.txt,manufacturies,mechanical_tools,docs/reports/technology/TECH2H_VANILLA_SPLIT_UNLOCK_MATRIX.csv,1,YES,IMPLEMENTED_FROZEN_TRANSFER,Full Vanilla 1.13.9 definition copied; only unlocking_technologies gate value changed.
