source_alias,object_type,object_id,production_method_group,building_id,current_requirement,design_status,notes
dialectics,PRODUCTION_METHOD,pm_philosophy_department,pmg_base_building_university,building_university,unlocking_technologies = { dialectics },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_banana_plantation,NOT_APPLICABLE,building_banana_plantation,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_coffee_plantation,NOT_APPLICABLE,building_coffee_plantation,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_cotton_plantation,NOT_APPLICABLE,building_cotton_plantation,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_dye_plantation,NOT_APPLICABLE,building_dye_plantation,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_livestock_ranch,NOT_APPLICABLE,building_livestock_ranch,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_maize_farm,NOT_APPLICABLE,building_maize_farm,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_millet_farm,NOT_APPLICABLE,building_millet_farm,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_opium_plantation,NOT_APPLICABLE,building_opium_plantation,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_rice_farm,NOT_APPLICABLE,building_rice_farm,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_rye_farm,NOT_APPLICABLE,building_rye_farm,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_silk_plantation,NOT_APPLICABLE,building_silk_plantation,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_sugar_plantation,NOT_APPLICABLE,building_sugar_plantation,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_tea_plantation,NOT_APPLICABLE,building_tea_plantation,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_tobacco_plantation,NOT_APPLICABLE,building_tobacco_plantation,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_vineyard,NOT_APPLICABLE,building_vineyard,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
enclosure,BUILDING,building_wheat_farm,NOT_APPLICABLE,building_wheat_farm,unlocking_technologies = { enclosure },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
hydraulic_cranes,PRODUCTION_METHOD,pm_trade_center_trade_quantity_high,pmg_trade_quantity_trade_center,building_trade_center,unlocking_technologies = { hydraulic_cranes },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
lathe,PRODUCTION_METHOD,pm_dye_workshops,pmg_base_building_textile_mill,building_textile_mill,unlocking_technologies = { lathe },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
lathe,PRODUCTION_METHOD,pm_lathe,pmg_base_building_furniture_manufactory,building_furniture_manufactory,unlocking_technologies = { lathe },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
lathe,PRODUCTION_METHOD,pm_leaded_glass,pmg_base_building_glassworks,building_glassworks,unlocking_technologies = { lathe },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
screw_frigate,PRODUCTION_METHOD,pm_complex_shipbuilding,pmg_base_building_shipyard,building_shipyard,unlocking_technologies = { screw_frigate },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
screw_frigate,PRODUCTION_METHOD,pm_military_shipbuilding_wooden_2,pmg_military_base,NONE_RESOLVED,unlocking_technologies = { screw_frigate },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
urban_planning,PRODUCTION_METHOD,pm_iron_frame_buildings,pmg_base_building_construction_sector,building_construction_sector,unlocking_technologies = { urban_planning },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
urban_planning,PRODUCTION_METHOD,pm_market_squares,pmg_amenities,building_urban_center,unlocking_technologies = { urban_planning },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
urbanization,BUILDING,building_construction_sector,NOT_APPLICABLE,building_construction_sector,unlocking_technologies = { urbanization },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
urbanization,BUILDING,building_urban_center,NOT_APPLICABLE,building_urban_center,unlocking_technologies = { urbanization },DESIGN_REVIEW_REQUIRED,No explicit frozen object-specific destination; do not infer.
