CATEGORY,ID,FILE,PARENT_OBJECT,BUILDING_GROUP,PMG,TECH_GATE,INPUTS,OUTPUTS,VANILLA_OR_CUSTOM,COMPATIBILITY_1_13_9,NOTES
GOOD,salt,common/goods/lagab_goods.txt,NONE,NONE,NONE,NONE,NONE,"salt good; cost=30; category=staple; traded_quantity=10; prestige_factor=5; consumption_tax_cost=200; convoy_cost_multiplier=0.5",NEW_LA_GABELLE_ID,YES,"texture=gfx/interface/icons/goods_icons/salt.dds; default tradeable=yes; default local=no; default fixed_price=no; no obsession/taboo"
BUILDING,building_salt_mine,common/buildings/04_lagab_buildings.txt,salt,bg_mining,NONE,shaft_mining,NONE,salt,NEW_LA_GABELLE_ID,PARTIAL,"mine; construction_cost_medium; terrain_manipulator=mining; ownership_type=self; infrastructure=2 inherited; current group is not discoverable_resource"
BUILDING,building_salt_pan,common/buildings/09_lagab_misc_resource.txt,salt,bg_mining,NONE,NONE,NONE,salt,NEW_LA_GABELLE_ID,YES,"port city type; coastal potential; construction_cost_medium; ownership_type=self; infrastructure=2 inherited; no terrain manipulator"
PMG,pmg_mining_equipment_building_salt_mine,common/production_method_groups/lagab_pmgs.txt,building_salt_mine,bg_mining,pmg_mining_equipment_building_salt_mine,NONE,NONE,NONE,NEW_LA_GABELLE_ID,YES,"4 equipment PMs"
PMG,pmg_explosives_building_salt_mine,common/production_method_groups/lagab_pmgs.txt,building_salt_mine,bg_mining,pmg_explosives_building_salt_mine,NONE,NONE,NONE,NEW_LA_GABELLE_ID,YES,"2 custom explosives PMs plus unchanged vanilla pm_no_explosives"
PMG,pmg_steam_automation_building_salt_mine,common/production_method_groups/lagab_pmgs.txt,building_salt_mine,bg_mining,pmg_steam_automation_building_salt_mine,NONE,NONE,NONE,NEW_LA_GABELLE_ID,YES,"unchanged vanilla no-automation and steam-donkey PMs"
PMG,pmg_train_automation_building_salt_mine,common/production_method_groups/lagab_pmgs.txt,building_salt_mine,bg_mining,pmg_train_automation_building_salt_mine,NONE,NONE,NONE,NEW_LA_GABELLE_ID,YES,"unchanged vanilla road-cart and rail-transport PMs"
PMG,pmg_base_building_salt_pan,common/production_method_groups/lagab_pmgs.txt,building_salt_pan,bg_mining,pmg_base_building_salt_pan,NONE,NONE,NONE,NEW_LA_GABELLE_ID,YES,"one fixed-output PM"
PM,pm_picks_and_shovels_building_salt_mine,common/production_methods/lagab_pms.txt,building_salt_mine,bg_mining,pmg_mining_equipment_building_salt_mine,NONE,tools=2,salt=20,NEW_LA_GABELLE_ID,YES,"shopkeepers=500; laborers=4500"
PM,pm_atmospheric_engine_pump_building_salt_mine,common/production_methods/lagab_pms.txt,building_salt_mine,bg_mining,pmg_mining_equipment_building_salt_mine,atmospheric_engine,"tools=5; coal=10",salt=35,NEW_LA_GABELLE_ID,YES,"shopkeepers=500; laborers=3750; machinists=500; engineers=250; pollution=5"
