"STATE_REGION","RESOURCE_TYPE","LA_GABELLE_TOTAL","KNOWN_1776","HIDDEN_DISCOVERABLE","CLASSIFICATION","HISTORICAL_STATUS_1776","SOURCE_1","SOURCE_2","CONFIDENCE","STARTING_BUILDING_LEVEL","STARTING_OWNER_1776","REQUIRED_TECH","OWNER_HAS_REQUIRED_TECH","NOTES"
"STATE_CALIFORNIA","building_salt_pan","60","60","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_BAJA_CALIFORNIA","building_salt_pan","55","55","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SONORA","building_salt_pan","45","45","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SINALOA","building_salt_pan","40","40","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_JALISCO","building_salt_pan","30","30","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","1","SC1","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_GUERRERO","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_GUATEMALA","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_SAN_SALVADOR","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_CHIAPAS","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_NICARAGUA","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_PANAMA","building_salt_pan","20","20","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_RIO_GRANDE_DO_NORTE","building_salt_pan","40","40","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","1","BRZ","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_BAHIA","building_salt_pan","35","35","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_RIO_DE_JANEIRO","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
"STATE_ECUADOR","building_salt_pan","25","25","0","VISIBLE_SALT_PAN","Surface/coastal saline retained fully visible","docs/reports/technology/TECH6A1_LA_GABELLE_SALT_RESOURCE_MAP.csv","common/history/states/lagab_states.txt","HIGH_GEOGRAPHY","0","","NONE","N/A_NO_GATE","Exact La Gabelle potential; no hidden amount. Curated start only where level > 0."
