society_tech_id,era,technology_origin,current_direct_effects,vanilla_predecessor_or_source,responsibility_domain,target_object_type,target_object_id,current_effective_gate_or_hook,expected_target_tech,status,proposed_action,source_vanilla_tech,exact_modifier_key,vanilla_value,current_effective_holder,intended_target_tech,redistribution_status,justification,exact_source_path,exact_future_target_path,required_override_architecture,evidence,design_authority,notes,post_tech6b3d_authoritative_update
institutionalized_scientific_exchange,era_1,VANILLA_SPLIT,NONE,academia;empiricism,technology_coverage,technology_audit,institutionalized_scientific_exchange,definition=institutionalized_scientific_exchange,institutionalized_scientific_exchange,TRANSFER_REQUIRED,AUDIT_FROZEN_FOR_TECH6B2,,,,,institutionalized_scientific_exchange,SPLIT_RESPONSIBILITY,Exact assigned responsibilities appear in dedicated rows.,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,Active Era I-VI Society definition at HEAD ed8351d5.,TECH3A_IMPLEMENTED_TECH_INDEX.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;30_tech3a_society.txt,,
international_relations,era_1,VANILLA_KEEP,NONE,international_relations,technology_coverage,technology_audit,international_relations,definition=international_relations,international_relations,KEEP_CURRENT,NO_CHANGE,,,,,international_relations,KEEP_ON_CURRENT_TECH,Preserved ID/current definition keeps demonstrated responsibilities.,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,Active Era I-VI Society definition at HEAD ed8351d5.,TECH3A_IMPLEMENTED_TECH_INDEX.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;30_tech3a_society.txt,,
institutionalized_public_credit,era_1,VANILLA_SPLIT,NONE,banking;central_banking,technology_coverage,technology_audit,institutionalized_public_credit,definition=institutionalized_public_credit,institutionalized_public_credit,TRANSFER_REQUIRED,AUDIT_FROZEN_FOR_TECH6B2,,,,,institutionalized_public_credit,SPLIT_RESPONSIBILITY,Exact assigned responsibilities appear in dedicated rows.,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,Active Era I-VI Society definition at HEAD ed8351d5.,TECH3A_IMPLEMENTED_TECH_INDEX.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;30_tech3a_society.txt,,
stock_exchange,era_1,VANILLA_MERGE,state_market_access_price_impact=0.1,corporate_charters;joint_stock_companies;stock_exchange,technology_coverage,technology_audit,stock_exchange,definition=stock_exchange,stock_exchange,TRANSFER_REQUIRED,AUDIT_FROZEN_FOR_TECH6B2,,,,,stock_exchange,SPLIT_RESPONSIBILITY,Exact assigned responsibilities appear in dedicated rows.,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,Active Era I-VI Society definition at HEAD ed8351d5.,TECH3A_IMPLEMENTED_TECH_INDEX.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;30_tech3a_society.txt,,
commercial_insurance_markets,era_1,VANILLA_SPLIT,NONE,international_trade,technology_coverage,technology_audit,commercial_insurance_markets,definition=commercial_insurance_markets,commercial_insurance_markets,TRANSFER_REQUIRED,AUDIT_FROZEN_FOR_TECH6B2,,,,,commercial_insurance_markets,SPLIT_RESPONSIBILITY,Exact assigned responsibilities appear in dedicated rows.,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,Active Era I-VI Society definition at HEAD ed8351d5.,TECH3A_IMPLEMENTED_TECH_INDEX.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;30_tech3a_society.txt,,
periodical_print_networks,era_1,VANILLA_SPLIT,NONE,mass_communication,technology_coverage,technology_audit,periodical_print_networks,definition=periodical_print_networks,periodical_print_networks,TRANSFER_REQUIRED,AUDIT_FROZEN_FOR_TECH6B2,,,,,periodical_print_networks,SPLIT_RESPONSIBILITY,Exact assigned responsibilities appear in dedicated rows.,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,Active Era I-VI Society definition at HEAD ed8351d5.,TECH3A_IMPLEMENTED_TECH_INDEX.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;30_tech3a_society.txt,,
systematic_administrative_statistics,era_2,VANILLA_SPLIT,NONE,central_archives;tech_bureaucracy,technology_coverage,technology_audit,systematic_administrative_statistics,definition=systematic_administrative_statistics,systematic_administrative_statistics,TRANSFER_REQUIRED,AUDIT_FROZEN_FOR_TECH6B2,,,,,systematic_administrative_statistics,SPLIT_RESPONSIBILITY,Exact assigned responsibilities appear in dedicated rows.,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,Active Era I-VI Society definition at HEAD ed8351d5.,TECH3A_IMPLEMENTED_TECH_INDEX.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;30_tech3a_society.txt,,
variolation_networks,era_2,NEW_CUSTOM,NONE,NONE,technology_coverage,technology_audit,variolation_networks,definition=variolation_networks,variolation_networks,STRUCTURAL_ONLY,NO_ACTION_REQUIRED,,,,,variolation_networks,NOT_APPLICABLE_NO_DIRECT_EFFECT,No exact vanilla object or effect is demonstrated; the node remains a structural prerequisite for vaccination and no synthetic event/bonus is created.,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,No exact vanilla object or effect is demonstrated; the node remains a structural prerequisite for vaccination and no synthetic event/bonus is created.,TECH_SOCIETY_1700_1836_V1.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;effective HEAD,TECH6B1-R final design resolution: no gameplay invented.,
codified_practical_knowledge,era_3,VANILLA_SPLIT,NONE,rationalism,technology_coverage,technology_audit,codified_practical_knowledge,definition=codified_practical_knowledge,codified_practical_knowledge,TRANSFER_REQUIRED,AUDIT_FROZEN_FOR_TECH6B2,,,,,codified_practical_knowledge,SPLIT_RESPONSIBILITY,"Exact law, JE and TECH5 PM responsibilities are recorded below.",common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,Active Era I-VI Society definition at HEAD ed8351d5.,TECH3A_IMPLEMENTED_TECH_INDEX.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;30_tech3a_society.txt,,
political_economy,era_3,NEW_CUSTOM,NONE,NONE,technology_coverage,technology_audit,political_economy,definition=political_economy,political_economy,STRUCTURAL_ONLY,NO_ACTION_REQUIRED,,,,,political_economy,NOT_APPLICABLE_NO_DIRECT_EFFECT,No exact vanilla gameplay responsibility is demonstrated; no synthetic bonus is warranted.,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,Active Era I-VI Society definition at HEAD ed8351d5.,TECH3A_IMPLEMENTED_TECH_INDEX.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;30_tech3a_society.txt,,
specialized_technical_academies,era_3,NEW_CUSTOM,NONE,NONE,technology_coverage,technology_audit,specialized_technical_academies,definition=specialized_technical_academies,specialized_technical_academies,STRUCTURAL_ONLY,NO_ACTION_REQUIRED,,,,,specialized_technical_academies,NOT_APPLICABLE_NO_DIRECT_EFFECT,No exact vanilla gameplay responsibility is demonstrated; no synthetic bonus is warranted.,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,NO_CHANGE,Active Era I-VI Society definition at HEAD ed8351d5.,TECH3A_IMPLEMENTED_TECH_INDEX.csv;TECH_TREE_1700_1836_INTEGRATED_V1.csv;30_tech3a_society.txt,,
