relative_path,object_type,object_id,vanilla_11311_state,old_steam_state,current_steam_state,fork_current_state,steam_delta_type,steam_change_classification,new_or_updated_shadow,same_object_fork_collision,tech_tree_collision,vanilla_11311_collision,tree_requirement_collision,fork_status,proposed_action,exact_future_path,evidence,notes
.metadata/metadata.json,FILE,,ABSENT,PRESENT:8d3dc55d9d0499187cfc0ea067093a39,PRESENT:063f800c76fc0b8b63d9af36fde1151a,PRESENT:8206193f39962f1c32894cc474802450,MODIFIED,STEAM_UNKNOWN_INTENT,,FILE_SCOPE_REVIEW,NO,NO,NO,REQUIRES_MANUAL_RECONCILIATION,Diff changed objects and merge only useful semantics; preserve fork intent.,.metadata/metadata.json,XXH3 old=8d3dc55d9d0499187cfc0ea067093a39; current=063f800c76fc0b8b63d9af36fde1151a; fork=8206193f39962f1c32894cc474802450; vanilla=ABSENT.,Exact temporal comparison against local 2.3.0.1 snapshot.
.metadata/thumbnail.png,FILE,,ABSENT,PRESENT:77792db4019ae4556a1520cde5a57fc7,PRESENT:39132f463399816d9ce25881f9e9a8c2,PRESENT:3b99bfcfe29cb9d63876d30f4a6c37b8,MODIFIED,STEAM_UNKNOWN_INTENT,,FILE_SCOPE_REVIEW,NO,NO,NO,REQUIRES_MANUAL_RECONCILIATION,Diff changed objects and merge only useful semantics; preserve fork intent.,.metadata/thumbnail.png,XXH3 old=77792db4019ae4556a1520cde5a57fc7; current=39132f463399816d9ce25881f9e9a8c2; fork=3b99bfcfe29cb9d63876d30f4a6c37b8; vanilla=ABSENT.,Exact temporal comparison against local 2.3.0.1 snapshot.
Changelog.txt,FILE,,ABSENT,PRESENT:ee0f6ed98560cecb6e113c7525778a73,ABSENT,PRESENT:f71a683236f7e6274f5ee702f0520a24,REMOVED,STEAM_UNKNOWN_INTENT,,FILE_SCOPE_REVIEW,NO,NO,NO,REQUIRES_MANUAL_RECONCILIATION,Diff changed objects and merge only useful semantics; preserve fork intent.,Changelog.txt,XXH3 old=ee0f6ed98560cecb6e113c7525778a73; current=ABSENT; fork=f71a683236f7e6274f5ee702f0520a24; vanilla=ABSENT.,Exact temporal comparison against local 2.3.0.1 snapshot.
Source.txt,FILE,,ABSENT,PRESENT:6145135827994288965b8e56692ffba7,ABSENT,PRESENT:6145135827994288965b8e56692ffba7,REMOVED,STEAM_UNKNOWN_INTENT,,FILE_SCOPE_REVIEW,NO,NO,NO,REQUIRES_MANUAL_RECONCILIATION,Diff changed objects and merge only useful semantics; preserve fork intent.,Source.txt,XXH3 old=6145135827994288965b8e56692ffba7; current=ABSENT; fork=6145135827994288965b8e56692ffba7; vanilla=ABSENT.,Exact temporal comparison against local 2.3.0.1 snapshot.
common/ai_strategies/00_default_strategy.txt,FILE,,PRESENT:5771f5dfdbc7ad52870cd4e44101264a,ABSENT,PRESENT:3a2545e6ba8863c6b81a7345fc8fb909,PRESENT:877eda7baa998a42998f1c0b9cfe6e11,ADDED,STEAM_SHADOW_ARCHITECTURE_CHANGE,NEW_STEAM_SHADOW,FILE_SCOPE_REVIEW,NO,YES,NO,REQUIRES_MANUAL_RECONCILIATION,Diff changed objects and merge only useful semantics; preserve fork intent.,common/ai_strategies/00_default_strategy.txt,XXH3 old=ABSENT; current=3a2545e6ba8863c6b81a7345fc8fb909; fork=877eda7baa998a42998f1c0b9cfe6e11; vanilla=5771f5dfdbc7ad52870cd4e44101264a.,Exact temporal comparison against local 2.3.0.1 snapshot.
common/amendments/00_amendments_content_04.txt,FILE,,PRESENT:a6fcab07da8569eeec63056d813fc79f,PRESENT:1d7daecf8790d5b6c64822c8cb442b9d,PRESENT:193ae93f19b0102cea8530931bf84f6b,PRESENT:3dcb6da4903a58084a0851364f7d22bd,MODIFIED,STEAM_SHADOW_ARCHITECTURE_CHANGE,UPDATED_STEAM_SHADOW,FILE_SCOPE_REVIEW,NO,YES,NO,REQUIRES_MANUAL_RECONCILIATION,Diff changed objects and merge only useful semantics; preserve fork intent.,common/amendments/00_amendments_content_04.txt,XXH3 old=1d7daecf8790d5b6c64822c8cb442b9d; current=193ae93f19b0102cea8530931bf84f6b; fork=3dcb6da4903a58084a0851364f7d22bd; vanilla=a6fcab07da8569eeec63056d813fc79f.,Exact temporal comparison against local 2.3.0.1 snapshot.
common/amendments/00_amendments_historical_04.txt,FILE,,PRESENT:8b637f13d26f45d2b6e49d83e3083df6,PRESENT:8806902c9b65d7d2d8207711ed061af9,PRESENT:04e7916b84b5a02cd485dabf3e45164b,PRESENT:5a900f78874487ac4142564264b795a6,MODIFIED,STEAM_SHADOW_ARCHITECTURE_CHANGE,UPDATED_STEAM_SHADOW,FILE_SCOPE_REVIEW,NO,YES,NO,REQUIRES_MANUAL_RECONCILIATION,Diff changed objects and merge only useful semantics; preserve fork intent.,common/amendments/00_amendments_historical_04.txt,XXH3 old=8806902c9b65d7d2d8207711ed061af9; current=04e7916b84b5a02cd485dabf3e45164b; fork=5a900f78874487ac4142564264b795a6; vanilla=8b637f13d26f45d2b6e49d83e3083df6.,Exact temporal comparison against local 2.3.0.1 snapshot.
common/amendments/00_amendments_modded_76.txt,FILE,,ABSENT,PRESENT:fc8dd1d971ffe11a3ec27d1935075cd0,PRESENT:cc2bf02e3763ae3a8170c1e066bb6941,PRESENT:cc7d59ae35fbec1a517db0a11e0a17d0,MODIFIED,STEAM_UNKNOWN_INTENT,,FILE_SCOPE_REVIEW,NO,NO,NO,REQUIRES_MANUAL_RECONCILIATION,Diff changed objects and merge only useful semantics; preserve fork intent.,common/amendments/00_amendments_modded_76.txt,XXH3 old=fc8dd1d971ffe11a3ec27d1935075cd0; current=cc2bf02e3763ae3a8170c1e066bb6941; fork=cc7d59ae35fbec1a517db0a11e0a17d0; vanilla=ABSENT.,Exact temporal comparison against local 2.3.0.1 snapshot.
common/buildings/99_cleanup2e4_merchant_republic_monuments.txt,FILE,,ABSENT,ABSENT,PRESENT:afb163afb7db01ab72bee342715c279b,PRESENT:afb163afb7db01ab72bee342715c279b,ADDED,STEAM_UNKNOWN_INTENT,,NO,NO,NO,NO,ALREADY_PRESENT_IN_FORK,No port; current Steam bytes already present in fork.,common/buildings/99_cleanup2e4_merchant_republic_monuments.txt,XXH3 old=ABSENT; current=afb163afb7db01ab72bee342715c279b; fork=afb163afb7db01ab72bee342715c279b; vanilla=ABSENT.,Exact temporal comparison against local 2.3.0.1 snapshot.
common/character_templates/cleanup2c1b_company_executives.txt,FILE,,ABSENT,ABSENT,PRESENT:9f3ea282dfa1265896dac93446c97fc7,PRESENT:9f3ea282dfa1265896dac93446c97fc7,ADDED,STEAM_UNKNOWN_INTENT,,NO,NO,NO,NO,ALREADY_PRESENT_IN_FORK,No port; current Steam bytes already present in fork.,common/character_templates/cleanup2c1b_company_executives.txt,XXH3 old=ABSENT; current=9f3ea282dfa1265896dac93446c97fc7; fork=9f3ea282dfa1265896dac93446c97fc7; vanilla=ABSENT.,Exact temporal comparison against local 2.3.0.1 snapshot.
