hidden_tech_id,responsibility_type,country_or_effect,source_file,current_grant,recommended_successor_from_tech6b3e,reason_deferred,future_phase
academia,starting_technology_grant,c:ARG,common/history/countries/arg - argentina.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:AUS,common/history/countries/aus - austria.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:BEO,common/history/countries/beo - belgium old.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:BIC,common/history/countries/bic - british east india company.txt,add_technology_researched -> academia; occurrences=1; lines=7,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:BOL,common/history/countries/bol - bolivia.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:BRZ,common/history/countries/brz - brazil.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:CRO,common/history/countries/cro - croatia.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:DEN,common/history/countries/den - denmark.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:DENNOR,common/history/countries/dennor - denmark-norway.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:ECU,common/history/countries/ecu - ecuador.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:FRA,common/history/countries/fra - france.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:GAL,common/history/countries/gal - austrian poland.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:GBR,common/history/countries/gbr - great britain.txt,add_technology_researched -> academia; occurrences=1; lines=10,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:GEN,common/history/countries/gen - genoa.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:HAI,common/history/countries/hai - haiti.txt,add_technology_researched -> academia; occurrences=1; lines=9,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:HBC,common/history/countries/hbc - hubson bay company.txt,add_technology_researched -> academia; occurrences=1; lines=10,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:HBC,common/history/countries/hbc - hudson bay company.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:HUN,common/history/countries/hun - hungary.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:IR1,common/history/countries/ir1 - mamluk iraq.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:IREK,common/history/countries/irek - ireland.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:JAP,common/history/countries/jap - japan.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:LAN,common/history/countries/lan - lanfang.txt,add_technology_researched -> academia; occurrences=1; lines=8,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:LOU,common/history/countries/lou - louisiana.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:MEX,common/history/countries/mex - mexico.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:NBS,common/history/countries/nbs - new brunswick.txt,add_technology_researched -> academia; occurrences=1; lines=6,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:NET,common/history/countries/net - netherlands.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:NOR,common/history/countries/nor - norway.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:NVS,common/history/countries/nvs - nova scotia.txt,add_technology_researched -> academia; occurrences=1; lines=6,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:ONT,common/history/countries/ont - ontario.txt,add_technology_researched -> academia; occurrences=1; lines=6,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:ORG,common/history/countries/org -oregan.txt,add_technology_researched -> academia; occurrences=1; lines=10,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:PEU,common/history/countries/peu - Peru.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:POR,common/history/countries/por - portugal.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:PRG,common/history/countries/prg - Paraguay.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:PRU,common/history/countries/pru - prussia.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:QUE,common/history/countries/que - quebec.txt,add_technology_researched -> academia; occurrences=1; lines=6,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:SC1,common/history/countries/sc1 - colonial mexico.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:SC2,common/history/countries/sc2 - colonial colombia.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:SC3,common/history/countries/sc3 - colonial peru.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:SC4,common/history/countries/sc4 - colonial argentina.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:SPA,common/history/countries/spa - spain.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:SWE,common/history/countries/swe - sweden.txt,add_technology_researched -> academia; occurrences=1; lines=4,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:TRS,common/history/countries/trs - transylvania.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:TUR,common/history/countries/tur - ottoman empire.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
academia,starting_technology_grant,c:UCA,common/history/countries/uca - central america.txt,add_technology_researched -> academia; occurrences=1; lines=5,specialized_technical_academies,Historical or tier grant requires country-by-country reconciliation; no automatic successor grant is authorized.,TECH6B3G_STARTING_TECH_RECONCILIATION
