index,hidden_tech_id,grant_type,country_tag,country_name,tier_effect,source_file,effective_layer,current_grant,hidden_tech_era,tech6b3e_recommended_successor,successor_era,other_visible_starting_techs,historical_fit_1776,runtime_effect_if_alias_retained,duplicate_or_redundant,recommended_action,recommended_target_tech,recommended_target_era,confidence,human_review_required,historical_rationale,gameplay_rationale,source_evidence,notes
001,academia,DIRECT_COUNTRY,ARG,Argentina,,common/history/countries/arg - argentina.txt,mod,add_technology_researched -> academia; occurrences=1; lines=5,era_7,specialized_technical_academies,era_3,colonization;distillation;international_relations;shaft_mining,PARTIAL,NO: no non-starting runtime responsibility remains after TECH6B3F,NO,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,era_1,MEDIUM,NO,An explicit 1836 academia grant does not prove that Argentina had specialized technical academies on 1776-01-01; learned exchange is the safer early abstraction.,Retain a modest education/knowledge distinction without over-granting the era-3 specialized academy node.,D1;B3E,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity
002,academia,DIRECT_COUNTRY,AUS,Austria,,common/history/countries/aus - austria.txt,mod,add_technology_researched -> academia; occurrences=1; lines=4,era_7,specialized_technical_academies,era_3,distillation;international_relations;romanticism;shaft_mining,YES,NO: no non-starting runtime responsibility remains after TECH6B3F,NO,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,era_3,MEDIUM,NO,"Austria's explicit education grant can reasonably represent established technical, military, naval, or learned academies by 1776.",Preserve the explicit country differentiation with the visible era-3 owner rather than leaving an inert alias.,D1;H10;B3E,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity
003,academia,DIRECT_COUNTRY,BEO,Belgium (old setup),,common/history/countries/beo - belgium old.txt,mod,add_technology_researched -> academia; occurrences=1; lines=4,era_7,specialized_technical_academies,era_3,distillation;international_relations;shaft_mining,YES,NO: no non-starting runtime responsibility remains after TECH6B3F,NO,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,era_3,MEDIUM,NO,"Belgium (old setup)'s explicit education grant can reasonably represent established technical, military, naval, or learned academies by 1776.",Preserve the explicit country differentiation with the visible era-3 owner rather than leaving an inert alias.,D1;H10;B3E,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity
004,academia,DIRECT_COUNTRY,BIC,British East India Company,,common/history/countries/bic - british east india company.txt,mod,add_technology_researched -> academia; occurrences=1; lines=7,era_7,specialized_technical_academies,era_3,colonization;distillation;international_relations;shaft_mining,PARTIAL,NO: no non-starting runtime responsibility remains after TECH6B3F,NO,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,era_1,MEDIUM,NO,An explicit 1836 academia grant does not prove that British East India Company had specialized technical academies on 1776-01-01; learned exchange is the safer early abstraction.,Retain a modest education/knowledge distinction without over-granting the era-3 specialized academy node.,D1;B3E,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity
005,academia,DIRECT_COUNTRY,BOL,Bolivia,,common/history/countries/bol - bolivia.txt,mod,add_technology_researched -> academia; occurrences=1; lines=5,era_7,specialized_technical_academies,era_3,colonization;distillation;international_relations;shaft_mining,PARTIAL,NO: no non-starting runtime responsibility remains after TECH6B3F,NO,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,era_1,MEDIUM,NO,An explicit 1836 academia grant does not prove that Bolivia had specialized technical academies on 1776-01-01; learned exchange is the safer early abstraction.,Retain a modest education/knowledge distinction without over-granting the era-3 specialized academy node.,D1;B3E,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity
006,academia,DIRECT_COUNTRY,BRZ,Brazil,,common/history/countries/brz - brazil.txt,mod,add_technology_researched -> academia; occurrences=1; lines=5,era_7,specialized_technical_academies,era_3,colonization;distillation;international_relations;shaft_mining,PARTIAL,NO: no non-starting runtime responsibility remains after TECH6B3F,NO,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,era_1,MEDIUM,NO,An explicit 1836 academia grant does not prove that Brazil had specialized technical academies on 1776-01-01; learned exchange is the safer early abstraction.,Retain a modest education/knowledge distinction without over-granting the era-3 specialized academy node.,D1;B3E,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity
007,academia,DIRECT_COUNTRY,CRO,Croatia,,common/history/countries/cro - croatia.txt,mod,add_technology_researched -> academia; occurrences=1; lines=4,era_7,specialized_technical_academies,era_3,distillation;international_relations;shaft_mining,PARTIAL,NO: no non-starting runtime responsibility remains after TECH6B3F,NO,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,era_1,MEDIUM,NO,An explicit 1836 academia grant does not prove that Croatia had specialized technical academies on 1776-01-01; learned exchange is the safer early abstraction.,Retain a modest education/knowledge distinction without over-granting the era-3 specialized academy node.,D1;B3E,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity
008,academia,DIRECT_COUNTRY,DEN,Denmark,,common/history/countries/den - denmark.txt,mod,add_technology_researched -> academia; occurrences=1; lines=4,era_7,specialized_technical_academies,era_3,distillation;international_relations;shaft_mining,YES,NO: no non-starting runtime responsibility remains after TECH6B3F,NO,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,era_3,MEDIUM,NO,"Denmark's explicit education grant can reasonably represent established technical, military, naval, or learned academies by 1776.",Preserve the explicit country differentiation with the visible era-3 owner rather than leaving an inert alias.,D1;H10;B3E,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity
009,academia,DIRECT_COUNTRY,DENNOR,Denmark-Norway,,common/history/countries/dennor - denmark-norway.txt,mod,add_technology_researched -> academia; occurrences=1; lines=5,era_7,specialized_technical_academies,era_3,colonization;distillation;international_relations;shaft_mining,YES,NO: no non-starting runtime responsibility remains after TECH6B3F,NO,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,era_3,MEDIUM,NO,"Denmark-Norway's explicit education grant can reasonably represent established technical, military, naval, or learned academies by 1776.",Preserve the explicit country differentiation with the visible era-3 owner rather than leaving an inert alias.,D1;H10;B3E,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity
010,academia,DIRECT_COUNTRY,ECU,Ecuador,,common/history/countries/ecu - ecuador.txt,mod,add_technology_researched -> academia; occurrences=1; lines=5,era_7,specialized_technical_academies,era_3,colonization;distillation;international_relations;shaft_mining,PARTIAL,NO: no non-starting runtime responsibility remains after TECH6B3F,NO,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,era_1,MEDIUM,NO,An explicit 1836 academia grant does not prove that Ecuador had specialized technical academies on 1776-01-01; learned exchange is the safer early abstraction.,Retain a modest education/knowledge distinction without over-granting the era-3 specialized academy node.,D1;B3E,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity
