index,hidden_tech_id,grant_type,country_tag,tier_effect,source_file_before,effective_file_after,approved_action,approved_target,implementation_status,old_grant_after,target_grant_after_expansion,final_provider,expanded_duplicate_count,validation,notes
001,academia,DIRECT_COUNTRY,ARG,,common/history/countries/arg - argentina.txt,common/history/countries/arg - argentina.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
002,academia,DIRECT_COUNTRY,AUS,,common/history/countries/aus - austria.txt,common/history/countries/aus - austria.txt,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
003,academia,DIRECT_COUNTRY,BEO,,common/history/countries/beo - belgium old.txt,common/history/countries/beo - belgium old.txt,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
004,academia,DIRECT_COUNTRY,BIC,,common/history/countries/bic - british east india company.txt,common/history/countries/bic - british east india company.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
005,academia,DIRECT_COUNTRY,BOL,,common/history/countries/bol - bolivia.txt,common/history/countries/bol - bolivia.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
006,academia,DIRECT_COUNTRY,BRZ,,common/history/countries/brz - brazil.txt,common/history/countries/brz - brazil.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
007,academia,DIRECT_COUNTRY,CRO,,common/history/countries/cro - croatia.txt,common/history/countries/cro - croatia.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
008,academia,DIRECT_COUNTRY,DEN,,common/history/countries/den - denmark.txt,common/history/countries/den - denmark.txt,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
009,academia,DIRECT_COUNTRY,DENNOR,,common/history/countries/dennor - denmark-norway.txt,common/history/countries/dennor - denmark-norway.txt,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
010,academia,DIRECT_COUNTRY,ECU,,common/history/countries/ecu - ecuador.txt,common/history/countries/ecu - ecuador.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
011,academia,DIRECT_COUNTRY,FRA,,common/history/countries/fra - france.txt,common/history/countries/fra - france.txt,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
012,academia,DIRECT_COUNTRY,GAL,,common/history/countries/gal - austrian poland.txt,common/history/countries/gal - austrian poland.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
013,academia,DIRECT_COUNTRY,GBR,,common/history/countries/gbr - great britain.txt,common/history/countries/gbr - great britain.txt,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
014,academia,DIRECT_COUNTRY,GEN,,common/history/countries/gen - genoa.txt,common/history/countries/gen - genoa.txt,REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
015,academia,DIRECT_COUNTRY,HAI,,common/history/countries/hai - haiti.txt,common/history/countries/hai - haiti.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
016,academia,DIRECT_COUNTRY,HBC,,common/history/countries/hbc - hubson bay company.txt,common/history/countries/hbc - hudson bay company.txt,ALREADY_REPRESENTED_BY_OTHER_STARTING_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,START-01
017,academia,DIRECT_COUNTRY,HBC,,common/history/countries/hbc - hudson bay company.txt,common/history/countries/hbc - hudson bay company.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,START-01
018,academia,DIRECT_COUNTRY,HUN,,common/history/countries/hun - hungary.txt,common/history/countries/hun - hungary.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
019,academia,DIRECT_COUNTRY,IR1,,common/history/countries/ir1 - mamluk iraq.txt,common/history/countries/ir1 - mamluk iraq.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
020,academia,DIRECT_COUNTRY,IREK,,common/history/countries/irek - ireland.txt,common/history/countries/irek - ireland.txt,REPLACE_WITH_EARLIER_VISIBLE_TECH,institutionalized_scientific_exchange,IMPLEMENTED,0,1,DIRECT_OR_EXPANDED_TIER,0,PASS,
