"TECH_ID","CATEGORY","ERA","RAW_COST","AI_BASE_WEIGHT","AI_CONDITIONAL","CAN_RESEARCH","TEXTURE","SOURCE_FILE","LINE"
"sericulture","production","era_1","7500","1","False","no","gfx/interface/icons/invention_icons/sericulture.dds","common/technology/technologies/10_production.txt","3"
"enclosure","production","era_1","7500","3","False","yes(default)","gfx/interface/icons/invention_icons/enclosure.dds","common/technology/technologies/10_production.txt","19"
"manufacturies","production","era_1","7500","3","False","yes(default)","gfx/interface/icons/invention_icons/manufacturies.dds","common/technology/technologies/10_production.txt","30"
"shaft_mining","production","era_1","7500","2","False","yes(default)","gfx/interface/icons/invention_icons/shaft_mining.dds","common/technology/technologies/10_production.txt","42"
"cotton_gin","production","era_1","7500","1","False","yes(default)","gfx/interface/icons/invention_icons/cotton_gin.dds","common/technology/technologies/10_production.txt","58"
"lathe","production","era_1","7500","1","True","yes(default)","gfx/interface/icons/invention_icons/lathe.dds","common/technology/technologies/10_production.txt","76"
"distillation","production","era_1","7500","1","False","yes(default)","gfx/interface/icons/invention_icons/distillation.dds","common/technology/technologies/10_production.txt","101"
"steelworking","production","era_1","7500","1","True","yes(default)","gfx/interface/icons/invention_icons/steelworking.dds","common/technology/technologies/10_production.txt","118"
"prospecting","production","era_1","7500","1","False","yes(default)","gfx/interface/icons/invention_icons/prospecting_tech.dds","common/technology/technologies/10_production.txt","143"
"crystal_glass","production","era_2","10000","1","False","yes(default)","gfx/interface/icons/invention_icons/crystal_glass.dds","common/technology/technologies/10_production.txt","160"
"intensive_agriculture","production","era_2","10000","2","True","yes(default)","gfx/interface/icons/invention_icons/intensive_agriculture.dds","common/technology/technologies/10_production.txt","175"
"fractional_distillation","production","era_2","10000","1","False","yes(default)","gfx/interface/icons/invention_icons/fractional_distillation.dds","common/technology/technologies/10_production.txt","202"
"canneries","production","era_2","10000","1","False","yes(default)","gfx/interface/icons/invention_icons/canneries.dds","common/technology/technologies/10_production.txt","218"
"watertube_boiler","production","era_2","10000","1","False","yes(default)","gfx/interface/icons/invention_icons/watertube_boiler.dds","common/technology/technologies/10_production.txt","233"
"atmospheric_engine","production","era_2","10000","1","True","yes(default)","gfx/interface/icons/invention_icons/atmospheric_engine.dds","common/technology/technologies/10_production.txt","249"
"railways","production","era_2","10000","2","True","yes(default)","gfx/interface/icons/invention_icons/railways.dds","common/technology/technologies/10_production.txt","282"
"chemical_bleaching","production","era_2","10000","1","False","yes(default)","gfx/interface/icons/invention_icons/chemical_bleaching.dds","common/technology/technologies/10_production.txt","321"
"nitroglycerin","production","era_2","10000","1","False","yes(default)","gfx/interface/icons/invention_icons/nitroglycerin.dds","common/technology/technologies/10_production.txt","337"
"bessemer_process","production","era_2","10000","1","True","yes(default)","gfx/interface/icons/invention_icons/bessemer_process.dds","common/technology/technologies/10_production.txt","360"
"baking_powder","production","era_2","10000","1","False","yes(default)","gfx/interface/icons/invention_icons/baking_powder.dds","common/technology/technologies/10_production.txt","383"
"mechanized_workshops","production","era_2","10000","1","True","yes(default)","gfx/interface/icons/invention_icons/mechanized_workshops.dds","common/technology/technologies/10_production.txt","398"
"mechanical_tools","production","era_2","10000","1","False","yes(default)","gfx/interface/icons/invention_icons/mechanical_tools.dds","common/technology/technologies/10_production.txt","426"
"improved_fertilizer","production","era_3","12500","1","False","yes(default)","gfx/interface/icons/invention_icons/improved_fertilizer.dds","common/technology/technologies/10_production.txt","444"
"steam_donkey","production","era_3","12500","1","True","yes(default)","gfx/interface/icons/invention_icons/steam_donkey.dds","common/technology/technologies/10_production.txt","460"
"dynamite","production","era_3","12500","1","False","yes(default)","gfx/interface/icons/invention_icons/dynamite.dds","common/technology/technologies/10_production.txt","486"
"rubber_mastication","production","era_3","12500","1","True","yes(default)","gfx/interface/icons/invention_icons/rubber.dds","common/technology/technologies/10_production.txt","508"
