TAG,Country,Highest eras by category,Explicit count,Generic source,Anachronism count,Missing prerequisite count,Priority,Region,Explicit technologies,Starting anachronisms,Missing prerequisite details,Compatibility exception,Source file
ABB,Arab Emirates,production=1;military=0;society=0,0,tier_6,0,0,P3,Arabia,,,,,common/history/countries/abb - abu dhabi decentralized.txt
ABS,Absaroka,production=1;military=0;society=0,0,tier_6,0,0,P3,Great Plains,,,,,C:\Games\Victoria 3\game\common\history\countries\abs - absaroka.txt
ABU,Trucial States,production=1;military=3;society=2,0,tier_4,0,3,P1,Arabia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\abu - abu dhabi.txt
ACE,Aceh,production=1;military=3;society=2,0,tier_4,0,3,P1,Indonesia,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\ace - aceh.txt
ACH,Acholi,production=0;military=0;society=0,0,tier_7,0,0,P3,East Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\ach - acholi.txt
ADG,Kel Adagh,production=1;military=0;society=0,0,tier_6,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\adg - adagh.txt
ADR,Adrar,production=1;military=0;society=0,0,tier_6,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\adr - adrar.txt
AGC,Angoche,production=1;military=0;society=2,1,tier_5,0,2,P2,East Africa,international_relations,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks",,common/history/countries/agc -angoche.txt
AHG,Kel Ahaggar,production=1;military=0;society=0,0,tier_6,0,0,P3,North Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\ahg - ahaggar.txt
AIN,Ainu Mosir,production=0;military=0;society=0,0,tier_7,0,0,P3,Northeast Asia,,,,,C:\Games\Victoria 3\game\common\history\countries\ain - ainu.txt
AIR,Kel Air,production=1;military=0;society=0,0,tier_6,0,0,P3,West Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\air - air.txt
AIT,Ait Abbas,production=1;military=3;society=2,0,tier_4,0,3,P1,North Africa,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\ait - ait abbas.txt
AJJ,Kel Ajjer,production=1;military=0;society=0,0,tier_6,0,0,P3,North Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\ajj - ajjer.txt
AJR,Ajuran,production=1;military=0;society=0,0,tier_6,0,0,P3,East Africa,,,,,C:\Games\Victoria 3\game\common\history\countries\ajr - ajuran.txt
ALK,Alaska,production=1;military=3;society=2,0,tier_4,0,3,P1,Pacific Coast,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/alk - alyaska.txt
ALW,Alwar,production=1;military=3;society=2,0,tier_4,0,3,P1,North India,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,C:\Games\Victoria 3\game\common\history\countries\alw - alwar.txt
ANH,Anhalt,production=1;military=3;society=2,0,tier_4,0,3,P1,Central Europe,,,"codified_practical_knowledge <- institutionalized_scientific_exchange,periodical_print_networks | regulated_small_arms <- scientific_fortification_siegecraft",,common/history/countries/anh - anhalt.txt
