TAG,Country,Region,Research_Status,Current_Technology_Count,Historical_Target_Count,Add_Count_vs_Local,Remove_Count_vs_Local,Unresolved_Count,Tree_Blocker_Count,Classification_Blocker_Count,Historical_Target_Technologies,Unresolved_Technologies,Tree_Blockers,Classification_Blockers,Implementation_Status
ABB,Arab Emirates,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,2,8,6,0,0,2,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;traditional_food_processing;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks;light_infantry_tactics->regulated_small_arms",,READY_AFTER_TREE_FIX
ABS,Absaroka,AMERICAS_CARIBBEAN,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
ABU,Trucial States,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,5,8,3,0,0,2,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;traditional_food_processing;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks;light_infantry_tactics->regulated_small_arms",,READY_AFTER_TREE_FIX
ACE,Aceh,EAST_ASIA_SE_ASIA,RESEARCHED,7,9,4,2,0,2,1,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;sugar_refining;systematic_administrative_statistics;traditional_food_processing,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks;light_infantry_tactics->regulated_small_arms",sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
ACH,Acholi,AFRICA,RESEARCHED,1,0,0,1,0,0,0,,,,,READY
ADG,Kel Adagh,AFRICA,RESEARCHED,2,2,1,1,0,0,0,improved_husbandry;variolation_networks,,,,READY
ADR,Adrar,AFRICA,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
AGC,Angoche,AFRICA,RESEARCHED,6,6,3,3,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
AHG,Kel Ahaggar,AFRICA,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
AIN,Ainu Mosir,EAST_ASIA_SE_ASIA,RESEARCHED,0,0,0,0,0,0,0,,,,,READY
AIR,Kel Air,AFRICA,RESEARCHED,2,2,1,1,0,0,0,improved_husbandry;variolation_networks,,,,READY
AIT,Ait Abbas,AFRICA,RESEARCHED,7,6,3,4,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
AJJ,Kel Ajjer,AFRICA,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
AJR,Ajuran,AFRICA,RESEARCHED,2,7,6,1,0,0,1,distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
ALK,Alaska,AMERICAS_CARIBBEAN,RESEARCHED,4,1,0,3,0,0,0,international_relations,,,,READY
ALW,Alwar,SOUTH_ASIA,RESEARCHED,6,6,3,3,0,0,1,distillation;improved_husbandry;international_relations;sugar_refining;traditional_food_processing;traditional_papermaking,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
ANH,Anhalt,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,5,2,4,0,0,0,distillation;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,,READY
ANK,Ankole,AFRICA,RESEARCHED,2,0,0,2,0,0,0,,,,,READY
ANU,Anuak,AFRICA,RESEARCHED,1,1,0,0,0,0,0,improved_husbandry,,,,READY
APC,Apache,AMERICAS_CARIBBEAN,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
ARB,Arabistan,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,4,8,5,1,0,1,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",,READY_AFTER_TREE_FIX
ARG,Argentina,AMERICAS_CARIBBEAN,RESEARCHED,7,8,3,2,0,1,0,colonization;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;traditional_food_processing;traditional_furniture_making,,light_infantry_tactics->regulated_small_arms,,READY_AFTER_TREE_FIX
ARH,Arnhem,OCEANIA_PACIFIC,RESEARCHED,2,1,0,1,0,0,0,traditional_food_processing,,,,READY
ARM,Armenia,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,6,11,5,0,0,2,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;traditional_food_processing;traditional_furniture_making;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks;regulated_small_arms->scientific_fortification_siegecraft",,READY_AFTER_TREE_FIX
ARP,Arapaho,AMERICAS_CARIBBEAN,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
ARR,Arrernte,OCEANIA_PACIFIC,RESEARCHED,2,1,0,1,0,0,0,traditional_food_processing,,,,READY
ARS,Arsiland,AFRICA,RESEARCHED,6,7,4,3,0,0,1,distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
ASH,Ashanti,AFRICA,RESEARCHED,5,9,6,2,0,0,1,applied_mineralogy;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;shaft_mining;traditional_food_processing;traditional_furniture_making;variolation_networks,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
ASM,Assam,SOUTH_ASIA,RESEARCHED,7,11,6,2,1,2,3,advanced_crop_rotations;codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_papermaking,cotton_gin,"advanced_crop_rotations->selective_breeding;codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",advanced_crop_rotations;improved_agricultural_implements;sugar_refining,NEEDS_REVIEW
ATB,Athabaska,AMERICAS_CARIBBEAN,RESEARCHED,2,0,0,2,0,0,0,,,,,READY
ATR,Kel Ataram,AFRICA,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
AUL,Aulihan,AFRICA,RESEARCHED,2,7,6,1,0,0,1,distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
AUS,Austria,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,14,37,24,1,3,2,6,applied_mineralogy;armament_standardization_inspection;atmospheric_engine;codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_elementary_schooling;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;political_economy;regulated_small_arms;scientific_fortification_siegecraft;selective_breeding;shaft_mining;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics;systematic_legal_codification;systematic_population_registration;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;turnpike_road_networks;variolation_networks;veterinary_science,clinicopathological_medicine;military_veterinary_services;romanticism,atmospheric_engine->coke_smelting;political_economy->commercial_insurance_markets,improved_agricultural_implements;industrial_ceramics;medical_degrees;organized_elementary_schooling;systematic_legal_codification;systematic_population_registration,NEEDS_REVIEW
AWA,Awadh,SOUTH_ASIA,RESEARCHED,11,19,9,1,1,2,3,advanced_crop_rotations;codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;institutionalized_public_credit;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;variolation_networks,cotton_gin,"advanced_crop_rotations->selective_breeding;codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",advanced_crop_rotations;improved_agricultural_implements;sugar_refining,NEEDS_REVIEW
AWS,Aussa,AFRICA,RESEARCHED,6,7,4,3,0,0,1,distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
AYI,Anyi,AFRICA,RESEARCHED,1,5,4,0,0,0,1,improved_agricultural_implements;improved_husbandry;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
BAD,Baden,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,8,4,3,0,0,0,distillation;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking,,,,READY
BAG,Rewah,SOUTH_ASIA,RESEARCHED,4,4,3,3,0,0,1,distillation;improved_husbandry;sugar_refining;traditional_food_processing,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BAL,Bali,EAST_ASIA_SE_ASIA,RESEARCHED,5,7,4,2,0,1,1,codified_practical_knowledge;distillation;improved_husbandry;organized_textile_production;sugar_refining;systematic_administrative_statistics;traditional_food_processing,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BAS,Bastar,SOUTH_ASIA,RESEARCHED,7,5,2,4,0,0,1,distillation;improved_husbandry;international_relations;sugar_refining;traditional_food_processing,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BAV,Bavaria,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,22,16,1,0,0,3,codified_practical_knowledge;distillation;improved_husbandry;industrial_ceramics;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;systematic_legal_codification;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking,,,industrial_ceramics;medical_degrees;systematic_legal_codification,READY_AFTER_CLASSIFICATION_DECISION
BCE,Ceylon,SOUTH_ASIA,RESEARCHED,11,16,8,3,0,2,1,codified_practical_knowledge;colonization;distillation;enclosed_dock_systems;improved_husbandry;institutionalized_scientific_exchange;international_relations;permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft;scientific_naval_architecture;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making,,codified_practical_knowledge->periodical_print_networks;traditional_furniture_making->organized_textile_production,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BEL,Belgium,WESTERN_EUROPE,RESEARCHED,23,28,12,7,0,3,7,advanced_crop_rotations;atmospheric_engine;codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_scientific_exchange;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;specialized_technical_academies;standardized_field_artillery;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking,,advanced_crop_rotations->selective_breeding;atmospheric_engine->coke_smelting;industrial_canals->turnpike_road_networks,advanced_crop_rotations;improved_agricultural_implements;industrial_acids;industrial_canals;industrial_ceramics;medical_degrees;sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BEN,Benin,AFRICA,RESEARCHED,6,6,3,3,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
BEO,Belgium,WESTERN_EUROPE,RESEARCHED,18,28,14,4,0,3,7,advanced_crop_rotations;atmospheric_engine;codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_scientific_exchange;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;specialized_technical_academies;standardized_field_artillery;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking,,advanced_crop_rotations->selective_breeding;atmospheric_engine->coke_smelting;industrial_canals->turnpike_road_networks,advanced_crop_rotations;improved_agricultural_implements;industrial_acids;industrial_canals;industrial_ceramics;medical_degrees;sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BER,Baroda,SOUTH_ASIA,RESEARCHED,6,14,9,1,1,2,2,advanced_crop_rotations;codified_practical_knowledge;commercial_insurance_markets;distillation;improved_husbandry;institutionalized_public_credit;international_relations;organized_textile_production;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_papermaking;variolation_networks,cotton_gin,"advanced_crop_rotations->selective_breeding;codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",advanced_crop_rotations;sugar_refining,NEEDS_REVIEW
BGI,Bagirmi,AFRICA,RESEARCHED,3,7,5,1,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;variolation_networks,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
BGM,Begemder,AFRICA,RESEARCHED,5,8,6,3,0,0,1,distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;variolation_networks,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
BHN,Bahrain,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,5,8,3,0,0,2,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;traditional_food_processing;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks;light_infantry_tactics->regulated_small_arms",,READY_AFTER_TREE_FIX
BHO,Bhopal,SOUTH_ASIA,RESEARCHED,6,5,2,3,0,0,1,distillation;improved_husbandry;international_relations;sugar_refining;traditional_food_processing,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BHU,Bhutan,SOUTH_ASIA,RESEARCHED,6,6,3,3,0,0,1,distillation;improved_husbandry;international_relations;sugar_refining;traditional_food_processing;traditional_papermaking,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BHV,Bhavnagar,SOUTH_ASIA,RESEARCHED,6,8,4,2,1,0,1,distillation;improved_husbandry;international_relations;organized_textile_production;sugar_refining;traditional_food_processing;traditional_papermaking;variolation_networks,cotton_gin,,sugar_refining,NEEDS_REVIEW
BHW,Bahawalpur,SOUTH_ASIA,RESEARCHED,6,6,2,2,1,0,1,distillation;improved_husbandry;international_relations;organized_textile_production;sugar_refining;traditional_food_processing,cotton_gin,,sugar_refining,NEEDS_REVIEW
BIC,East India,SOUTH_ASIA,RESEARCHED,18,30,13,1,1,2,4,advanced_crop_rotations;codified_practical_knowledge;colonization;commercial_insurance_markets;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_textile_production;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;shaft_mining;standardized_field_artillery;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;variolation_networks,cotton_gin,advanced_crop_rotations->selective_breeding;codified_practical_knowledge->periodical_print_networks,advanced_crop_rotations;improved_agricultural_implements;medical_degrees;sugar_refining,NEEDS_REVIEW
BIK,Bikaner,SOUTH_ASIA,RESEARCHED,6,5,2,3,0,0,1,distillation;improved_husbandry;international_relations;sugar_refining;traditional_food_processing,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
BLA,Bilua,OCEANIA_PACIFIC,RESEARCHED,0,1,1,0,0,0,0,traditional_food_processing,,,,READY
BLE,Baule,AFRICA,RESEARCHED,1,5,4,0,0,0,1,improved_agricultural_implements;improved_husbandry;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
BLF,Niitsitapi,AMERICAS_CARIBBEAN,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
BLG,Bulungan,EAST_ASIA_SE_ASIA,RESEARCHED,7,4,0,3,0,0,0,distillation;improved_husbandry;international_relations;organized_textile_production,,,,READY
BMB,Bemba,AFRICA,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
BMM,Bamum,AFRICA,RESEARCHED,2,6,5,1,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
BND,Bundu,AFRICA,RESEARCHED,1,7,6,0,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;variolation_networks,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
BNG,Bangala,AFRICA,RESEARCHED,1,2,1,0,0,0,0,improved_husbandry;traditional_food_processing,,,,READY
BNJ,Banjar,EAST_ASIA_SE_ASIA,RESEARCHED,7,4,0,3,0,0,0,distillation;improved_husbandry;international_relations;organized_textile_production,,,,READY
BNN,Pannakwati,AMERICAS_CARIBBEAN,RESEARCHED,2,1,1,2,0,0,0,traditional_food_processing,,,,READY
BNY,Bunyoro,AFRICA,RESEARCHED,3,0,0,3,0,0,0,,,,,READY
BOB,Bobangi,AFRICA,RESEARCHED,1,2,1,0,0,0,0,improved_husbandry;traditional_food_processing,,,,READY
BOL,Bolivia,AMERICAS_CARIBBEAN,RESEARCHED,10,11,3,2,0,2,0,applied_mineralogy;colonization;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;traditional_food_processing,,light_infantry_tactics->regulated_small_arms;standardized_field_artillery->regulated_small_arms,,READY_AFTER_TREE_FIX
BOR,Bornu,AFRICA,RESEARCHED,6,10,7,3,0,2,2,codified_practical_knowledge;improved_agricultural_implements;improved_husbandry;institutionalized_scientific_exchange;international_relations;organized_elementary_schooling;organized_textile_production;traditional_food_processing;traditional_furniture_making;variolation_networks,,codified_practical_knowledge->periodical_print_networks;organized_elementary_schooling->periodical_print_networks,improved_agricultural_implements;organized_elementary_schooling,READY_AFTER_CLASSIFICATION_DECISION
BRA,Brunswick,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,12,7,2,1,1,1,distillation;improved_husbandry;industrial_ceramics;international_relations;organized_forestry;organized_textile_production;regulated_small_arms;shaft_mining;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking,railways,regulated_small_arms->scientific_fortification_siegecraft,industrial_ceramics,NEEDS_REVIEW
