Technology ID,Category,Era,Classification,Countries currently starting,Potential issue,Notes
enclosed_dock_systems,military,era_1,A,BCE;BEL;FIN;KRA;NSW;ORG;SAF;SAS;TAS;WAS,,"EN=Enclosed Dock Systems | FR=Bassins fermés | Prerequisites=— | Children=mechanized_naval_dockyards, ship_classification_surveying | Unlocks=bâtiment:building_port | Modifier=no | Capacité établie avant ou au plus tard en 1776."
scientific_fortification_siegecraft,military,era_1,A,BCE;BEL;FIN;KRA;NSW;ORG;SAF;SAS;TAS;WAS,,"EN=Fortification & Siege | FR=Fortification et siège | Prerequisites=— | Children=permanent_engineer_services, permanent_military_hospitals, regulated_small_arms | Unlocks=bâtiment:building_barrack, bâtiment:building_naval_fortification | Modifier=no | Capacité établie avant ou au plus tard en 1776."
state_dockyard_systems,military,era_1,A,BCE;BEL;FIN;KRA;MARATH;NSW;ORG;PER;SAF;SAS;TAS;WAS,,"EN=State Dockyard Systems | FR=Arsenaux d’État | Prerequisites=— | Children=mechanized_naval_dockyards, scientific_naval_architecture | Unlocks=bâtiment:building_naval_administration, bâtiment:building_shipyard | Modifier=yes: country_admiral_rank_impact_mult | Capacité établie avant ou au plus tard en 1776."
regulated_small_arms,military,era_2,A,ABU;ACE;AIT;ALK;ALW;ANH;ARG;ARM;ASM;AUS;AWA;BAD;BAS;BAV;BEO;BER;BHN;BHO;BHU;BHV;BHW;BIC;BIK;BLG;BNJ;BOL;BRA;BRE;BRU;BRZ;BTN;BUK;BUN;CHC;CHL;CHP;CHT;CIR;CLM;CMI;COB;CRO;CUB;DEI;DEN;DENNOR;DHA;ECU;EGY;EZO;FRA;FRM;FZN;GAL;GAR;GBR;GEN;GR3;GR4;GR5;GRE;GWA;HAI;HAM;HAN;HBC;HDJ;HEK;HER;HES;HOH;HOL;HUN;HYD;IDA;IND;ION;IQU;IR1;IREK;JAB;JAI;JAP;JAS;JEY;JHN;JMB;JOD;JOH;JUN;KAB;KAF;KAL;KAN;KAS;KAT;KHI;KHP;KNO;KOK;KOT;KTI;KUN;KUT;KZH;LAD;LAH;LAN;LIB;LIP;LOU;LUA;LUB;LUC;LUX;MAH;MAI;MAK;MAS;MEC;MEI;MEW;MEX;MGD;MICC;MKT;MLD;MLT;MNP;MOD;MOL;MON;MOR;MST;MYB;NAR;NAS;NAW;NBS;NET;NOR;NPU;NVS;OLD;OMA;ONT;ORA;ORG;OZH;PAN;PAP;PAR;PCO;PER;PEU;PHI;PLC;PLP;PNI;PON;POR;PRA;PRG;PRK;PRU;PTA;PTN;PUD;QUE;RUS;RYU;SAK;SAR;SAT;SAX;SC1;SC2;SC3;SC4;SCH;SCM;SCW;SEL;SEQ;SER;SHS;SIC;SIK;SIL;SIN;SMB;SPA;SPC;SPU;SRK;STG;SUL;SUR;SWE;SWI;TEX;TID;TRA;TRM;TRN;TRS;TUR;TUS;UBD;UCA;URU;USA;UZH;VEN;VNZ;WAL;WEI;WLD;WUR;YOG;ZAI,,"EN=Regulated Small Arms | FR=Armes réglementaires | Prerequisites=scientific_fortification_siegecraft | Children=armament_standardization_inspection, light_infantry_tactics, standardized_field_artillery | Unlocks=bâtiment:building_arms_industry, bâtiment:building_artillery_foundry | Modifier=no | Capacité établie avant ou au plus tard en 1776."
scientific_naval_architecture,military,era_2,A,BEL,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Naval Architecture | FR=Architecture navale | Prerequisites=state_dockyard_systems | Children=copper_sheathing, diagonal_ship_framing, iron_hull_construction, marine_chronometry, mechanized_naval_dockyards, paddle_steamer, shell_gun, standardized_naval_signals | Unlocks=— | Modifier=no | Capacité établie avant ou au plus tard en 1776."
light_infantry_tactics,military,era_3,B,ABU;ACE;AIT;ALK;ALW;ANH;ARG;ARM;ASM;AUS;AWA;BAD;BAS;BAV;BEO;BER;BHN;BHO;BHU;BHV;BHW;BIC;BIK;BLG;BNJ;BOL;BRA;BRE;BRU;BRZ;BTN;BUK;BUN;CHC;CHL;CHP;CHT;CIR;CLM;CMI;COB;CRO;CUB;DEI;DEN;DENNOR;DHA;ECU;EGY;EZO;FRA;FRM;FZN;GAL;GAR;GBR;GEN;GR3;GR4;GR5;GRE;GWA;HAI;HAM;HAN;HBC;HDJ;HEK;HER;HES;HOH;HOL;HUN;HYD;IDA;IND;ION;IQU;IR1;IREK;JAB;JAI;JAP;JAS;JEY;JHN;JMB;JOD;JOH;JUN;KAB;KAF;KAL;KAN;KAS;KAT;KHI;KHP;KNO;KOK;KOT;KTI;KUN;KUT;KZH;LAD;LAH;LAN;LIB;LIP;LOU;LUA;LUB;LUC;LUX;MAH;MAI;MAK;MAS;MEC;MEI;MEW;MEX;MGD;MICC;MKT;MLD;MLT;MNP;MOD;MOL;MON;MOR;MST;MYB;NAR;NAS;NAW;NBS;NET;NOR;NPU;NVS;OLD;OMA;ONT;ORA;ORG;OZH;PAN;PAP;PAR;PCO;PER;PEU;PHI;PLC;PLP;PNI;PON;POR;PRA;PRG;PRK;PRU;PTA;PTN;PUD;QUE;RUS;RYU;SAK;SAR;SAT;SAX;SC1;SC2;SC3;SC4;SCH;SCM;SCW;SEL;SEQ;SER;SHS;SIC;SIK;SIL;SIN;SMB;SPA;SPC;SPU;SRK;STG;SUL;SUR;SWE;SWI;TEX;TID;TRA;TRM;TRN;TRS;TUR;TUS;UBD;UCA;URU;USA;UZH;VEN;VNZ;WAL;WEI;WLD;WUR;YOG;ZAI,,"EN=Light Infantry Tactics | FR=Infanterie légère | Prerequisites=regulated_small_arms | Children=rifling | Unlocks=— | Modifier=yes: unit_experience_gain_mult | Frontière de 1776: attestée ou émergente, mais à diffusion limitée."
marine_chronometry,military,era_3,B,,,"EN=Marine Chronometry | FR=Chronométrie marine | Prerequisites=scientific_naval_architecture | Children=hydrographic_surveying | Unlocks=bâtiment:building_fishing_wharf, bâtiment:building_whaling_station | Modifier=no | Frontière de 1776: attestée ou émergente, mais à diffusion limitée."
permanent_military_hospitals,military,era_3,B,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Military Hospitals | FR=Hôpitaux militaires | Prerequisites=scientific_fortification_siegecraft | Children=battlefield_evacuation | Unlocks=— | Modifier=no | Frontière de 1776: attestée ou émergente, mais à diffusion limitée."
ship_classification_surveying,military,era_3,B,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Ship Class & Survey | FR=Classement et inspection | Prerequisites=enclosed_dock_systems | Children=maritime_safety_standards | Unlocks=— | Modifier=no | Frontière de 1776: attestée ou émergente, mais à diffusion limitée."
standardized_field_artillery,military,era_3,B,ABU;ACE;AIT;ALK;ALW;ANH;ARG;ARM;ASM;AUS;AWA;BAD;BAS;BAV;BEO;BER;BHN;BHO;BHU;BHV;BHW;BIC;BIK;BLG;BNJ;BOL;BRA;BRE;BRU;BRZ;BTN;BUK;BUN;CHC;CHL;CHP;CHT;CIR;CLM;CMI;COB;CRO;CUB;DEI;DEN;DENNOR;DHA;ECU;EGY;EZO;FRA;FRM;FZN;GAL;GAR;GBR;GEN;GR3;GR4;GR5;GRE;GWA;HAI;HAM;HAN;HBC;HDJ;HEK;HER;HES;HOH;HOL;HUN;HYD;IDA;IND;ION;IQU;IR1;IREK;JAB;JAI;JAP;JAS;JEY;JHN;JMB;JOD;JOH;JUN;KAB;KAF;KAL;KAN;KAS;KAT;KHI;KHP;KNO;KOK;KOT;KTI;KUN;KUT;KZH;LAD;LAH;LAN;LIB;LIP;LOU;LUA;LUB;LUC;LUX;MAH;MAI;MAK;MAS;MEC;MEI;MEW;MEX;MGD;MICC;MKT;MLD;MLT;MNP;MOD;MOL;MON;MOR;MST;MYB;NAR;NAS;NAW;NBS;NET;NOR;NPU;NVS;OLD;OMA;ONT;ORA;ORG;OZH;PAN;PAP;PAR;PCO;PER;PEU;PHI;PLC;PLP;PNI;PON;POR;PRA;PRG;PRK;PRU;PTA;PTN;PUD;QUE;RUS;RYU;SAK;SAR;SAT;SAX;SC1;SC2;SC3;SC4;SCH;SCM;SCW;SEL;SEQ;SER;SHS;SIC;SIK;SIL;SIN;SMB;SPA;SPC;SPU;SRK;STG;SUL;SUR;SWE;SWI;TEX;TID;TRA;TRM;TRN;TRS;TUR;TUS;UBD;UCA;URU;USA;UZH;VEN;VNZ;WAL;WEI;WLD;WUR;YOG;ZAI,,"EN=Field Artillery | FR=Artillerie de campagne | Prerequisites=regulated_small_arms | Children=armament_standardization_inspection, explosive_field_ammunition, horse_artillery, shell_gun | Unlocks=PM:pm_cannons | Modifier=no | Frontière de 1776: attestée ou émergente, mais à diffusion limitée."
armament_standardization_inspection,military,era_4,B,,NO_DIRECT_GAMEPLAY_UNLOCK,"EN=Arms Standards & Checks | FR=Contrôle de l’armement | Prerequisites=regulated_small_arms, standardized_field_artillery | Children=percussion_cap, rifling, standardized_military_rockets | Unlocks=— | Modifier=no | Frontière de 1776: attestée ou émergente, mais à diffusion limitée."
