Building,Building_Unlock_Tech,Building_Era,Production_Method,PM_Unlock_Techs,PM_Min_Era,Gap,Ancestor_Status,Violation,Decision
building_angkor_wat,,UNLOCKED,pm_default_building_angkor_wat,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_angkor_wat,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_angkor_wat,,UNLOCKED,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_argebam,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_arms_industry,regulated_small_arms,era_2,pm_assembly_lines_building_arms_industry,conveyors,era_10,8,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_arms_industry,regulated_small_arms,era_2,pm_automation_disabled,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_arms_industry,regulated_small_arms,era_2,pm_rotary_valve_engine_building_arms_industry,rotary_valve_engine,era_8,6,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_arms_industry,regulated_small_arms,era_2,pm_bolt_action_rifles,bolt_action_rifles,era_9,7,YES,NO,GUARANTEED_BY_PM_GATE
building_arms_industry,regulated_small_arms,era_2,pm_muskets,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_arms_industry,regulated_small_arms,era_2,pm_repeaters,repeaters,era_8,6,YES,NO,GUARANTEED_BY_PM_GATE
building_arms_industry,regulated_small_arms,era_2,pm_rifles,rifling,era_5,3,YES,NO,GUARANTEED_BY_PM_GATE
building_arms_industry,regulated_small_arms,era_2,pm_no_scientific_management,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_arms_industry,regulated_small_arms,era_2,pm_scientific_management,corporate_management,era_10,8,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_army_logistics_center,,UNLOCKED,pm_basic_army_logistics_center,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_art_academy,romanticism,era_7,pm_film_art,film,era_10,3,YES,NO,GUARANTEED_BY_PM_GATE
building_art_academy,romanticism,era_7,pm_photographic_art,camera,era_7,0,YES,NO,GUARANTEED_BY_PM_GATE
building_art_academy,romanticism,era_7,pm_realist_art,realism,era_7,0,YES,NO,GUARANTEED_BY_PM_GATE
building_art_academy,romanticism,era_7,pm_traditional_art,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_art_academy,romanticism,era_7,pm_bourgeoisie_patronage,realism,era_7,0,YES,NO,GUARANTEED_BY_PM_GATE
building_art_academy,romanticism,era_7,pm_independent_artists,realism,era_7,0,YES,NO,GUARANTEED_BY_PM_GATE
building_art_academy,romanticism,era_7,pm_traditional_patronage,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_art_academy,romanticism,era_7,pm_freedom_of_movement_no_effect,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_art_academy,romanticism,era_7,pm_principle_freedom_of_movement_3,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_artillery_foundry,standardized_field_artillery,era_3,pm_assembly_lines_building_arms_industry,conveyors,era_10,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_artillery_foundry,standardized_field_artillery,era_3,pm_automation_disabled,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_artillery_foundry,standardized_field_artillery,era_3,pm_rotary_valve_engine_building_arms_industry,rotary_valve_engine,era_8,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_artillery_foundry,standardized_field_artillery,era_3,pm_breech_loaders,breech_loading_artillery,era_8,5,YES,NO,GUARANTEED_BY_PM_GATE
building_artillery_foundry,standardized_field_artillery,era_3,pm_cannons,standardized_field_artillery,era_3,0,YES,NO,GUARANTEED_BY_PM_GATE
building_artillery_foundry,standardized_field_artillery,era_3,pm_recoiled_barrels,automatic_machine_guns,era_11,8,YES,NO,GUARANTEED_BY_PM_GATE
building_artillery_foundry,standardized_field_artillery,era_3,pm_smoothbores,shell_gun,era_6,3,YES,NO,GUARANTEED_BY_PM_GATE
building_artillery_foundry,standardized_field_artillery,era_3,pm_no_scientific_management,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_artillery_foundry,standardized_field_artillery,era_3,pm_scientific_management,corporate_management,era_10,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_automotive_industry,combustion_engine,era_9,pm_aeroplane_production,combustion_engine;military_aviation,era_10,1,YES,NO,GUARANTEED_BY_PM_GATE
building_automotive_industry,combustion_engine,era_9,pm_all_metal_aircraft,aluminium_metallurgy;combustion_engine;military_aviation,era_10,1,YES,NO,GUARANTEED_BY_PM_GATE
building_automotive_industry,combustion_engine,era_9,pm_no_aeroplane_production,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_automotive_industry,combustion_engine,era_9,pm_assembly_lines_building_automotive_industry,combustion_engine;conveyors,era_10,1,YES,NO,GUARANTEED_BY_PM_GATE
building_automotive_industry,combustion_engine,era_9,pm_automation_disabled,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_automotive_industry,combustion_engine,era_9,pm_automobile_production,combustion_engine,era_9,0,YES,NO,GUARANTEED_BY_PM_GATE
building_automotive_industry,combustion_engine,era_9,pm_mass_automobile_production,compression_ignition,era_11,2,YES,NO,GUARANTEED_BY_PM_GATE
building_automotive_industry,combustion_engine,era_9,pm_no_scientific_management,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_automotive_industry,combustion_engine,era_9,pm_scientific_management_automotive_industry,combustion_engine;corporate_management,era_10,1,YES,NO,GUARANTEED_BY_PM_GATE
building_automotive_industry,combustion_engine,era_9,pm_no_tank_production,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_automotive_industry,combustion_engine,era_9,pm_tank_production,mobile_armor,era_12,3,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_banana_plantation,improved_husbandry,era_1,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_banana_plantation,improved_husbandry,era_1,pm_steam_rail_transport,railways,era_6,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_barrack,scientific_fortification_siegecraft,era_1,pm_advanced_tactics_training,military_statistics,era_9,8,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_barrack,scientific_fortification_siegecraft,era_1,pm_general_training,general_staff,era_6,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_barrack,scientific_fortification_siegecraft,era_1,pm_mobile_warfare_tactics,mobile_armor,era_12,11,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_barrack,scientific_fortification_siegecraft,era_1,pm_nco_incorporation,nco_training,era_11,10,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_barrack,scientific_fortification_siegecraft,era_1,pm_no_organization,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_barrack,scientific_fortification_siegecraft,era_1,pm_samurai_training,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_barrack,scientific_fortification_siegecraft,era_1,pm_training_streamlining,wargaming,era_9,8,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_big_ben,,UNLOCKED,pm_default_building_big_ben,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_big_ben,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_big_ben,,UNLOCKED,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_capitol_hill,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_cement_works,professional_civil_engineering,era_5,pm_hydraulic_cement_process,hydraulic_cements,era_6,1,YES,NO,GUARANTEED_BY_PM_GATE
building_cement_works,professional_civil_engineering,era_5,pm_natural_cement_process,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_cement_works,professional_civil_engineering,era_5,pm_portland_cement_process,portland_cement,era_7,2,YES,NO,GUARANTEED_BY_PM_GATE
building_central_park,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_chemical_plant,improved_fertilizer,era_8,pm_artificial_fertilizers,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_chemical_plant,improved_fertilizer,era_8,pm_improved_fertilizer,improved_fertilizer,era_8,0,YES,NO,GUARANTEED_BY_PM_GATE
building_chemical_plant,improved_fertilizer,era_8,pm_nitrogen_fixation,nitrogen_fixation,era_11,3,YES,NO,GUARANTEED_BY_PM_GATE
building_chemical_works,industrial_acids,era_2,pm_brine_electrolysis_building_chemical_works,electrical_capacitors;industrial_alkalis,era_9,7,YES,NO,GUARANTEED_BY_PM_GATE
building_chemical_works,industrial_acids,era_2,pm_lead_chamber_process,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_chemical_works,industrial_acids,era_2,pm_leblanc_alkali_process,industrial_alkalis,era_5,3,YES,NO,GUARANTEED_BY_PM_GATE
building_chemical_works,industrial_acids,era_2,pm_solvay_process_building_chemical_works,nitroglycerin,era_7,5,YES,NO,GUARANTEED_BY_PM_GATE
building_chemical_works,industrial_acids,era_2,pm_antibiotic_mass_production,antibiotics,era_12,10,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_chemical_works,industrial_acids,era_2,pm_no_pharmaceutical_production,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_chemical_works,industrial_acids,era_2,pm_standardized_pharmaceuticals,active_principle_pharmacy,era_5,3,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_chemical_works,industrial_acids,era_2,pm_synthetic_pharmaceuticals,aniline,era_8,6,YES,NO,GUARANTEED_BY_PM_GATE
building_chichen_itza,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_coal_mine,shaft_mining,era_1,pm_dynamite_building_coal_mine,dynamite,era_8,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_coal_mine,shaft_mining,era_1,pm_nitroglycerin_building_coal_mine,nitroglycerin,era_7,6,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_coal_mine,shaft_mining,era_1,pm_no_explosives,,UNLOCKED,,NO,NO,NOT_APPLICABLE
