Technology_ID,Category,Era,Parent_Count,Parents,Child_Count,Children,Building_Unlocks,PM_Unlocks,Law_Unlocks,Modifier_Count,Start_Country_Count,Role,Problem_Flags,Recommendation
enclosed_dock_systems,military,era_1,1,state_dockyard_systems,1,mechanized_naval_dockyards,building_port,,,0,30,Déblocage bâtiment,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
organized_military_establishments,military,era_1,0,,6,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,building_barrack,,,0,138,Déblocage bâtiment,OK,KEEP
organized_naval_establishments,military,era_1,0,,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
scientific_fortification_siegecraft,military,era_1,1,organized_military_establishments,1,casemated_fortifications,building_naval_fortification,,,0,65,Déblocage bâtiment,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
state_dockyard_systems,military,era_1,0,,4,enclosed_dock_systems;mechanized_naval_dockyards;scientific_naval_architecture;ship_classification_surveying,building_naval_administration;building_shipyard,,,1,54,Déblocage bâtiment,ROOT_OVER_SPECIALIZED;BAD_ERA_CHAIN,REVIEW_TOPOLOGY
regulated_small_arms,military,era_2,1,organized_military_establishments,1,armament_standardization_inspection,building_arms_industry,,,0,76,Déblocage bâtiment/contenu militaire/diplomatique,OK,KEEP
scientific_naval_architecture,military,era_2,1,state_dockyard_systems,5,copper_sheathing;diagonal_ship_framing;mechanized_naval_dockyards;paddle_steamer;shell_gun,,,,0,29,Déblocage contenu militaire/diplomatique,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
light_infantry_tactics,military,era_3,1,organized_military_establishments,1,rifling,,,,1,109,Déblocage contenu militaire/diplomatique,OK,KEEP
marine_chronometry,military,era_3,1,ship_classification_surveying,1,hydrographic_surveying,building_fishing_wharf;building_whaling_station,,,0,2,Déblocage bâtiment,OK,KEEP
permanent_military_hospitals,military,era_3,1,organized_military_establishments,1,battlefield_evacuation,,,,0,22,Déblocage contenu militaire/diplomatique,OK,KEEP
ship_classification_surveying,military,era_3,1,state_dockyard_systems,3,marine_chronometry;maritime_safety_standards;standardized_naval_signals,,,,0,9,Nœud structurel,OK,KEEP
standardized_field_artillery,military,era_3,1,organized_military_establishments,3,armament_standardization_inspection;horse_artillery;shell_gun,building_artillery_foundry,pm_cannons,,0,74,Déblocage bâtiment/PM/contenu militaire/diplomatique,OK,KEEP
armament_standardization_inspection,military,era_4,2,regulated_small_arms;standardized_field_artillery,2,percussion_cap;rifling,,,,0,15,Nœud structurel,OK,KEEP
copper_sheathing,military,era_4,1,scientific_naval_architecture,0,,,pm_copper_sheathing_building_shipyard,,0,1,Déblocage PM,LOW_VALUE,KEEP
horse_artillery,military,era_4,1,standardized_field_artillery,2,corps_organization;military_veterinary_services,,,,0,1,Déblocage contenu militaire/diplomatique,OK,KEEP
military_topographic_surveying,military,era_4,1,permanent_engineer_services,2,general_staff;hydrographic_surveying,,,,0,22,Nœud structurel,OK,KEEP
mysorean_iron_cased_rocketry,military,era_4,0,,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
permanent_engineer_services,military,era_4,1,organized_military_establishments,3,corps_organization;field_engineering_pontoon_trains;military_topographic_surveying,,,,0,45,Déblocage contenu militaire/diplomatique,OK,KEEP
battlefield_evacuation,military,era_5,2,logistics;permanent_military_hospitals,1,modern_nursing,,,,0,0,Nœud structurel,OK,KEEP
casemated_fortifications,military,era_5,1,scientific_fortification_siegecraft,1,concrete_fortifications,,pm_naval_fortification_reinforced,,0,0,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
corps_organization,military,era_5,2,horse_artillery;permanent_engineer_services,3,enlistment_offices;general_staff;logistics,,,law_national_militia;law_professional_army,1,0,Déblocage loi/contenu militaire/diplomatique,OK,KEEP
diagonal_ship_framing,military,era_5,1,scientific_naval_architecture,1,iron_hull_construction,,,,0,0,Nœud structurel,OK,KEEP
explosive_field_ammunition,military,era_5,0,,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
field_engineering_pontoon_trains,military,era_5,2,logistics;permanent_engineer_services,1,landing_craft,,,,0,0,Déblocage contenu militaire/diplomatique,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
hydrographic_surveying,military,era_5,2,marine_chronometry;military_topographic_surveying,2,maritime_safety_standards;modern_lighthouse_optics,,,,0,0,Nœud structurel,OK,KEEP
logistics,military,era_5,1,corps_organization,6,battlefield_evacuation;electric_telegraph;enlistment_offices;field_engineering_pontoon_trains;general_staff;triage,,,,1,0,Nœud structurel,OK,KEEP
mechanized_naval_dockyards,military,era_5,3,enclosed_dock_systems;scientific_naval_architecture;state_dockyard_systems,2,gantry_cranes;iron_hull_construction,,pm_trade_center_trade_quantity_high,,0,0,Déblocage PM,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
military_veterinary_services,military,era_5,2,horse_artillery;veterinary_science,0,,,,,0,0,Déblocage contenu militaire/diplomatique,LOW_VALUE,KEEP
paddle_steamer,military,era_5,1,scientific_naval_architecture,2,iron_hull_construction;screw_frigate,,pm_complex_shipbuilding;pm_military_shipbuilding_wooden_2,,1,0,Déblocage PM,OK,KEEP
percussion_cap,military,era_5,2,armament_standardization_inspection;rifling,2,general_staff;repeaters,building_munition_plant,pm_percussion_caps,,0,0,Déblocage bâtiment/PM,OK,KEEP
rifling,military,era_5,2,armament_standardization_inspection;light_infantry_tactics,2,percussion_cap;repeaters,,pm_rifles,,0,0,Déblocage PM,OK,KEEP
standardized_military_rockets,military,era_5,0,,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,MERGE dans explosive_field_ammunition; conserver l’ID comme alias non recherchable tant qu’aucun contenu fusée n’existe
standardized_naval_signals,military,era_5,1,ship_classification_surveying,0,,,pm_power_of_the_purse,law_diplomatic_navy;law_professional_navy,0,0,Déblocage PM/loi,OK,KEEP
general_staff,military,era_6,4,corps_organization;logistics;military_topographic_surveying;percussion_cap,2,field_works;military_statistics,,pm_general_training;pm_general_training_conscription,,0,0,Déblocage PM/contenu militaire/diplomatique,OK,KEEP
iron_hull_construction,military,era_6,3,diagonal_ship_framing;mechanized_naval_dockyards;paddle_steamer,1,ironclad_tech,,,,0,0,Nœud structurel,OK,KEEP
maritime_safety_standards,military,era_6,2,hydrographic_surveying;ship_classification_surveying,1,gantry_cranes,,,,0,0,Nœud structurel,OK,KEEP
modern_lighthouse_optics,military,era_6,1,hydrographic_surveying,0,,,,,1,0,Bonus technologique,LOW_VALUE,ADD_MODIFIER: building_port_throughput_add = 0.05
shell_gun,military,era_6,2,scientific_naval_architecture;standardized_field_artillery,2,breech_loading_artillery;self_propelled_torpedoes,,pm_smoothbores,,0,0,Déblocage PM/contenu militaire/diplomatique,BAD_ERA_CHAIN,REVIEW_TOPOLOGY
admiralty,military,era_7,1,navigation,1,power_of_the_purse,,,,1,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
army_reserves,military,era_7,1,line_infantry,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
artillery,military,era_7,1,gunsmithing,1,napoleonic_warfare,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
drydocks,military,era_7,1,navigation,1,hydraulic_cranes,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
electric_telegraph,military,era_7,1,logistics,0,,,,,1,0,Bonus technologique,LOW_VALUE,KEEP
field_works,military,era_7,1,general_staff,1,trench_works,,pm_barbed_wire_fences,,1,0,Déblocage PM,OK,KEEP
gunsmithing,military,era_7,1,standing_army,1,artillery,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
hydraulic_cranes,military,era_7,1,drydocks,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
ironclad_tech,military,era_7,1,iron_hull_construction,2,monitor_tech;pre_dreadnought_tech,building_kiel_canal,pm_military_shipbuilding_steam,,0,0,Déblocage bâtiment/PM/contenu militaire/diplomatique,OK,KEEP
line_infantry,military,era_7,2,mandatory_service;military_drill,2,army_reserves;napoleonic_warfare,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
mandatory_service,military,era_7,1,standing_army,1,line_infantry,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
military_drill,military,era_7,1,standing_army,1,line_infantry,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
modern_nursing,military,era_7,1,battlefield_evacuation,0,,,,,0,0,Déblocage contenu militaire/diplomatique,LOW_VALUE,KEEP
napoleonic_warfare,military,era_7,2,artillery;line_infantry,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
navigation,military,era_7,0,,2,admiralty;drydocks,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
power_of_the_purse,military,era_7,1,admiralty,0,,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
screw_frigate,military,era_7,1,paddle_steamer,0,,,,,1,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
standing_army,military,era_7,0,,3,gunsmithing;mandatory_service;military_drill,,,,0,0,Alias de compatibilité non recherchable,COMPATIBILITY_ALIAS,KEEP_COMPATIBILITY_ALIAS
