TAG,Triggering_Children,Has_Light_Infantry,Has_Regulated_Small_Arms,Has_Field_Artillery,Has_Fortification,Has_Engineer_Service,Has_Military_Hospitals
ABB,light_infantry_tactics,YES,NO,NO,NO,NO,NO
ABU,light_infantry_tactics,YES,NO,NO,NO,NO,NO
ACE,light_infantry_tactics,YES,NO,NO,NO,NO,NO
ARG,light_infantry_tactics,YES,NO,NO,NO,NO,NO
ARM,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
AUS,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
AWA,light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,NO,NO
BAV,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
BCE,permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft,NO,NO,NO,YES,YES,YES
BEL,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
BEO,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,NO
BHN,light_infantry_tactics,YES,NO,NO,NO,NO,NO
BIC,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,YES,YES
BOL,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
BRA,regulated_small_arms,NO,YES,NO,NO,NO,NO
BRZ,standardized_field_artillery,NO,NO,YES,NO,NO,NO
BUR,light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,YES,YES,YES,YES,NO,NO
CHC,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
CHI,permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft;standardized_field_artillery,NO,NO,YES,YES,YES,YES
CHL,light_infantry_tactics;standardized_field_artillery,YES,NO,YES,NO,NO,NO
CHT,light_infantry_tactics,YES,NO,NO,NO,NO,NO
CIR,light_infantry_tactics;regulated_small_arms,YES,YES,NO,NO,NO,NO
CLM,permanent_engineer_services;standardized_field_artillery,NO,NO,YES,NO,YES,NO
CON,regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,NO,YES,YES,YES,NO,NO
