TAG,Country,Region,Category,Technology_ID,Classification,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Status,Tree_Issue,Classification_Issue,Reason,Source_1,Source_2
ACH,Acholi,East Africa,military,enclosed_dock_systems,A,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,"Un port, mouillage ou chantier naval ne suffit pas à démontrer un système de bassins fermés.",https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
ACH,Acholi,East Africa,military,scientific_fortification_siegecraft,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,Fortifications vernaculaires ou palissades seules ne suffisent pas au seuil scientifique/artillerie du nœud.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
ACH,Acholi,East Africa,military,state_dockyard_systems,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,Navigation ou construction de boutres ne suffisent pas à établir un système d’arsenaux d’État.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
ACH,Acholi,East Africa,military,regulated_small_arms,A,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,L’usage ou l’importation massive d’armes à feu ne suffit pas : absence de preuve d’une industrie locale réglementée d’armes complètes/artillerie.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
ACH,Acholi,East Africa,military,scientific_naval_architecture,A,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,Savoir-faire de construction navale traditionnel ou réparation ne suffit pas à l’architecture navale scientifique du nœud.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
ACH,Acholi,East Africa,military,light_infantry_tactics,B,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,Aucune preuve d’une doctrine d’infanterie légère institutionnalisée correspondant au nœud.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
ACH,Acholi,East Africa,military,marine_chronometry,B,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,Technologie frontière très spécialisée; aucune implantation locale suffisamment établie dans ce TAG africain au 1er janvier 1776.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
ACH,Acholi,East Africa,military,permanent_military_hospitals,B,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,Technologie frontière très spécialisée; aucune implantation locale suffisamment établie dans ce TAG africain au 1er janvier 1776.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
ACH,Acholi,East Africa,military,ship_classification_surveying,B,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,Technologie frontière très spécialisée; aucune implantation locale suffisamment établie dans ce TAG africain au 1er janvier 1776.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
ACH,Acholi,East Africa,military,standardized_field_artillery,B,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,Possession de quelques canons ne vaut pas système d’artillerie de campagne standardisé.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
