TAG,Country,Region,Category,Technology_ID,Classification,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Status,Tree_Issue,Classification_Issue,Reason,Source_1,Source_2
ANH,Anhalt,Central Europe / German World / Italy,MILITARY,enclosed_dock_systems,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,Des installations portuaires/docks organisées sont attestées dans les principaux ports et arsenaux; un simple accès maritime ne suffit pas.,https://www.treccani.it/enciclopedia/l-arsenale-di-venezia-e-i-cantieri-navali-della-marina_(Il-Contributo-italiano-alla-storia-del-Pensiero%3A-Tecnica)/,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
ANH,Anhalt,Central Europe / German World / Italy,MILITARY,scientific_fortification_siegecraft,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,"La capacité exige un corps/enseignement d'ingénieurs et une pratique systématique de la fortification et du siège, pas seulement des forteresses.",https://www.museotorino.it/view/s/276a506f80994a3a943a5600e4b944ce,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German World / Italy,MILITARY,state_dockyard_systems,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,Réservé aux États disposant d'un arsenal naval d'État et d'une administration de construction navale identifiable.,https://www.treccani.it/enciclopedia/l-arsenale-di-venezia-e-i-cantieri-navali-della-marina_(Il-Contributo-italiano-alla-storia-del-Pensiero%3A-Tecnica)/,https://www.cambridge.org/core/books/abs/naples-in-the-eighteenth-century/arrogance-of-the-market-the-economy-of-the-kingdom-between-the-mediterranean-and-europe/E275AD8133C1ABA8555C21B6441255AC
ANH,Anhalt,Central Europe / German World / Italy,MILITARY,regulated_small_arms,A,PRESENT,REVIEW,LOW,SECTORAL,NOT_APPLICABLE,,,Armes réglementaires retenues pour les armées avec approvisionnement/standardisation durable; la possession d'une petite armée ne suffit pas.,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9,https://www.museotorino.it/view/s/276a506f80994a3a943a5600e4b944ce
ANH,Anhalt,Central Europe / German World / Italy,MILITARY,scientific_naval_architecture,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,Architecture navale scientifique réservée aux arsenaux capables de formaliser la conception et la construction des bâtiments de guerre.,https://www.treccani.it/enciclopedia/l-arsenale-di-venezia-e-i-cantieri-navali-della-marina_(Il-Contributo-italiano-alla-storia-del-Pensiero%3A-Tecnica)/,https://www.cambridge.org/core/books/abs/naples-in-the-eighteenth-century/arrogance-of-the-market-the-economy-of-the-kingdom-between-the-mediterranean-and-europe/E275AD8133C1ABA8555C21B6441255AC
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,coke_smelting,A,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,La fonte au coke existe en Grande-Bretagne mais n'est pas établie dans les États de cette région au 1er janvier 1776; sa diffusion continentale est postérieure.,https://www.britannica.com/technology/iron-processing/The-metal,https://www.ispatguru.com/evolution-of-blast-furnace-iron-making/
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,distillation,A,PRESENT,KEEP,HIGH,ESTABLISHED,CLOSED,,,La distillation en alambic est une pratique artisanale et manufacturière largement établie dans la région avant 1776.,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,improved_husbandry,A,PRESENT,REVIEW,LOW,SECTORAL,NOT_APPLICABLE,,,Les améliorations d'élevage/agriculture sont retenues lorsqu'une diffusion de méthodes améliorées est plausible; l'agriculture ordinaire seule ne suffit pas.,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,organized_forestry,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,Nouvelle définition appliquée: gestion forestière rationalisée/planifiée. La coupe de bois ou la présence de forêts ne suffit pas.,https://www.bmel.de/DE/themen/wald/wald-in-deutschland/carlowitz-jahr.html,https://www.deutsche-digitale-bibliothek.de/item/OUO5DWBMRCV24F3DMAPF4PXYMCWFXO5O
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,organized_textile_production,A,PRESENT,KEEP,MEDIUM,SECTORAL,CLOSED,,,"Le putting-out, les métiers urbains et les manufactures textiles rendent la production proto-industrielle largement disponible, avec forts pôles saxon, suisse, wurtembergeois et italien.",https://www.cambridge.org/core/books/abs/globalized-peripheries/linen-and-merchants-from-the-duchy-of-berg-lower-saxony-and-westphalia-and-their-global-trade-in-eighteenthcentury-london/8C3BFA133DB7FDE29BE7CED56AB0662E,https://hls-dhs-dss.ch/de/articles/013957/2014-10-07/
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,shaft_mining,A,PRESENT,REMOVE,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Le nœud représente l'exploitation souterraine par puits, pas la simple extraction de pierre/minerai; il est retiré ou revu dans les États sans tradition minière profonde attestée.",https://tu-freiberg.de/en/lfbw,https://whc.unesco.org/en/list/618
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,traditional_food_processing,A,ABSENT,ADD,HIGH,ESTABLISHED,CLOSED,,,"Moulins, brasseries, huileries, boucheries et autres transformations alimentaires organisées sont établis dans tous les États étudiés.",https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,traditional_papermaking,A,ABSENT,REVIEW,LOW,SECTORAL,NOT_APPLICABLE,,,"Le papier est évalué indépendamment de `organized_forestry`; les moulins à papier européens sont anciens et largement diffusés, mais une présence locale est distinguée du simple commerce.",https://whc.unesco.org/en/tentativelists/6757/,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,industrial_acids,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,La fabrication d'acides à échelle industrielle existe avant 1776 surtout en Grande-Bretagne; aucune diffusion régionale suffisamment solide n'est démontrée.,https://ehne.fr/en/node/14167/printable/print,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,sugar_refining,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Le raffinage du sucre est attribué aux centres marchands/manufacturiers avec raffineries locales, non aux seuls États consommateurs ou importateurs.",https://brill.com/display/book/edcoll/9789004392489/BP000025.xml,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,traditional_furniture_making,A,ABSENT,ADD,HIGH,SECTORAL,CLOSED,,,"Ébénisterie, menuiserie et métiers urbains du meuble sont largement établis; cette technologie est désormais indépendante de `organized_forestry`.",https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
ANH,Anhalt,Central Europe / German World / Italy,PRODUCTION,traditional_glassmaking,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Verreries traditionnelles évaluées indépendamment de `organized_forestry`; Murano, Bohême/Silésie et plusieurs centres germaniques sont établis.",https://museovetro.visitmuve.it/en/il-museo/layout-and-collections/glass-14th-17th-century/,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49
ANH,Anhalt,Central Europe / German World / Italy,SOCIETY,institutionalized_public_credit,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Dette publique/crédit organisé évalués institutionnellement. Venise, Gênes, Rome et Naples ont de vieux marchés de dette; la Prusse n'est pas ajoutée par prestige.",https://www.cambridge.org/core/books/government-debts-and-financial-markets-in-europe/6C7BE26F6D54000CB7614DF8D8566B30,https://www.cambridge.org/core/books/abs/how-a-ledger-became-a-central-bank/prussias-debasement-during-the-seven-years-war-the-role-of-the-bank/437DCCA7BA61ADF546E0B44944BFD6AA
ANH,Anhalt,Central Europe / German World / Italy,SOCIETY,institutionalized_scientific_exchange,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Académies, universités réformées et réseaux savants structurés justifient la capacité; une université traditionnelle isolée n'est pas automatiquement suffisante.",https://geschichte.univie.ac.at/en/node/23380,https://tu-freiberg.de/en/university/history
ANH,Anhalt,Central Europe / German World / Italy,SOCIETY,international_relations,A,PRESENT,KEEP,HIGH,ESTABLISHED,CLOSED,,,"Tous les TAG étudiés appartiennent à des systèmes diplomatiques interétatiques actifs (Empire, Italie, Confédération); ce nœud général est historiquement disponible.",https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German World / Italy,SOCIETY,periodical_print_networks,A,ABSENT,REVIEW,LOW,SECTORAL,NOT_APPLICABLE,,,"La presse périodique est évaluée comme réseau de publication/distribution durable, particulièrement dense dans l'espace germanophone et les principaux centres italiens.",https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
ANH,Anhalt,Central Europe / German World / Italy,SOCIETY,codified_practical_knowledge,A,PRESENT,REMOVE,MEDIUM,ABSENT,NOT_APPLICABLE,,,"Savoirs codifiés retenus lorsqu'imprimés, académies et administrations techniques forment un système; le tier 4 l'accordait arbitrairement à tous les petits États.",https://tu-freiberg.de/en/university/history,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49
ANH,Anhalt,Central Europe / German World / Italy,SOCIETY,commercial_insurance_markets,A,ABSENT,KEEP,MEDIUM,ABSENT,NOT_APPLICABLE,,,Marchés d'assurance commerciale/maritime établis dans les grands centres marchands; ils ne découlent pas automatiquement du commerce extérieur.,https://brill.com/display/title/34830?language=en,https://www.cambridge.org/core/journals/continuity-and-change/article/borrowing-in-a-preindustrial-city-financial-behaviour-and-economic-rationality-in-eighteenthcentury-venice/A3F420B07CEED5B4B5486048FD6B2C39
