Technology_ID,Classification,Category,TAGs_Reviewed,Expected_TAGs,Coverage_OK,KEEP_Count,ADD_Count,REMOVE_Count,REVIEW_Count,Tree_Structure_Review_Count,Classification_Review_Count
enclosed_dock_systems,A,military,49,49,YES,49,0,0,0,0,0
scientific_fortification_siegecraft,A,military,49,49,YES,44,5,0,0,0,0
state_dockyard_systems,A,military,49,49,YES,44,4,1,0,0,0
regulated_small_arms,A,military,49,49,YES,9,0,7,33,36,0
scientific_naval_architecture,A,military,49,49,YES,46,1,0,2,0,0
light_infantry_tactics,B,military,49,49,YES,15,0,7,27,4,0
marine_chronometry,B,military,49,49,YES,49,0,0,0,0,0
permanent_military_hospitals,B,military,49,49,YES,49,0,0,0,0,0
ship_classification_surveying,B,military,49,49,YES,49,0,0,0,0,0
standardized_field_artillery,B,military,49,49,YES,12,0,35,2,0,0
armament_standardization_inspection,B,military,49,49,YES,45,3,0,1,0,0
copper_sheathing,B,military,49,49,YES,49,0,0,0,0,0
horse_artillery,B,military,49,49,YES,49,0,0,0,0,0
military_topographic_surveying,B,military,49,49,YES,49,0,0,0,0,0
permanent_engineer_services,B,military,49,49,YES,45,3,0,1,0,0
coke_smelting,A,production,49,49,YES,46,0,3,0,0,0
distillation,A,production,49,49,YES,43,6,0,0,0,0
improved_husbandry,A,production,49,49,YES,49,0,0,0,0,0
organized_forestry,A,production,49,49,YES,45,2,0,2,0,0
organized_textile_production,A,production,49,49,YES,40,5,0,4,0,0
shaft_mining,A,production,49,49,YES,8,0,19,22,0,0
traditional_food_processing,A,production,49,49,YES,0,28,0,21,0,0
traditional_papermaking,A,production,49,49,YES,40,3,0,6,0,0
atmospheric_engine,B,production,49,49,YES,48,1,0,0,1,0
improved_agricultural_implements,B,production,49,49,YES,48,0,0,1,0,0
industrial_acids,A,production,49,49,YES,49,0,0,0,0,0
sugar_refining,A,production,49,49,YES,49,0,0,0,0,49
traditional_furniture_making,A,production,49,49,YES,28,21,0,0,0,0
traditional_glassmaking,A,production,49,49,YES,39,8,0,2,0,0
turnpike_road_networks,B,production,49,49,YES,49,0,0,0,0,0
advanced_crop_rotations,B,production,49,49,YES,48,0,0,1,1,0
applied_mineralogy,B,production,49,49,YES,44,2,3,0,0,0
industrial_canals,B,production,49,49,YES,49,0,0,0,0,0
industrial_ceramics,B,production,49,49,YES,49,0,0,0,0,0
mechanized_spinning,B,production,49,49,YES,49,0,0,0,0,0
mechanized_weaving,B,production,49,49,YES,49,0,0,0,0,49
selective_breeding,B,production,49,49,YES,48,0,1,0,0,0
advanced_spinning,B,production,49,49,YES,49,0,0,0,0,49
condensing_steam_engines,B,production,49,49,YES,49,0,0,0,0,0
precision_boring,B,production,49,49,YES,49,0,0,0,0,0
institutionalized_public_credit,A,society,49,49,YES,47,1,0,1,0,0
institutionalized_scientific_exchange,A,society,49,49,YES,48,0,1,0,0,0
international_relations,A,society,49,49,YES,43,6,0,0,0,0
periodical_print_networks,A,society,49,49,YES,46,2,1,0,0,0
codified_practical_knowledge,A,society,49,49,YES,31,3,0,15,47,0
commercial_insurance_markets,A,society,49,49,YES,45,0,2,2,1,0
stock_exchange,A,society,49,49,YES,49,0,0,0,0,0
systematic_administrative_statistics,A,society,49,49,YES,11,0,29,9,0,0
variolation_networks,B,society,49,49,YES,46,1,0,2,0,0
medical_degrees,B,society,49,49,YES,43,2,3,1,2,49
organized_elementary_schooling,B,society,49,49,YES,49,0,0,0,0,0
political_economy,B,society,49,49,YES,48,1,0,0,1,0
specialized_technical_academies,B,society,49,49,YES,44,2,3,0,1,0
systematic_population_registration,B,society,49,49,YES,48,1,0,0,0,0
veterinary_science,B,society,49,49,YES,48,1,0,0,0,0
classical_political_economy,B,society,49,49,YES,49,0,0,0,0,0
constitutional_government,B,society,49,49,YES,49,0,0,0,0,0
human_rights,B,society,49,49,YES,49,0,0,0,0,0
national_sovereignty,B,society,49,49,YES,49,0,0,0,0,0
systematic_cadastral_surveying,B,society,49,49,YES,47,0,0,2,0,0
systematic_legal_codification,B,society,49,49,YES,47,0,0,2,0,0
