TAG,Country,Region,Category,Technology_ID,Classification,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Status,Tree_Issue,Classification_Issue,Reason,Source_1,Source_2
SWE,Sweden,Northern Europe,military,enclosed_dock_systems,A,ABSENT,ADD,HIGH,ESTABLISHED,CLOSED,,,Capacité établie avant le 1er janvier 1776: bassins/docks fermés capables de soutenir un port militaire ou commercial permanent.,https://www.sjohistoriska.se/en/explore/collections/archives/ritningar/fredrik-henrik-af-chapman,https://www.karlskrona.se/en/varldsarvet-orlogsstaden-karlskrona/the-world-heritage-naval-port-of-karlskrona/the-history-of-the-naval-port-of-karlskrona
SWE,Sweden,Northern Europe,military,scientific_fortification_siegecraft,A,ABSENT,ADD,HIGH,ESTABLISHED,CLOSED,,,"Capacité établie avant le 1er janvier 1776: fortification et siège institutionnalisés, avec ingénieurs et ouvrages permanents.",https://www.sjohistoriska.se/en/explore/collections/archives/ritningar/fredrik-henrik-af-chapman,https://www.karlskrona.se/en/varldsarvet-orlogsstaden-karlskrona/the-world-heritage-naval-port-of-karlskrona/the-history-of-the-naval-port-of-karlskrona
SWE,Sweden,Northern Europe,military,state_dockyard_systems,A,ABSENT,ADD,HIGH,ESTABLISHED,CLOSED,,,Capacité établie avant le 1er janvier 1776: arsenaux/chantiers navals organisés par l’État.,https://www.sjohistoriska.se/en/explore/collections/archives/ritningar/fredrik-henrik-af-chapman,https://www.karlskrona.se/en/varldsarvet-orlogsstaden-karlskrona/the-world-heritage-naval-port-of-karlskrona/the-history-of-the-naval-port-of-karlskrona
SWE,Sweden,Northern Europe,military,regulated_small_arms,A,PRESENT,KEEP,HIGH,ESTABLISHED,ADD_WITH_PREREQUISITES,Historically plausible prerequisite(s) also require addition/closure: scientific_fortification_siegecraft.,,Capacité établie avant le 1er janvier 1776: armes réglementaires et capacité institutionnelle d’armement.,https://www.sjohistoriska.se/en/explore/collections/archives/ritningar/fredrik-henrik-af-chapman,https://www.karlskrona.se/en/varldsarvet-orlogsstaden-karlskrona/the-world-heritage-naval-port-of-karlskrona/the-history-of-the-naval-port-of-karlskrona
SWE,Sweden,Northern Europe,military,scientific_naval_architecture,A,ABSENT,ADD,HIGH,ESTABLISHED,ADD_WITH_PREREQUISITES,Historically plausible prerequisite(s) also require addition/closure: state_dockyard_systems.,,Capacité établie avant le 1er janvier 1776: architecture navale scientifique et conception standardisée.,https://www.sjohistoriska.se/en/explore/collections/archives/ritningar/fredrik-henrik-af-chapman,https://www.karlskrona.se/en/varldsarvet-orlogsstaden-karlskrona/the-world-heritage-naval-port-of-karlskrona/the-history-of-the-naval-port-of-karlskrona
SWE,Sweden,Northern Europe,production,coke_smelting,A,ABSENT,KEEP,HIGH,ABSENT,NOT_APPLICABLE,,,"La sidérurgie suédoise repose encore massivement sur le charbon de bois, non sur le coke.",https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,https://www.kva.se/en/about-us/history/
SWE,Sweden,Northern Europe,production,distillation,A,PRESENT,KEEP,HIGH,ESTABLISHED,CLOSED,,,Capacité établie avant le 1er janvier 1776: distillation artisanale ou manufacturière organisée.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
SWE,Sweden,Northern Europe,production,improved_husbandry,A,PRESENT,KEEP,HIGH,ESTABLISHED,CLOSED,,,Capacité établie avant le 1er janvier 1776: élevage/agriculture améliorée au-delà de la simple subsistance.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
SWE,Sweden,Northern Europe,production,organized_forestry,A,ABSENT,REVIEW,MEDIUM,SECTORAL,NOT_APPLICABLE,,,"Exploitation forestière très importante, mais la définition stricte exige une gestion rationalisée; la généralisation avant 1776 reste incertaine.",https://www.sjohistoriska.se/en/explore/collections/archives/ritningar/fredrik-henrik-af-chapman,https://www.kva.se/en/about-us/history/
SWE,Sweden,Northern Europe,production,organized_textile_production,A,PRESENT,KEEP,HIGH,ESTABLISHED,CLOSED,,,Capacité établie avant le 1er janvier 1776: production textile proto-industrielle organisée.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
