TAG,Country,Audit_Region,Research_Region,Research_Coverage,Current_Tier,Regional_Tier_Action,Synthesis_Strategy,Recommended_Tier,Current_Tech_Count,Final_Tech_Count,ADD_Count,REMOVE_Count,Review_Present_Kept_Count,Review_Absent_Left_Absent_Count,ADD_Technologies,REMOVE_Technologies,Tier_Derived_REMOVEs,Explicit_REMOVEs,Final_Technologies,Source_File,Synthesis_Note,Post_Tier_Change_Explicit_Adds,Post_Tier_Change_Tier_Removals
ABB,Arab Emirates,Arabia,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,MATRIX,tier_6,KEEP_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,0,1,,,,,improved_husbandry;urbanization,common/history/countries/abb - abu dhabi decentralized.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ABS,Absaroka,Great Plains,AMERICAS_CARIBBEAN,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\abs - absaroka.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ABU,Trucial States,Arabia,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,8,0,3,2,0,,shaft_mining;standardized_field_artillery;systematic_administrative_statistics,shaft_mining;standardized_field_artillery;systematic_administrative_statistics,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;urbanization,C:\Games\Victoria 3\game\common\history\countries\abu - abu dhabi.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
ACE,Aceh,Indonesia,EAST_ASIA_SE_ASIA,MATRIX,tier_4,REVIEW_TIER,KEEP_TIER_AND_PATCH,,11,11,0,0,4,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\ace - aceh.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ACH,Acholi,East Africa,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\ach - acholi.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ADG,Kel Adagh,West Africa,AFRICA,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\adg - adagh.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ADR,Adrar,West Africa,AFRICA,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\adr - adrar.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
AGC,Angoche,East Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,7,7,0,0,2,1,,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/agc -angoche.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
AHG,Kel Ahaggar,North Africa,AFRICA,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\ahg - ahaggar.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
AIN,Ainu Mosir,Northeast Asia,EAST_ASIA_SE_ASIA,MARKDOWN_ONLY,tier_7,KEEP_TIER,KEEP_TIER_AND_PATCH,,0,0,0,0,0,0,,,,,,C:\Games\Victoria 3\game\common\history\countries\ain - ainu.txt,Covered in regional Markdown; tier_7 intentionally empty.,,
AIR,Kel Air,West Africa,AFRICA,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\air - air.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
AIT,Ait Abbas,North Africa,AFRICA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,11,11,0,0,5,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\ait - ait abbas.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
AJJ,Kel Ajjer,North Africa,AFRICA,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\ajj - ajjer.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
