TAG,Country,Technology_ID,Missing_Direct_Prerequisites,Was_Missing_Before,Synthesis_Policy
GRE,Greece,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
GRE,Greece,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MSN,Massina,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ALW,Alwar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SER,Serbia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SER,Serbia,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BAL,Bali,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PON,Pontianak,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PON,Pontianak,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
LUX,Luxembourg,codified_practical_knowledge,institutionalized_scientific_exchange,NO,DO_NOT_AUTO_ADD
PNI,Piratini,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
JOD,Marwar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
RYU,Ryukyu,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ARG,Argentina,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
YOG,Yogyakarta,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
YOG,Yogyakarta,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BRU,Brunei,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BRU,Brunei,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
EGY,Egypt,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
EGY,Egypt,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
KAN,Kandahar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KAN,Kandahar,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
COO,Cooch Behar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
JAI,Dhundhar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
JAI,Dhundhar,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
WLG,Welega,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CMI,Chiang Mai,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CMI,Chiang Mai,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
GR5,Santo Domingo,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
GR5,Santo Domingo,standardized_field_artillery,regulated_small_arms,NO,DO_NOT_AUTO_ADD
MST,Mecklenburg-Strelitz,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MST,Mecklenburg-Strelitz,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
LUC,Lucca,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
LUC,Lucca,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SGU,Segou,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CHI,China,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
CHI,China,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
GAL,Galicia-Lodomeria,codified_practical_knowledge,periodical_print_networks,YES,DO_NOT_AUTO_ADD
GAL,Galicia-Lodomeria,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
KRT,Kaarta,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
TRA,Travancore,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
WEI,Saxe-Weimar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
WEI,Saxe-Weimar,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
PRU,Prussia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PRU,Prussia,specialized_technical_academies,institutionalized_scientific_exchange,YES,DO_NOT_AUTO_ADD
BIC,East India,codified_practical_knowledge,periodical_print_networks,YES,DO_NOT_AUTO_ADD
BIC,East India,military_topographic_surveying,permanent_engineer_services,NO,DO_NOT_AUTO_ADD
ION,Ionian Islands,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ION,Ionian Islands,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
ION,Ionian Islands,commercial_insurance_markets,institutionalized_public_credit,YES,DO_NOT_AUTO_ADD
NAR,Narsinghpur,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CON,Constantine,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
AWS,Aussa,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
WUR,Württemberg,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
WUR,Württemberg,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BGM,Begemder,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MBS,Mombasa,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KHI,Khiva,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ONT,Ontario,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
HEK,Hesse-Kassel,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
HEK,Hesse-Kassel,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
FZN,Fezzan,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
FZN,Fezzan,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BEO,Belgium,atmospheric_engine,coke_smelting,NO,DO_NOT_AUTO_ADD
BEO,Belgium,advanced_crop_rotations,selective_breeding,NO,DO_NOT_AUTO_ADD
MARATH,Maratha Confederacy,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
MARATH,Maratha Confederacy,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SHW,Shewa,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KAT,Kathiri,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KAT,Kathiri,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
JOH,Johore,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
JOH,Johore,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
HAU,Gobir,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
LAD,Ladakh,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
RWD,Rwanda,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
BNJ,Banjar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BNJ,Banjar,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
PLP,Palanpur,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PRK,Perak,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PRK,Perak,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BAD,Baden,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BAD,Baden,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
ASH,Ashanti,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
HUN,Hungary,codified_practical_knowledge,periodical_print_networks,YES,DO_NOT_AUTO_ADD
KTI,Kutai,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KTI,Kutai,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
KAF,Kafiristan,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KAF,Kafiristan,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
COC,Cochin,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BRE,Bremen,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BRE,Bremen,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
FRA,France,industrial_canals,turnpike_road_networks,NO,DO_NOT_AUTO_ADD
FRA,France,atmospheric_engine,coke_smelting,NO,DO_NOT_AUTO_ADD
OLD,Oldenburg,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
OLD,Oldenburg,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
KOT,Kotah,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MAK,Makran,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MAK,Makran,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MYS,Mysore,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SC4,Río de la Plata,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
MJT,Majerteen,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BHV,Bhavnagar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
WLT,Wolaita,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
JAS,Jaisalmer,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
WAD,Wadai,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ARS,Arsiland,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MGD,Maguindanao,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MGD,Maguindanao,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SIN,Sindh,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SIN,Sindh,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
GJM,Gojjam,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
NAW,Nawanagar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ZAI,Azal,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ZAI,Azal,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
HER,Herat,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
HER,Herat,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
ABU,Trucial States,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ABU,Trucial States,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BIK,Bikaner,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
TRN,Transvaal,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
AWA,Awadh,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KAL,Kalat,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KAL,Kalat,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MAH,Mahra,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MAH,Mahra,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SAT,Satara,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SAT,Satara,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BRA,Brunswick,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BRA,Brunswick,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
PTN,Patna,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
OYO,Oyo,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ACE,Aceh,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ACE,Aceh,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
AIT,Ait Abbas,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
AIT,Ait Abbas,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
IREK,Kingdom of Ireland,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BLG,Bulungan,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BLG,Bulungan,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
ECU,Ecuador,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
KOR,Korea,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
KOR,Korea,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
VEN,Venice,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
VEN,Venice,specialized_technical_academies,institutionalized_scientific_exchange,YES,DO_NOT_AUTO_ADD
KOK,Kokand,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
TEX,Texas,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
NBS,New Brunswick,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
TRI,Tripolitania,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
HOL,Holstein,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
HOL,Holstein,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BAV,Bavaria,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BAV,Bavaria,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
CIR,Circassia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CIR,Circassia,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
TUS,Tuscany,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
TUS,Tuscany,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
JAB,Jabal Shammar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
JAB,Jabal Shammar,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
PAN,Punjab,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
