"phase","absolute_path","file_name","size_bytes","mtime_utc","sha256","classification","fresh_segment_notes"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\ai.log","ai.log","0","2026-08-09T23:37:09.9155046Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\checksum.log","checksum.log","0","2026-08-09T23:37:09.9406406Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.1.log","code_revisions.1.log","1133","2026-08-09T22:53:25.0897910Z","9868D2979F865FC2BB22B99352E7AE8C5A0664742C7B68F35743B9E4F832CE44","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.2.log","code_revisions.2.log","1133","2026-08-09T22:05:26.1815961Z","885427DB7497E0E987C842BB0F353FE31418B3810A8003AF1F44CF7BFB3F8D89","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.3.log","code_revisions.3.log","1133","2026-08-09T21:07:24.7887820Z","AD3C5FDDA146A272CC84711512E2227279C797B5A0A6A9C9B4EA910487BB8E30","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.4.log","code_revisions.4.log","1133","2026-08-09T18:49:41.0914600Z","A080AAF18DC4A8A7FD3D8AA885F1B4970E9F5192FD0663128AFC785239027B57","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.5.log","code_revisions.5.log","1133","2026-08-07T13:49:07.2690326Z","B35D67F2CD2A9DF0DD7358005DCFDAFF9337D257A9922E501AB2686154B00031","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.log","code_revisions.log","1133","2026-08-09T23:37:09.9416456Z","1E3D7E5EC67C0A1E85DB2A9E3634944BADF3BB0B4B10B435E98F0C502639FE80","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.1.log","custom_automated_stats.1.log","94","2026-08-09T22:59:09.2951109Z","2BB9833750CF4505F8E3033902669A485280F2DCCDDD0665CFD7E37777C8E806","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.2.log","custom_automated_stats.2.log","868","2026-08-09T22:21:00.7708200Z","4831629F8E744FF104F3B701664770AAEBE220A5D5A38C99810E38A230015C49","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.3.log","custom_automated_stats.3.log","489","2026-08-09T21:15:04.1687279Z","49247B095A771D92B39ABF828EDCEF7870EEFBFB812E84E2A7895A2D4D1022A7","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.4.log","custom_automated_stats.4.log","489","2026-08-09T18:56:27.6766988Z","F06AD089A05CEF80B5C36439ACECE8DFA7D51389E74BFB88DDD9C96F3BF8FE8B","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.5.log","custom_automated_stats.5.log","488","2026-08-07T13:51:51.6150856Z","B8C2DDD37748D71472407D66DCA44459012BAC8714374D24BB56534575EAF2AC","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.log","custom_automated_stats.log","488","2026-08-09T23:44:38.9159366Z","2F6FE541E8746D3147DAF2DA53EA5C529A7DF5E347F0B22F217D0FC9BA26AAC6","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\database_conflicts.log","database_conflicts.log","0","2026-07-28T18:42:42.0674085Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.1.log","debug.1.log","252401","2026-08-09T23:39:16.9413067Z","A3DBE3BC3BE88DACE01E9B920F3E9F2342B0F4BF49847F03C703B11C6738F10C","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.2.log","debug.2.log","271882","2026-08-09T23:11:43.3435924Z","3F14CE00E94A6C1E8A1B1235139FD9D55922E51974DBE6CD99B3785E4589FB56","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.3.log","debug.3.log","177699","2026-08-09T22:56:20.8298463Z","C9B73A9B747122244EEDF49664B33FFDEDB061029CED0768F19E56AF3CAA7D40","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.4.log","debug.4.log","346522","2026-08-09T22:28:11.4609022Z","B89E52F16639618E1251B227375D21928F43BEACDD9E1AE8799E948322BD00BC","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.5.log","debug.5.log","109311","2026-08-09T22:05:44.4742153Z","75261C672147D6BEE014DAD829BCAFA7CE1BD69D5CA129D211D4023D50323DCB","baseline_before_runtime",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.log","debug.log","213335","2026-08-09T23:46:34.1474273Z","C0243056AD6194BFD364D414C6F8844509AAE672D6CBEBFE11A2D201A9787700","baseline_before_runtime",""
