"phase","absolute_path","file_name","size_bytes","mtime_utc","sha256","classification","fresh_segment_notes"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.log","code_revisions.log","1133","2026-08-10T02:06:00.7755947Z","B10577DED7BAE8B1D8723FA9C889DDCAF08EE02E99D033AD9D0C7757486DE923","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.log","custom_automated_stats.log","491","2026-08-10T02:39:25.4319731Z","F925EDC8B65E999A4F2024383A0B2C95DC08B858A9D8A2604C06DF22223A7F27","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.log","debug.log","104050","2026-08-10T02:46:04.7321290Z","631A4B481C4D8FC3BD487271AFAB6F453652E6A39BB5B7FB4026DAA1ECBDB95C","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.log","dedicated_server.log","66","2026-08-10T02:39:23.8593940Z","9452B44FEC9B2775986ED65085B6BFB3D0D3CF3F1DD32D6337C04D10B41A1C92","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.log","error.log","97914","2026-08-10T02:41:26.5900799Z","E1AD007989128D8315C812D966FEAEC5164CA8BF7BF8CF6BF2E3108B9DD77183","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.log","game.log","351549","2026-08-10T02:41:26.5900799Z","6BAB5B3AEDFE832BA7CA2A4B2670EAD0E2672438D9FA4107AFEF939A9D8FAFAC","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\gui.log","gui.log","5100","2026-08-10T02:07:54.5553140Z","4B7A686C8B959D2CD1E4F790FCBB41408AE9944A0AAF2C9A3BAD7F38C37C35D0","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.log","system.log","1100","2026-08-10T02:07:15.8578693Z","0471CA6E8A9663106A2B60E284C28F3FF7D6D754BC07326772FDDC3051A98053","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.log","warning.log","6234","2026-08-10T02:07:19.4579884Z","83D882B71DD4137A631D3DD96A3B5963A333C26EBEF9892BAF49BF2E5F00508C","baseline_before_runtime","primary watched log"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.log","code_revisions.log","1133","2026-08-10T03:29:37.4396229Z","A23088A2AFDA35604B340D630A35935DBC217BEEF4F9969A3F4C0221E88667BA","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.log","custom_automated_stats.log","490","2026-08-10T03:50:50.5336892Z","43068A5AD1C4F1CF9FD172416456E117D2A91AC8AEC09F889B887DFAA648C8C4","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.log","debug.log","48160","2026-08-10T03:53:46.0025840Z","FAE6ED595068B0FDFC7B6FC685748D54404486722DE01FC6AA520023B1A53325","single_runtime_after","No scoped frontend/objective error match"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.log","dedicated_server.log","4839","2026-08-10T03:53:01.7780637Z","EF8051552E08EBD9683960F3ADFAAD1B672BFE7AD892C0C7AEBA88ACD60F854C","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.log","error.log","508549","2026-08-10T03:53:38.0008711Z","218977FD078A345B734076B1F3E6D6BFE455E4FC156B148BCB2BF7E3BDE3B73B","single_runtime_after","Historical merge law/script diagnostics; no scoped objective/music/CoA parse match"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.log","game.log","69483","2026-08-10T03:53:38.0008711Z","022CA1DF6A2EE9068200ADAA4D241287E19FB7AD89A1EF644639677F813E34A0","single_runtime_after","Historical script diagnostics; no scoped frontend match"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\gui.log","gui.log","5100","2026-08-10T03:30:00.1867601Z","A97BF4D75FB31F26C7BCD8CC535D76612327C0E04F328A2143D57610E24C4E4D","single_runtime_after","Existing construction-panel localization diagnostic; out of PREP1D scope"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.log","system.log","1100","2026-08-10T03:29:53.3396603Z","7B82A5806D42880CD88B43F4224317C89BECCE731FD0465F673DB539166104AC","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.log","warning.log","6234","2026-08-10T03:29:53.8995642Z","456FE48106D16AFFC14C2EF25782384B1203286703932D848F0B411B45A533EB","single_runtime_after","Engine-wide registration warnings; no scoped warning match"
