"test_id","status","operator_evidence","failure_attributable_to_prep1d","root_cause","followup_fix_required"
"PREP1D-00","PASS","Operator completed exactly one human launch","NO","","NO"
"PREP1D-01","PASS","Operator checklist: Trafalgar loading screen correct; no anomaly","NO","","NO"
"PREP1D-02","PASS","Operator checklist: Delaware composition correct","NO","","NO"
"PREP1D-03","PASS","Operator checklist: subtitle pure white","NO","","NO"
"PREP1D-04","PASS","Operator heard Cantus Firmus start at menu entry","NO","","NO"
"PREP1D-05","PASS","Timed observation lasted 3 minutes 20 seconds; track continued beyond 100.301 seconds","NO","","NO"
"PREP1D-06","PASS","No vanilla/DLC takeover, silence, overlap, or double music during 200 seconds","NO","","NO"
"PREP1D-07","PASS","Attached screenshot shows striped East India Company ensign and no Raj star","NO","","NO"
"PREP1D-08","PASS","Operator checklist confirms VOC-lettered flag and no plain Dutch tricolor","NO","","NO"
"PREP1D-09","PASS","Attached screenshot shows exactly Suède, Belgique, Đại Nam, Danemark-Norvège","NO","","NO"
"PREP1D-10","PASS","Attached screenshot shows complete enriched French tutorial introduction","NO","","NO"
"PREP1D-11","PASS","Attached screenshot shows complete readable Swedish narrative","NO","","NO"
"PREP1D-12","PASS","Attached screenshot shows complete readable Austrian-Netherlands narrative","NO","","NO"
"PREP1D-13","PASS","Attached screenshot shows complete readable Đại Nam narrative","NO","","NO"
"PREP1D-14","PASS","Attached screenshot shows complete readable Denmark-Norway narrative","NO","","NO"
"PREP1D-15","PASS","Operator checklist confirms lion-hunt artwork","NO","","NO"
"PREP1D-16","PASS","Operator checklist confirms borderless Bastille artwork","NO","","NO"
"PREP1D-17","PASS","Operator checklist confirms Battle of Ushant artwork","NO","","NO"
"PREP1D-18","PASS","Operator checklist confirms borderless Venice artwork","NO","","NO"
"PREP1D-19","PASS","Operator checklist confirms Bourbon royal standard","NO","","NO"
"PREP1D-20","PASS","Operator checklist confirms thirteen-star/thirteen-stripe flag","NO","","NO"
"PREP1D-21","PASS","Operator checklist confirms Cross of Burgundy","NO","","NO"
"PREP1D-22","PASS","Operator checklist confirms Russian imperial eagle","NO","","NO"
"PREP1D-23","PASS","Operator checklist confirms period Union Flag","NO","","NO"
"PREP1D-24","PASS","Operator checklist confirms Prussian eagle","NO","","NO"
"PREP1D-25","PASS","Operator checklist confirms Commonwealth flag","NO","","NO"
"PREP1D-26","PASS","All five French objective introductions checked and readable","NO","","NO"
"PREP1D-27","PASS","Sampled country narratives checked and readable","NO","","NO"
"PREP1D-28","PASS","Operator reports no raw key, English fallback, truncation, or major overflow","NO","","NO"
"PREP1D-29","PASS","France entered successfully from objective flow","NO","","NO"
"PREP1D-30","PASS","Frontend music stopped or transitioned cleanly","NO","","NO"
"PREP1D-31","PASS","No double music during initial gameplay","NO","","NO"
"PREP1D-32","PASS","Game advanced to 17 January 1776 without crash or observed anomaly","NO","","NO"
"PREP1D-33","PASS","Game and launcher closed; process check zero; launch count 1/1","NO","","NO"
"PREP1D-34","PASS","Fresh logs contain zero PREP1D-attributable frontend/objective errors","NO","Historical merge law/script diagnostics remain out of scope","NO"
"PREP1D-35","PASS","Zero duplicate main_theme_track and UTF-8 BOM encoding matches in fresh logs","NO","","NO"
"PREP1D-36","FAIL","Attached tutorial screenshot shows BEO as a blank white flag","YES","Objective GUI uses CountryDefinition.GetBaseFlag; BEO has flag rules pointing to BEL variants but no base CoA named BEO","YES"
