"phase","absolute_path","file_name","size_bytes","mtime_utc","sha256","classification","fresh_segment_notes"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.log","code_revisions.log","1133","2026-08-10T00:43:22.8332829Z","B199B8CF3F95F543AB9FC7D0757079A7BF452927F6E2F96CB24607A307DEC326","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.log","custom_automated_stats.log","884","2026-08-10T01:01:33.0318452Z","F7F4E7D696CEB6072AB8646BF46547FD1128B0DFE90D8EC8B612F444492CF807","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.log","debug.log","161192","2026-08-10T01:04:08.7121945Z","0EB100C2FA09C54DF9A0388A01459C8A10705D8C3B34ADF66E949FA3513DE495","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.log","dedicated_server.log","132","2026-08-10T01:01:31.3044366Z","7F3D20268FFD22E0D0EAC299A4DD7485BEED32559303145FF8588C15ED59441D","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.log","error.log","333853","2026-08-10T01:03:58.0944351Z","4C1EE215A8C3B29BBEEF6E39AEED3EBD0D2B7CA4B91BC04C071C213E9382B557","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.log","game.log","229328","2026-08-10T01:03:58.0944351Z","24E7BBD88211B7848395451CC310F64BB0CA2F2F04F3ECBB6809AC6A8BF001AE","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\gui.log","gui.log","5100","2026-08-10T00:43:45.2928936Z","4E0EAD611BF2C85D5ACEDCD9B08B1F8F1452194A7EDB7709C8199662EC9C698F","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.log","system.log","1100","2026-08-10T00:43:40.1420508Z","FC7A5B77213E62527272F6F303341B4A8057813D353A62830F629E01ECEF7CA8","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.log","warning.log","6234","2026-08-10T00:43:40.6656356Z","B7C3E3F76AAC1C14039E2E7A378144952B6684355FDAC3043760DD98AFF32FE9","baseline_before_runtime","primary watched log"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.log","code_revisions.log","1133","2026-08-10T02:06:00.7755947Z","B10577DED7BAE8B1D8723FA9C889DDCAF08EE02E99D033AD9D0C7757486DE923","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.log","custom_automated_stats.log","491","2026-08-10T02:39:25.4319731Z","F925EDC8B65E999A4F2024383A0B2C95DC08B858A9D8A2604C06DF22223A7F27","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.log","debug.log","104050","2026-08-10T02:46:04.7321290Z","631A4B481C4D8FC3BD487271AFAB6F453652E6A39BB5B7FB4026DAA1ECBDB95C","single_runtime_after","No PREP1C objective/music/localization parse match"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.log","dedicated_server.log","66","2026-08-10T02:39:23.8593940Z","9452B44FEC9B2775986ED65085B6BFB3D0D3CF3F1DD32D6337C04D10B41A1C92","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.log","error.log","97914","2026-08-10T02:41:26.5900799Z","E1AD007989128D8315C812D966FEAEC5164CA8BF7BF8CF6BF2E3108B9DD77183","single_runtime_after","Out-of-scope legacy law/history errors; no PREP1C objective/music/localization parse match"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.log","game.log","351549","2026-08-10T02:41:26.5900799Z","6BAB5B3AEDFE832BA7CA2A4B2670EAD0E2672438D9FA4107AFEF939A9D8FAFAC","single_runtime_after","Changed from baseline; no scoped parse match"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\gui.log","gui.log","5100","2026-08-10T02:07:54.5553140Z","4B7A686C8B959D2CD1E4F790FCBB41408AE9944A0AAF2C9A3BAD7F38C37C35D0","single_runtime_after","No scoped GUI error match"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.log","system.log","1100","2026-08-10T02:07:15.8578693Z","0471CA6E8A9663106A2B60E284C28F3FF7D6D754BC07326772FDDC3051A98053","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.log","warning.log","6234","2026-08-10T02:07:19.4579884Z","83D882B71DD4137A631D3DD96A3B5963A333C26EBEF9892BAF49BF2E5F00508C","single_runtime_after","Engine-wide registration warnings; no scoped warning match"
