"tag","cleanup2c1b_runtime_status","cleanup2c1c_scope","company_issue","tibet_issue","title_duplication_issue","root_cause","hotfix_action","historical_character","historical_title","company_executive","implementation_status","technical_defer_reason","files_touched","static_validation","notes"
"USA","PASS_RUNTIME_VALIDATED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","John Hancock","President of the Continental Congress","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","The fork's combination 'British colony + Washington as President' is internally and historically contradictory. Independence was not declared until July 1776."
"DEI","FAIL_INITIAL_COMPANY_EXECUTIVE_1B","COMPANY_INITIAL_EXECUTIVE","Historical executive template existed but was never explicitly instantiated during startup character history.","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","executive_usage registers an eligible candidate for engine selection/replacement; it does not itself execute create_character during scenario initialization. The engine therefore retained its generated fallback cadre.","Explicitly create the historical company-bound template in the owner country character-history scope after the companies are established by country history.","Egbert de Vrij Temminck","VOC Director / Bewindhebber, Amsterdam Chamber","Egbert de Vrij Temminck","DETERMINISTIC_INITIAL_EXECUTIVE_IMPLEMENTED_STATIC","","common/history/characters/cleanup2c1c - initial company executives 1776.txt","PASS_STATIC_RUNTIME_REQUIRED","Created under NET from DEI_egbert_de_vrij_temminck; bound to company_dutch_east_india_company. This remains a one-character abstraction of collective VOC governance."
"AGC","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","The polity is historical; accessible scholarship supports its structure but did not yield a secure named holder specifically on 1776-01-01."
"AIT","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","Late-18th-century authority was associated with the Mokrani lineage, but the exact holder for the start date is not sufficiently secure."
"ANK","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Rwabirere","Omugabe","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Ruler chronologies place Rwabirere roughly 1755–1783; precise life dates are not secure."
"ASH","PASS_RUNTIME_VALIDATED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Osei Kwadwo","Asantehene","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Osei Kwadwo ruled from 1764 until 1777."
"BEN","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Akengbuda","Oba","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Akengbuda reigned approximately 1750–1804."
"BGI","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Muhammad al-Amin","Mbang","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Ruler lists place Hajj Muhammad al-Amin in office 1751–1785."
"BNY","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Duhaga","Omukama","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Traditional/reconstructed chronologies generally place Duhaga in the mid-18th century through about 1782."
"BOR","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Ali IV","Mai","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Common ruler chronologies place Ali IV Kalirgima around 1750–1791."
