"priority","tag","country","packet_decision","implementation_status","character_actually_used","government_actually_used","ruler_title_actually_used","deferred_reason","files_touched","static_validation_result","notes"
"P0","USA","America","MAP_REWORK_DEFERRED_WITH_TEMPORARY_CONGRESS_EXECUTIVE","CORRECTED_AND_IMPLEMENTED","John Hancock","gov_cleanup2c1_usa","President of the Continental Congress","","common/character_templates/country_usa.txt; common/history/characters/usa.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The fork's combination 'British colony + Washington as President' is internally and historically contradictory. Independence was not declared until July 1776."
"P0","DEI","East Indies","FIX_P0_HISTORICAL_EXECUTIVE","CORRECTED_AND_IMPLEMENTED","Jeremias van Riemsdijk","gov_cleanup2c1_dei","Governor-General of the Dutch East Indies","","common/character_templates/country_dei.txt; common/history/characters/dei - dutch east indies.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Van Riemsdijk entered office on 28 December 1775 and served until 1777; Reinier de Klerk was his successor."
"P1","AGC","Angoche","IDENTITY_RESEARCH_DEFERRED_PROCEDURAL_ALLOWED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Keep a historically appropriate Sultan government/title but do not invent a personal name until a securely dated ruler sequence is available.","","PASS","The polity is historical; accessible scholarship supports its structure but did not yield a secure named holder specifically on 1776-01-01."
"P1","AIT","Ait Abbas","IDENTITY_MAP_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not invent an individual. Preserve a sheikhly/Mokrani abstraction and defer exact identity plus territorial mapping.","","PASS","Late-18th-century authority was associated with the Mokrani lineage, but the exact holder for the start date is not sufficiently secure."
"P1","ANK","Ankole","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Rwabirere","gov_cleanup2c1_ank","Omugabe","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler chronologies place Rwabirere roughly 1755–1783; precise life dates are not secure."
"P1","ASH","Ashanti","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Osei Kwadwo","gov_cleanup2c1_ash","Asantehene","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Osei Kwadwo ruled from 1764 until 1777."
"P1","BEN","Benin","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Akengbuda","gov_cleanup2c1_ben","Oba","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Akengbuda reigned approximately 1750–1804."
"P1","BGI","Bagirmi","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Muhammad al-Amin","gov_cleanup2c1_bgi","Mbang","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler lists place Hajj Muhammad al-Amin in office 1751–1785."
"P1","BNY","Bunyoro","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Duhaga","gov_cleanup2c1_bny","Omukama","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Traditional/reconstructed chronologies generally place Duhaga in the mid-18th century through about 1782."
"P1","BOR","Bornu","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ali IV","gov_cleanup2c1_bor","Mai","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Common ruler chronologies place Ali IV Kalirgima around 1750–1791."
