"tag","country_name_en","country_name_fr_if_available","active_1776","capital_or_primary_region","europe_classification","transcontinental","subject_type","overlord_tag","government_form","distribution_of_power","country_tier","ruler_name","ruler_age","ruler_title","ruler_source","ruler_generated","character_history_source","shared_monarch","regency","historical_packet_batch","historical_status","government_status","title_status","constitutional_status","map_dependency","research_required","recommended_next_action","notes"
"ANH","Anhalt","Anhalt","YES","STATE_ANHALT","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","principality","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","GENERIC_MONARCHY_UNVERIFIED","TITLE_RESEARCH_REQUIRED","GENERIC_MONARCHY_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-A historical and constitutional research before implementation.","Deferred Batch-2 constitutional/title mapping; generated ruler inferred from missing explicit ruler."
"AUS","Austria","Autriche","YES","STATE_AUSTRIA","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","empire","Maria Theresa","58","Archduchess","BATCH1_SCRIPTED","NO","common/history/characters/aus.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"BAD","Baden","Bade","YES","STATE_BADEN","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","grand_principality","Karl Friedrich von Zähringen","47","Margrave","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"BAV","Bavaria","Bavière","YES","STATE_BAVARIA","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","kingdom","Maximilian III Joseph von Wittelsbach","48","Elector","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"BEO","Austrian Netherlands (BEO/Belgium)","Pays-Bas autrichiens (BEO/Belgique)","YES","STATE_FLANDERS","EUROPE_DEPENDENCY","NO","crown_land","AUS","law_monarchy","law_landed_voting","kingdom","Procedural ruler (name not captured)","","Unverified crown-land executive","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","SUBJECT_FORM_PRESENT_REPRESENTATIVE_UNVERIFIED","TITLE_RESEARCH_REQUIRED","SUBJECT_FORM_PRESENT_REPRESENTATIVE_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-D historical and constitutional research before implementation.","User observed a generated character; BEO is the fork's Belgian tag representing the Austrian Netherlands and is an Austrian crown land."
"BRA","Brunswick","Brunswick","YES","STATE_BRUNSWICK","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","principality","Karl I von Welf","62","Duke","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"BRE","Bremen","Brême","YES","STATE_ELBE","EUROPE","NO","INDEPENDENT","","law_presidential_republic","law_wealth_voting","city_state","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","REPUBLIC_FORM_PRESENT_OFFICE_UNVERIFIED","TITLE_RESEARCH_REQUIRED","REPUBLIC_FORM_PRESENT_OFFICE_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-B historical and constitutional research before implementation.","Free-city republican laws are present; historical collective executive and title still need research."
"COB","Saxe-Coburg-Gotha","Saxe-Cobourg et Gotha","YES","STATE_SAXONY","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","principality","Ernst Friedrich von Saxe-Coburg-Saalfeld","51","Duke","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"CRI","Crimea","Crimée","YES","STATE_CRIMEA","EUROPE_BORDER_CASE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","principality","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","DEFERRED_BORDER_REGION","KHANATE_MODEL_UNVERIFIED","TITLE_RESEARCH_REQUIRED","KHANATE_MODEL_UNVERIFIED","YES","YES","P1 EUROPE-RESIDUAL-E historical and constitutional research before implementation.","Active Black Sea border polity; include now but research with the next regional/map-aware batch."
"DENNOR","Denmark-Norway","Danemark-Norvège","YES","STATE_ZEALAND","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","kingdom","Christian VII","26","King","BATCH1_SCRIPTED","NO","common/history/characters/cleanup2b1 - major rulers 1776.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"FRA","France","France","YES","STATE_ILE_DE_FRANCE","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","empire","Louis XVI","21","King","BATCH1_SCRIPTED","NO","common/history/characters/fra - france.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"FRM","Frankfurt","Francfort","YES","STATE_HESSE","EUROPE","NO","INDEPENDENT","","law_presidential_republic","law_wealth_voting","city_state","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","REPUBLIC_FORM_PRESENT_OFFICE_UNVERIFIED","TITLE_RESEARCH_REQUIRED","REPUBLIC_FORM_PRESENT_OFFICE_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-B historical and constitutional research before implementation.","Free-city republican laws are present; historical collective executive and title still need research."
"GAL","Galicia-Lodomeria","Galicie-Lodomérie","YES","STATE_EAST_GALICIA","EUROPE_DEPENDENCY","NO","crown_land","AUS","law_monarchy","law_landed_voting","principality","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","SUBJECT_FORM_PRESENT_REPRESENTATIVE_UNVERIFIED","TITLE_RESEARCH_REQUIRED","SUBJECT_FORM_PRESENT_REPRESENTATIVE_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-D historical and constitutional research before implementation.","Austrian crown-land abstraction; determine whether the visible engine ruler should represent a governor."
"GBR","Great Britain","Grande-Bretagne","YES","STATE_HOME_COUNTIES","EUROPE","NO","INDEPENDENT","","law_monarchy","law_wealth_voting","empire","George III","37","King","BATCH1_SCRIPTED","NO","common/history/characters/gbr.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"GEN","Most Serene Republic of Genoa","Sérénissime République de Gênes","YES","STATE_PIEDMONT","EUROPE","NO","INDEPENDENT","","law_presidential_republic","law_merchant_republic","kingdom","Brixio Giustiniani","62","Doge","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"GR3","Sicily","Sicile","YES","STATE_SICILY","EUROPE_DEPENDENCY","NO","personal_union","SIC","law_monarchy","law_autocracy","kingdom","Ferdinand de Bourbon","24","King","PERSONAL_UNION_SHARED","NO","common/history/characters/sic - naples sicily.txt","YES","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_SHARED_CROWN","VALIDATED_SHARED_CROWN","VALIDATED_PERSONAL_UNION","NO","NO","Retain validated shared monarch; do not duplicate character.",""
"HAM","Hamburg","Hambourg","YES","STATE_ELBE","EUROPE","NO","INDEPENDENT","","law_presidential_republic","law_wealth_voting","city_state","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","REPUBLIC_FORM_PRESENT_OFFICE_UNVERIFIED","TITLE_RESEARCH_REQUIRED","REPUBLIC_FORM_PRESENT_OFFICE_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-B historical and constitutional research before implementation.","Free-city republican laws are present; historical collective executive and title still need research."
"HAN","Hanover","Hanovre","YES","STATE_HANNOVER","EUROPE_DEPENDENCY","NO","personal_union","GBR","law_monarchy","law_oligarchy","kingdom","George III","37","Elector","PERSONAL_UNION_SHARED","NO","common/history/characters/gbr.txt","YES","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_SHARED_CROWN","VALIDATED_SHARED_CROWN","VALIDATED_PERSONAL_UNION","NO","NO","Retain validated shared monarch; do not duplicate character.",""
"HEK","Hesse-Kassel","Hesse-Cassel","YES","STATE_HESSE","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","principality","Friedrich II von Hesse-Kassel","55","Landgrave","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"HES","Hesse-Darmstadt","Hesse-Darmstadt","YES","STATE_HESSE","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","grand_principality","Ludwig IX von Hesse-Darmstadt","56","Landgrave","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"HOH","Hohenzollern","Hohenzollern","YES","STATE_WURTTEMBERG","EUROPE_DEPENDENCY","NO","puppet","PRU","law_monarchy","law_oligarchy","principality","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","COUNTRY_ABSTRACTION_RESEARCH_REQUIRED","GENERIC_MONARCHY_UNVERIFIED","TITLE_RESEARCH_REQUIRED","GENERIC_MONARCHY_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-A historical and constitutional research before implementation.","Generated ruler and polity identity need research; fork models a Prussian puppet."
