"tag","country_name_en","country_name_fr_if_available","active_1776","world_region","world_subregion","capital_or_primary_region","current_engine_classification","exclusion_reason","decentralized_exception_review","recommended_future_action","notes"
"ABB","ABB","","YES","ARABIAN_PENINSULA","ARABIA","STATE_ABU_DHABI","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"ABS","Absaroka","Absaroka","YES","NORTH_AMERICA","GREAT_PLAINS","STATE_MONTANA","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"ACH","Acholi","Acholi","YES","EAST_AFRICA","EAST_AFRICA","STATE_UGANDA","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"ADG","Kel Adagh","Kel Adagh","YES","WEST_AFRICA","WEST_AFRICA","STATE_TIMBUKTU","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"ADR","Adrar","Adrar","YES","WEST_AFRICA","WEST_AFRICA","STATE_INNER_MAURITANIA","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"AHG","Kel Ahaggar","Kel Ahaggar","YES","NORTH_AFRICA","NORTH_AFRICA","STATE_EAST_SAHARA","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"AIN","Ainu Mosir","Ainu Mosir","YES","EAST_ASIA","NORTHEAST_ASIA","STATE_HOKKAIDO","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"AIR","Kel Air","Kel Aïr","YES","WEST_AFRICA","WEST_AFRICA","STATE_NIGER","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"AJJ","Kel Ajjer","Kel Ajjer","YES","NORTH_AFRICA","NORTH_AFRICA","STATE_LIBYAN_DESERT","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"AJR","Ajuran","Ajuran","YES","EAST_AFRICA","EAST_AFRICA","STATE_KENYA","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"AP7","AP7","","YES","SOUTH_AMERICA","BRAZIL","STATE_AMAZONAS","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"APC","Apache","Apaches","YES","NORTH_AMERICA","GREAT_PLAINS","STATE_NEW_MEXICO","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"ARH","Arnhem","Arnhem","YES","OCEANIA","PACIFIC","STATE_NORTHERN_TERRITORY","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"ARP","Arapaho","Arapaho","YES","NORTH_AMERICA","GREAT_PLAINS","STATE_COLORADO","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"ARR","Arrernte","Arrernte","YES","OCEANIA","PACIFIC","STATE_NORTHERN_TERRITORY","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"ATB","Athabaska","Athabasca","YES","NORTH_AMERICA","CANADA","STATE_NORTHWEST_TERRITORIES","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"ATR","Kel Ataram","Kel Ataram","YES","WEST_AFRICA","WEST_AFRICA","STATE_TIMBUKTU","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
"AUL","Aulihan","Aulihan","YES","EAST_AFRICA","EAST_AFRICA","STATE_KENYA","country_type=decentralized","Permanently outside centralized historical-ruler audit","NOT_REQUIRED","MAP / POPULATION / POLITICAL STRUCTURE REWORK","Do not audit ruler, ruler age, character or starting ruler; no research-queue entry."
