tag,country,expected_ruler,implemented_ruler,expected_age,implementation_date_mode,current_title,status,source_template,history_file,localization_file,special_case,runtime_required,notes
GBR,Great Britain,George III,George III,37,exact_birth_date,King,PASS,gbr_george_iii_hanover_template,common/history/characters/gbr.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,NO,YES,Existing DNA and identity preserved; birth date corrected to 1738-06-04.
FRA,Kingdom of France,Louis XVI,Louis XVI,21,exact_birth_date,King,PASS,king_louis_xvi_fra,common/history/characters/fra - france.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,TITLE_FIX,YES,Existing DNA and identity preserved; 1754-08-23 and the country-specific Ancien Regime government prevent Emperor.
SPA,Spain,Charles III,Charles III,59,exact_birth_date,King,PASS,spa_charles_bourbon_iii,common/history/characters/spa.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,NO,YES,Existing DNA and identity preserved; birth date corrected to 1716-01-20.
POR,Kingdom of Portugal,Joseph I,Joseph I,61,exact_birth_date,King,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,NO,YES,Replaces the engine-generated ruler.
RUS,Russian Empire,Catherine II,Catherine II,46,exact_birth_date_new_style,Tsarina,PASS,direct_history,common/history/characters/rus.txt,base_name_localization,NO,YES,Existing identity preserved; birth date corrected to 1729-05-02.
PRU,Prussia,Frederick II,Frederick II,63,exact_birth_date,King,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,NO,YES,Replaces the generated child ruler; no military formation added.
AUS,Habsburg Monarchy,Maria Theresa,Maria Theresa,58,exact_birth_date,Archduchess,PASS,direct_history,common/history/characters/aus.txt,base_name_localization,PRIMARY_RULER,YES,Only starting ruler; birth date corrected to 1717-05-13.
AUS_SECONDARY,Habsburg Monarchy,Joseph II,Joseph II,34,exact_birth_date,Archduke,PASS,direct_history,common/history/characters/aus.txt,base_name_localization,SECONDARY_HEIR,YES,Historical secondary character and heir; ruler flag removed.
SWE,Sweden,Gustav III,Gustav III,29,exact_birth_date,King,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,NO,YES,Replaces the engine-generated ruler.
DENNOR,Denmark-Norway,Christian VII,Christian VII,26,exact_birth_date,King,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,TAG_RESOLVED_FROM_DEN,YES,Fork tag is DENNOR; replaces the engine-generated ruler.
PLC,Polish-Lithuanian Commonwealth,Stanislaw August Poniatowski,Stanislaw August Poniatowski,43,exact_birth_date,King and Grand Duke,PASS,PLC_Stanislaw,common/history/characters/plc - poland lithuania.txt,existing_mod_localization,ELECTIVE_MONARCHY,YES,Existing DNA and identity preserved; birth date corrected to 1732-01-17.
TUR,Ottoman Empire,Abdulhamid I,Abdulhamid I,50,exact_birth_date,Sultan,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,NO,YES,Replaces the engine-generated ruler.
CHI,Qing Empire,Hongli (Qianlong Emperor),Hongli,64,exact_birth_date,Emperor,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,RELIGION_MAPPED_CONFUCIAN,YES,Uses existing manchu primary culture and rel:confucian; no new religion system.
