tag,country,expected_ruler,implemented_ruler,expected_age,date_mode,title,government,implementation_mode,shared_monarch,regency,history_file,localization_file,status,runtime_required,notes
BAV,Electorate of Bavaria,Maximilian III Joseph,Maximilian III Joseph von Wittelsbach,48,exact_birth_date,Elector,gov_1776_electorate,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Birth date 1727-03-28; country-specific title prevents King."
SAX,Electorate of Saxony,Frederick Augustus III,Frederick Augustus III von Wettin,25,exact_birth_date,Elector,gov_1776_electorate,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Birth date 1750-12-23; later royal identity is not used."
WUR,Duchy of Württemberg,Karl Eugen,Karl Eugen von Württemberg,47,exact_birth_date,Duke,gov_1776_duchy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Birth date 1728-02-11; kingdom-tier King title is overridden."
BAD,Margraviate of Baden,Karl Friedrich,Karl Friedrich von Zähringen,47,exact_birth_date,Margrave,gov_1776_margraviate,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Birth date 1728-11-22; no later Grand Duke title."
BRA,Brunswick-Wolfenbüttel,Karl I,Karl I von Welf,62,exact_birth_date,Duke,gov_1776_duchy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Birth date 1713-08-01; not confused with Karl Wilhelm Ferdinand."
HEK,Hesse-Kassel,Friedrich II,Friedrich II von Hesse-Kassel,55,exact_birth_date,Landgrave,gov_1776_landgraviate,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Personal Catholic religion encoded; country laws unchanged."
HES,Hesse-Darmstadt,Ludwig IX,Ludwig IX von Hesse-Darmstadt,56,exact_birth_date,Landgrave,gov_1776_landgraviate,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Fork HES identity confirmed by vanilla Hesse-Darmstadt templates and distinct HEK ownership."
MEC,Mecklenburg-Schwerin,Friedrich II the Pious,Friedrich II the Pious von Mecklenburg-Schwerin,58,exact_birth_date,Duke,gov_1776_duchy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Existing puppet relationship to Sweden preserved."
MST,Mecklenburg-Strelitz,Adolf Friedrich IV,Adolf Friedrich IV von Mecklenburg-Strelitz,37,exact_birth_date,Duke,gov_1776_duchy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Existing puppet relationship to Sweden preserved."
WEI,Saxe-Weimar-Eisenach,Karl August,Karl August von Saxe-Weimar-Eisenach,18,exact_birth_date,Duke,gov_1776_duchy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Direct adult ruler; Anna Amalia regency not reintroduced."
