tag_hint,country_1776,ruler_name,title_1776,birth_date,death_date,age_1776,office_start,office_end,house,religion,ruler_mode,date_policy,confidence,implementation_policy,source_1,source_2,note
BAV,Electorate of Bavaria,Maximilian III Joseph,Elector of Bavaria,1727-03-28,1777-12-30,48,1745,1777-12-30,Wittelsbach,Catholic,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/gnd118579436.html,https://www.deutsche-biographie.de/sfz59369.html,"Use Elector, not King. Dies late 1777; succession events are out of scope."
SAX,Electorate of Saxony,Frederick Augustus III,Elector of Saxony,1750-12-23,1827-05-05,25,1763,1806 as elector; later king,Wettin (Albertine),Catholic,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/gnd119165198.html,,"In 1776 he is Frederick Augustus III, Elector; do not use his later royal title Frederick Augustus I of Saxony."
WUR,Duchy of Württemberg,Karl Eugen,Duke of Württemberg,1728-02-11,1793-10-24,47,1737; personal government after regency,1793-10-24,Württemberg,Catholic,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/gnd118560158.html,,"Use Duke, not King."
BAD,Margraviate of Baden,Karl Friedrich,Margrave of Baden,1728-11-22,1811-06-10,47,1746 personal rule; united Baden inheritance 1771,1811-06-10,Zähringen,Lutheran,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/sfz53394.html,https://www.deutsche-biographie.de/ppn118560166.html,In 1776 title is Margrave. Elector/Grand Duke are later titles and must not appear.
BRA,Brunswick-Wolfenbüttel,Karl I,"Duke of Brunswick-Lüneburg, Prince of Brunswick-Wolfenbüttel",1713-08-01,1780-03-26,62,1735,1780-03-26,Welf,Lutheran,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/gnd10044220X.html,,Do not confuse Karl I with his son/heir Karl Wilhelm Ferdinand.
HEK,Hesse-Kassel,Friedrich II,Landgrave of Hesse-Kassel,1720-08-14,1785-10-31,55,1760,1785-10-31,Hesse-Kassel,Catholic since 1749,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/sfz27764.html,,His personal religion was Catholic; do not infer the state's confessional laws from the ruler alone.
HES,Hesse-Darmstadt,Ludwig IX,Landgrave of Hesse-Darmstadt,1719-12-15,1790-04-06,56,1768,1790-04-06,Hesse-Darmstadt,Lutheran,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/sfz54750.html,,Tag HES must be technically confirmed as Hesse-Darmstadt by Codex before implementation.
MEC,Mecklenburg-Schwerin,Friedrich II 'the Pious',Duke of Mecklenburg-Schwerin,1717-11-09,1785,58,1756-05-30,1785,Mecklenburg-Schwerin,Lutheran,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/gnd100619258.html,,Do not substitute later Mecklenburg rulers.
MST,Mecklenburg-Strelitz,Adolf Friedrich IV,Duke of Mecklenburg-Strelitz,1738-05-05,1794-06-02,37,1752-12-11,1794-06-02,Mecklenburg-Strelitz,Lutheran,effective,exact_birth_date,HIGH,RULER,https://mecklenburg-strelitz.org/history/grand-dukes/adolf-friedrich-iv-duke-of-mecklenburg/,https://www.deutsche-biographie.de/gnd14268130X.html,His younger brother Karl only succeeds in 1794.
WEI,Saxe-Weimar-Eisenach,Karl August,Duke of Saxe-Weimar-Eisenach,1757-09-03,1828-06-14,18,1775 personal government,1828-06-14,Wettin (Ernestine),Lutheran,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/gnd11856014X.html,https://www.deutsche-biographie.de/gnd118649485.html,"Anna Amalia's regency ended in 1775, so Karl August is the starting ruler on 1776-01-01."
