"tag","country","packet_character","implemented_character","expected_age","implemented_age","title","government","historical_role","implementation_mode","mapping_status","shared_monarch","delegated_executive","justified_procedural","map_deferred","abstraction_deferred","history_file","government_file","localization_file","static_status","runtime_required","notes"
"ANH","Anhalt abstraction","Leopold III Friedrich Franz","","35","","Unresolved branch title","law_monarchy / law_oligarchy","Conditional Anhalt-Dessau candidate","ABSTRACTION_DEFERRED","ABSTRACTION_DEFERRED","NO","NO","NO","NO","YES","","","","DEFERRED_JUSTIFIED","NO","Local fork evidence names only generic Anhalt and does not distinguish Dessau, Bernburg, Köthen, or Zerbst."
"BEO","Austrian Netherlands","Charles Alexander of Lorraine","Charles Alexander of Lorraine","63","63","Governor-General","gov_1776_austrian_netherlands_governorate","Delegated Habsburg Governor-General","HISTORICAL_DELEGATED_EXECUTIVE","IMPLEMENTED","NO","YES","NO","NO","NO","common/history/characters/cleanup2b3 - residual europe rulers 1776.txt","common/government_types/00_mod_gov_types.txt","localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml","PASS","YES","BEO remains an AUS crown land; Maria Theresa remains sovereign."
"BRE","Free Imperial City of Bremen","Hermann von Line","Hermann von Line","70","70","Bürgermeister","gov_1776_free_city_mayoralty","Collective free-city executive abstraction","HISTORICAL_SCRIPTED","IMPLEMENTED","NO","NO","NO","NO","NO","common/history/characters/cleanup2b3 - residual europe rulers 1776.txt","common/government_types/00_mod_gov_types.txt","localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml","PASS","YES","Republican laws and elective transfer preserved."
"CRI","Crimean Khanate","Devlet IV Giray","Devlet IV Giray","47","47","Khan","gov_1776_crimean_khanate","Crimean Khan, second reign","HISTORICAL_SCRIPTED","IMPLEMENTED_RULER_MAP_CONTEXT_DEFERRED","NO","NO","NO","YES","NO","common/history/characters/cleanup2b3 - residual europe rulers 1776.txt","common/government_types/00_mod_gov_types.txt","localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml","PASS","YES","Only ruler/title changed; territory, diplomacy, ownership, and subject status untouched."
"FRM","Free Imperial City of Frankfurt","Hieronymus Maximilian von Glauburg","Hieronymus Maximilian von Glauburg","60","60","Senior Mayor","gov_1776_frankfurt_senior_mayoralty","Collective patrician executive abstraction","HISTORICAL_SCRIPTED","IMPLEMENTED","NO","NO","NO","NO","NO","common/history/characters/cleanup2b3 - residual europe rulers 1776.txt","common/government_types/00_mod_gov_types.txt","localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml","PASS","YES","Approximate age retained; republic preserved."
"GAL","Galicia and Lodomeria","Heinrich Joseph Johann von Auersperg","Heinrich Joseph Johann von Auersperg","78","78","Governor","gov_1776_galician_governorate","Delegated Habsburg Governor","HISTORICAL_DELEGATED_EXECUTIVE","IMPLEMENTED","NO","YES","NO","NO","NO","common/history/characters/cleanup2b3 - residual europe rulers 1776.txt","common/government_types/00_mod_gov_types.txt","localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml","PASS","YES","GAL remains an AUS crown land; Maria Theresa remains sovereign."
"HAM","Free Imperial City of Hamburg","Nicolaus Schuback","Nicolaus Schuback","75","75","Bürgermeister","gov_1776_free_city_mayoralty","Collective free-city executive abstraction","HISTORICAL_SCRIPTED","IMPLEMENTED","NO","NO","NO","NO","NO","common/history/characters/cleanup2b3 - residual europe rulers 1776.txt","common/government_types/00_mod_gov_types.txt","localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml","PASS","YES","Republican laws and elective transfer preserved."
"HOH","Hohenzollern abstraction","Karl Friedrich of Hohenzollern-Sigmaringen","","51","","Unresolved branch title","law_monarchy / law_oligarchy","Conditional Sigmaringen candidate","ABSTRACTION_DEFERRED","ABSTRACTION_DEFERRED","NO","NO","NO","NO","YES","","","","DEFERRED_JUSTIFIED","NO","Local evidence says only Hohenzollern; Sigmaringen versus Hechingen is not proven. PRU puppet pact untouched."
"HUN","Kingdom of Hungary","Albert Casimir of Saxony-Teschen","Albert Casimir of Saxony-Teschen","37","37","Royal Governor / Lieutenant","gov_1776_hungarian_lieutenancy","Delegated Habsburg royal governor/lieutenant","HISTORICAL_DELEGATED_EXECUTIVE","IMPLEMENTED","NO","YES","NO","NO","NO","common/history/characters/cleanup2b3 - residual europe rulers 1776.txt","common/government_types/00_mod_gov_types.txt","localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml","PASS","YES","HUN remains an AUS crown land; Albert is never titled King."
"IREK","Kingdom of Ireland","George III","George III","37","37","King","personal-union shared crown","Shared sovereign with Great Britain","SHARED_HISTORICAL_MONARCH","VERIFIED_AND_LAW_FIXED","YES","NO","NO","NO","NO","common/history/characters/gbr.txt","vanilla personal-union government selection","existing Batch-1/base localization","PASS","YES","No duplicate character; IREK remains in personal union under GBR. law_type:state_religion corrected unambiguously to law_type:law_state_religion."
"LUB","Free Imperial City of Lübeck","Bernhard von Wickede","Bernhard von Wickede","70","70","Bürgermeister","gov_1776_free_city_mayoralty","Collective free-city executive abstraction","HISTORICAL_SCRIPTED","IMPLEMENTED","NO","NO","NO","NO","NO","common/history/characters/cleanup2b3 - residual europe rulers 1776.txt","common/government_types/00_mod_gov_types.txt","localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml","PASS","YES","Republic preserved; existing SWE puppet pact untouched."
