tag,country_1776,fork_country_name,world_region,current_fork_role,recommended_character,recommended_title,birth_date,age_1776,date_policy,office_1776,government_1776,succession_or_election,nominal_sovereign,effective_executive,subject_type,overlord,colonial_or_company,map_dependency,recommended_v3_representation,implementation_decision,identity_confidence,constitutional_confidence,mapping_confidence,source_1,source_2,source_3,notes
USA,Thirteen Colonies / Continental Congress rebel polity,America,NORTH_AMERICA,PRE_EXISTING_HISTORICAL_SCRIPTED; ruler=George Washington; title=President; government=law_presidential_republic,John Hancock (political presiding officer); George Washington only as commander,President of the Continental Congress,1737-01-23,38,EXACT_IF_SOURCED,President of the Second Continental Congress,Revolutionary intercolonial congress; no U.S. presidency existed,Congress elected its president; executive authority collective/committee-based,George III of Great Britain,"Continental Congress (collective), chaired by John Hancock",colony,GBR,YES,MAJOR,"Remove Washington from the civil ruler slot. If the unified USA tag must retain a visible 1776 political executive before map rework, use John Hancock only as a temporary abstraction titled President of the Continental Congress; do not present him as sovereign or President of the United States.",MAP_REWORK_DEFERRED_WITH_TEMPORARY_CONGRESS_EXECUTIVE,HIGH,HIGH,LOW,Library of Congress — George Washington timeline | https://www.loc.gov/collections/george-washington-papers/articles-and-essays/timeline/,U.S. National Archives — Declaration history | https://www.archives.gov/founding-docs/declaration-history,John Hancock | https://en.wikipedia.org/wiki/John_Hancock,The fork's combination 'British colony + Washington as President' is internally and historically contradictory. Independence was not declared until July 1776.
DEI,Dutch East Indies / VOC Batavia government,East Indies,SOUTHEAST_ASIA,DELEGATED_EXECUTIVE; ruler=Reinier de Klerk; title=Governor-General; government=law_colonial_administration,Jeremias van Riemsdijk,Governor-General of the Dutch East Indies,1712-10-18,63,EXACT_IF_SOURCED,Governor-General of the VOC in Asia,Dutch East India Company delegated colonial government,VOC appointment by company institutions; not hereditary sovereignty,Dutch Republic / VOC directors,Jeremias van Riemsdijk,chartered_company,NET,YES,MAJOR,Replace the erroneous Reinier de Klerk template with Jeremias van Riemsdijk. Strip copied BIC artefacts; use an appointed/delegated company executive title.,FIX_P0_HISTORICAL_EXECUTIVE,HIGH,HIGH,HIGH,Jeremias van Riemsdijk | https://en.wikipedia.org/wiki/Jeremias_van_Riemsdijk,Nationaal Archief — Van Riemsdijk family archive | https://www.nationaalarchief.nl/onderzoeken/archief/2.21.307,Governor-General of the Dutch East Indies | https://en.wikipedia.org/wiki/Governor-General_of_the_Dutch_East_Indies,Van Riemsdijk entered office on 28 December 1775 and served until 1777; Reinier de Klerk was his successor.
AGC,Angoche Sultanate,Angoche,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Sultan,,,NOT_APPLICABLE,Sultan of Angoche; exact 1776 holder unresolved,Swahili-Islamic coastal sultanate with local lineage politics,Dynastic/lineage succession within Angoche ruling elite,,Exact holder unresolved,INDEPENDENT,,NO,NO,Keep a historically appropriate Sultan government/title but do not invent a personal name until a securely dated ruler sequence is available.,IDENTITY_RESEARCH_DEFERRED_PROCEDURAL_ALLOWED,LOW,MEDIUM,HIGH,Liazzat J. K. Bonate — The Ascendance of Angoche | https://www.persee.fr/doc/cea_0008-0055_2003_num_43_170_3357,Malyn Newitt — Angoche and the slave trade | https://www.jstor.org/,,The polity is historical; accessible scholarship supports its structure but did not yield a secure named holder specifically on 1776-01-01.
AIT,Ait Abbas / Medjana polity,Ait Abbas,NORTH_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Sheikh of Medjana / Mokrani chief,,,NOT_APPLICABLE,Mokrani dynastic chief; exact 1776 holder unresolved,Kabyle mountain principality/confederated lordship around the Mokrani house,Dynastic-clan succession amid fragmented Kabyle authority,,Mokrani house,INDEPENDENT,,NO,NO,Do not invent an individual. Preserve a sheikhly/Mokrani abstraction and defer exact identity plus territorial mapping.,IDENTITY_MAP_REWORK_DEFERRED,LOW,MEDIUM,LOW,Kingdom of Ait Abbas | https://en.wikipedia.org/wiki/Kingdom_of_Ait_Abbas,Mokrani Revolt | https://en.wikipedia.org/wiki/Mokrani_Revolt,,"Late-18th-century authority was associated with the Mokrani lineage, but the exact holder for the start date is not sufficiently secure."
ANK,Ankole,Ankole,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Rwabirere,Omugabe,,,UNKNOWN_NO_INVENTION,Omugabe of Ankole,Hereditary Hima monarchical polity,Dynastic succession,,Rwabirere,INDEPENDENT,,NO,NO,Implement Rwabirere as Omugabe with approximate chronology only.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Ankole | https://en.wikipedia.org/wiki/Ankole,Omugabe of Ankole | https://en.wikipedia.org/wiki/Omugabe_of_Ankole,,Ruler chronologies place Rwabirere roughly 1755–1783; precise life dates are not secure.
ASH,Asante Empire,Ashanti,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Osei Kwadwo,Asantehene,,,UNKNOWN_NO_INVENTION,Asantehene,Asante centralized monarchy with matrilineal dynastic selection and council constraints,Selection from eligible royal matrilineages with political approval,,Osei Kwadwo,INDEPENDENT,,NO,NO,Implement Osei Kwadwo as Asantehene; use the specific title and avoid generic hereditary-king assumptions.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Osei Kwadwo | https://en.wikipedia.org/wiki/Osei_Kwadwo,Ashanti Empire | https://en.wikipedia.org/wiki/Ashanti_Empire,,Osei Kwadwo ruled from 1764 until 1777.
BEN,Kingdom of Benin,Benin,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Akengbuda,Oba,1720,~55,YEAR_ONLY_APPROX_AGE,Oba of Benin,Hereditary Benin monarchy,Dynastic succession within the royal house,,Akengbuda,INDEPENDENT,,NO,NO,Implement Akengbuda with title Oba.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Akengbuda | https://en.wikipedia.org/wiki/Akengbuda,Oba of Benin | https://en.wikipedia.org/wiki/Oba_of_Benin,,Akengbuda reigned approximately 1750–1804.
BGI,Sultanate of Bagirmi,Bagirmi,CENTRAL_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Muhammad al-Amin,Mbang / Sultan,,,UNKNOWN_NO_INVENTION,Mbang of Bagirmi,Centralized Bagirmi monarchy with Islamic court institutions,Dynastic succession,,Muhammad al-Amin,INDEPENDENT,,NO,NO,"Implement Muhammad al-Amin; prefer the local title Mbang, optionally localized with Sultan.",IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Sultanate of Bagirmi | https://en.wikipedia.org/wiki/Sultanate_of_Bagirmi,List of rulers of Bagirmi | https://en.wikipedia.org/wiki/List_of_rulers_of_Bagirmi,,Ruler lists place Hajj Muhammad al-Amin in office 1751–1785.
BNY,Bunyoro-Kitara,Bunyoro,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Duhaga,Omukama,,,UNKNOWN_NO_INVENTION,Omukama of Bunyoro,Hereditary Babiito monarchy,Dynastic succession,,Duhaga,INDEPENDENT,,NO,NO,"Implement Duhaga as Omukama, with approximate dates only.",IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Duhaga of Bunyoro | https://en.wikipedia.org/wiki/Duhaga_of_Bunyoro,Bunyoro | https://en.wikipedia.org/wiki/Bunyoro,,Traditional/reconstructed chronologies generally place Duhaga in the mid-18th century through about 1782.
BOR,Bornu Empire,Bornu,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ali IV,Mai,,,UNKNOWN_NO_INVENTION,Mai of Bornu,Sefuwa dynastic monarchy,Dynastic succession,,Ali IV,INDEPENDENT,,NO,NO,Implement Ali IV with the title Mai.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Bornu Empire | https://en.wikipedia.org/wiki/Bornu_Empire,Sayfawa dynasty | https://en.wikipedia.org/wiki/Sayfawa_dynasty,,Common ruler chronologies place Ali IV Kalirgima around 1750–1791.
