country_tag,country_name,character_id,name,role,is_ruler,is_ig_leader,is_general,is_admiral,other_role,birth_date,age_field,computed_age_1776,death_date,home_region,culture,religion,historical_status,actual_1776_holder,problem_type,date_quality,likely_1836_inheritance,priority,confidence,source_file,source_line_or_block,template_source,historical_source_1,historical_source_2,recommended_action
ABB,Arab Emirates,UNSCRIPTED_RULER_ABB,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ABS,Absaroka,UNSCRIPTED_RULER_ABS,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ACE,Aceh,ACE_alauddin_muhammad_bugis,Alauddin Muhammad Bugis,RULER,YES,NO,NO,NO,,,34,,,STATE_ACEH,primary_culture,,ANACHRONISTIC,RESEARCH_REQUIRED,LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,APPROXIMATION_NOT_DOCUMENTED,YES,P1_HIGH,MEDIUM,vanilla:common/history/characters/ace - aceh.txt,3,vanilla:common/character_templates/country_ace.txt:1,,,REPLACE_CHARACTER
ACE,Aceh,ACE_alauddin_sulaiman_bugis,Alauddin Sulaiman Bugis,HEIR,NO,NO,NO,NO,HEIR,,8,,,STATE_ACEH,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,LIKELY_1836_INHERITANCE,APPROXIMATION_NOT_DOCUMENTED,YES,P2_MEDIUM,MEDIUM,vanilla:common/history/characters/ace - aceh.txt,7,vanilla:common/character_templates/country_ace.txt:16,,,RESEARCH_MORE
ACH,Acholi,UNSCRIPTED_RULER_ACH,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ADG,Kel Adagh,UNSCRIPTED_RULER_ADG,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ADR,Adrar,UNSCRIPTED_RULER_ADR,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
AGC,Angoche,AGC_alawi_muissuruma,Alawi Muossirima,RULER;GENERAL,YES,NO,YES,NO,,1775.2.3,,0,,STATE_MOCAMBIQUE,cu:swahili,,ANACHRONISTIC,RESEARCH_REQUIRED,LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,EXACT_DATE_WEAKLY_SOURCED,YES,P1_HIGH,MEDIUM,vanilla:common/history/characters/agc - angoche.txt,3,vanilla:common/character_templates/country_agc.txt:7,,,REPLACE_CHARACTER
AGC,Angoche,AGC_ahmadi_bari,Ahmadi ibn Sulayman,HEIR,NO,NO,NO,NO,HEIR,1787.5.2,,-12,,STATE_MOCAMBIQUE,cu:swahili,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/agc - angoche.txt,6,vanilla:common/character_templates/country_agc.txt:23,,,REMOVE_ANACHRONISTIC_CHARACTER
AHG,Kel Ahaggar,UNSCRIPTED_RULER_AHG,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
AIN,Ainu Mosir,UNSCRIPTED_RULER_AIN,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
AIR,Kel Air,UNSCRIPTED_RULER_AIR,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
