country_tag,country_name,character_id,name,role,is_ruler,is_ig_leader,is_general,is_admiral,other_role,birth_date,age_field,computed_age_1776,death_date,home_region,culture,religion,historical_status,actual_1776_holder,problem_type,date_quality,likely_1836_inheritance,priority,confidence,source_file,source_line_or_block,template_source,historical_source_1,historical_source_2,recommended_action,vfs_state,simulation_basis
ABB,Arab Emirates,UNSCRIPTED_RULER_ABB,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ABS,Absaroka,UNSCRIPTED_RULER_ABS,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ACE,Aceh,UNSCRIPTED_RULER_ACE,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ACH,Acholi,UNSCRIPTED_RULER_ACH,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ADG,Kel Adagh,UNSCRIPTED_RULER_ADG,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ADR,Adrar,UNSCRIPTED_RULER_ADR,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AGC,Angoche,UNSCRIPTED_RULER_AGC,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AHG,Kel Ahaggar,UNSCRIPTED_RULER_AHG,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AIN,Ainu Mosir,UNSCRIPTED_RULER_AIN,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AIR,Kel Air,UNSCRIPTED_RULER_AIR,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AIT,Ait Abbas,UNSCRIPTED_RULER_AIT,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AJJ,Kel Ajjer,UNSCRIPTED_RULER_AJJ,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AJR,Ajuran,UNSCRIPTED_RULER_AJR,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ALK,Alaska,UNSCRIPTED_RULER_ALK,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ANH,Anhalt,UNSCRIPTED_RULER_ANH,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ANK,Ankole,UNSCRIPTED_RULER_ANK,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AP7,Kayapo,UNSCRIPTED_RULER_AP7,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
APC,Apache,UNSCRIPTED_RULER_APC,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ARB,Arabistan,UNSCRIPTED_RULER_ARB,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ARH,Arnhem,UNSCRIPTED_RULER_ARH,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ARP,Arapaho,UNSCRIPTED_RULER_ARP,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
