tag,country_name,domain,formation_name,source_file,source_line_or_block,hq,base_state_if_relevant,unit_type,unit_count,estimated_engine_manpower,commander_count,commander_names,duplicate_name_count,duplicate_definition,empty,invalid_reference,vfs_status,risk_level,notes
AGC,Angoche,army,army_of_angoche,common/history/military_formations/07_military_formations_subsaharan_africa.txt,line 3,region_east_africa,,combat_unit_type_irregular_infantry=5,5,5000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
ARB,Arabistan,army,<unnamed@520>,common/history/military_formations/04_military_formations_middle_east.txt,line 520,region_greater_persia,,combat_unit_type_hussars=1;combat_unit_type_irregular_infantry=4,5,5000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
AUS,Austria,army,generalkommando_agram,common/history/military_formations/00_military_formations_europe.txt,line 585,region_balkans,,combat_unit_type_cannon_artillery=6;combat_unit_type_cuirassiers=4;combat_unit_type_line_infantry=22,32,32000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
AUS,Austria,army,generalkommando_lemberg,common/history/military_formations/00_military_formations_europe.txt,line 612,region_russia,,combat_unit_type_cannon_artillery=2;combat_unit_type_cuirassiers=1;combat_unit_type_line_infantry=12,15,15000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
AUS,Austria,army,generalkommando_wien,common/history/military_formations/00_military_formations_europe.txt,line 654,region_central_europe,,combat_unit_type_cannon_artillery=2;combat_unit_type_dragoons=4;combat_unit_type_line_infantry=12,18,18000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
AUS,Austria,army,armee_in_italien,common/history/military_formations/00_military_formations_europe.txt,line 696,region_southern_europe,,combat_unit_type_cannon_artillery=6;combat_unit_type_cuirassiers=7;combat_unit_type_dragoons=6;combat_unit_type_line_infantry=68,87,87000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
AUS,Austria,fleet,<unnamed@571>,common/history/military_formations/00_military_formations_europe.txt,line 571,region_balkans,STATE_CROATIA:3,ship_type_frigate=6;ship_type_ship_of_the_line=3,9,5400,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=3000; country_fleet_crew_requirement=5400 No explicit name key; engine/localization may generate a visible name.
AWA,Awadh,army,OudhRoyalArmy,common/history/military_formations/05_military_formations_india.txt,line 269,region_north_india,,combat_unit_type_cannon_artillery=2;combat_unit_type_cuirassiers=1;combat_unit_type_hussars=2;combat_unit_type_irregular_infantry=15;combat_unit_type_lancers=4;combat_unit_type_line_infantry=25,49,49000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
BAD,Baden,army,Groherzoglich_Badische_Armee,common/history/military_formations/00_military_formations_europe.txt,line 2491,region_central_europe,,combat_unit_type_cannon_artillery=2;combat_unit_type_dragoons=3;combat_unit_type_line_infantry=5,10,10000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
BAV,Bavaria,army,I_ArmeeKorps,common/history/military_formations/00_military_formations_europe.txt,line 2593,region_central_europe,,combat_unit_type_cannon_artillery=1;combat_unit_type_cuirassiers=2;combat_unit_type_hussars=4;combat_unit_type_line_infantry=9,16,16000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
BAV,Bavaria,army,II_ArmeeKorps,common/history/military_formations/00_military_formations_europe.txt,line 2629,region_central_europe,,combat_unit_type_cannon_artillery=1;combat_unit_type_hussars=2;combat_unit_type_lancers=2;combat_unit_type_line_infantry=9,14,14000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
BEO,Austrian Netherlands (BEO/Belgium),army,Armee_Belge,common/history/military_formations/00_military_formations_europe.txt,line 3690,region_western_europe,,combat_unit_type_cannon_artillery=3;combat_unit_type_cuirassiers=1;combat_unit_type_dragoons=2;combat_unit_type_hussars=1;combat_unit_type_lancers=2;combat_unit_type_line_infantry=15,24,24000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
BEO,Austrian Netherlands (BEO/Belgium),fleet,Marine_Royale,common/history/military_formations/00_military_formations_europe.txt,line 3679,region_western_europe,,ship_type_frigate=1,1,500,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P0,country_sailor_capacity=0; country_fleet_crew_requirement=500
BHV,Bhavnagar,army,BhavnagarArmy,common/history/military_formations/05_military_formations_india.txt,line 556,region_north_india,,combat_unit_type_irregular_infantry=2;combat_unit_type_lancers=1;combat_unit_type_line_infantry=1,4,4000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
BIC,East India,army,Bengal_Army,common/history/military_formations/05_military_formations_india.txt,line 116,region_north_india,,combat_unit_type_cannon_artillery=9;combat_unit_type_cuirassiers=1;combat_unit_type_hussars=4;combat_unit_type_lancers=5;combat_unit_type_line_infantry=60;combat_unit_type_mobile_artillery=1,80,80000,3,<unnamed>;Henry Fane;<unnamed>,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
BRE,Bremen,army,Bremer_Stadtmilitar,common/history/military_formations/00_military_formations_europe.txt,line 2866,region_central_europe,,combat_unit_type_irregular_infantry=1,1,1000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
BRZ,Brazil,army,Exrcito_Imperial_Brasileiro,common/history/military_formations/02_military_formations_south_america.txt,line 4,region_brazil,,combat_unit_type_cuirassiers=1;combat_unit_type_irregular_infantry=2;combat_unit_type_line_infantry=1,4,4000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
BRZ,Brazil,fleet,Armada_Nacional,common/history/military_formations/02_military_formations_south_america.txt,line 28,region_brazil,,ship_type_frigate=8;ship_type_ship_of_the_line=1,9,4800,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P0,country_sailor_capacity=0; country_fleet_crew_requirement=4800
BUR,Burma,army,tatmadaw,common/history/military_formations/06_military_formations_asia.txt,line 595,region_indochina,,combat_unit_type_cannon_artillery=1;combat_unit_type_cuirassiers=2;combat_unit_type_hussars=1;combat_unit_type_irregular_infantry=30,34,34000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHC,Chechnya,army,Murtazeki,common/history/military_formations/00_military_formations_europe.txt,line 2453,region_russia,,combat_unit_type_hussars=1;combat_unit_type_irregular_infantry=3,4,4000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHC,Chechnya,army,Milishia,common/history/military_formations/00_military_formations_europe.txt,line 2471,region_russia,,combat_unit_type_irregular_infantry=6,6,6000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
