system,object,game_id,source_file,source_field,base_value,effective_value_1776,unit,employment_type,capacity_relation,notes,confidence
land,barracks,building_barrack,TARGET/common/buildings/05_military.txt:3-25,recruits_combat_units,yes,yes,boolean,soldiers/officers according to training PM profession_ratio,Recruitment building governed by COMBAT_UNITS_PER_LEVEL,building_barracks is an alias; fork history uses current building_barrack.,HIGH
land,barracks capacity,COMBAT_UNITS_PER_LEVEL,common/defines/00_defines.txt:708,NMilitary.COMBAT_UNITS_PER_LEVEL,1,1,combat unit per building level,military,1 barracks or conscription-center level supports exactly 1 land combat unit,Active fork override matches target 1.13.9 value.,HIGH
land,default barracks profession ratio,pm_no_organization,TARGET/common/production_methods/05_military.txt:1-22,profession_ratio,soldiers=97;officers=3,97% soldiers;3% officers when selected,percent of unit workforce,soldiers/officers,Ratio partitions the unit's 1000 max manpower; it does not change unit capacity,"Unlocked training PM can change the ratio, not max_manpower.",HIGH
land,artillery,combat_unit_type_cannon_artillery,TARGET/common/combat_unit_types/00_land_combat_unit_types.txt:383,max_manpower,1000,1000,persons per unit,military manpower,1 unit consumes 1 supported military-building level,Active in fork 1776 formation history.,HIGH
land,cavalry,combat_unit_type_cuirassiers,TARGET/common/combat_unit_types/00_land_combat_unit_types.txt:797,max_manpower,1000,1000,persons per unit,military manpower,1 unit consumes 1 supported military-building level,Active in fork 1776 formation history.,HIGH
land,cavalry,combat_unit_type_dragoons,TARGET/common/combat_unit_types/00_land_combat_unit_types.txt:737,max_manpower,1000,1000,persons per unit,military manpower,1 unit consumes 1 supported military-building level,Active in fork 1776 formation history.,HIGH
land,cavalry,combat_unit_type_hussars,TARGET/common/combat_unit_types/00_land_combat_unit_types.txt:674,max_manpower,1000,1000,persons per unit,military manpower,1 unit consumes 1 supported military-building level,Active in fork 1776 formation history.,HIGH
land,infantry,combat_unit_type_irregular_infantry,TARGET/common/combat_unit_types/00_land_combat_unit_types.txt:10,max_manpower,1000,1000,persons per unit,military manpower,1 unit consumes 1 supported military-building level,Active in fork 1776 formation history.,HIGH
land,cavalry,combat_unit_type_lancers,TARGET/common/combat_unit_types/00_land_combat_unit_types.txt:856,max_manpower,1000,1000,persons per unit,military manpower,1 unit consumes 1 supported military-building level,Active in fork 1776 formation history.,HIGH
land,infantry,combat_unit_type_line_infantry,TARGET/common/combat_unit_types/00_land_combat_unit_types.txt:83,max_manpower,1000,1000,persons per unit,military manpower,1 unit consumes 1 supported military-building level,Active in fork 1776 formation history.,HIGH
land,other,combat_unit_type_low_tier_marines,TARGET/common/combat_unit_types/00_land_combat_unit_types.txt:953,max_manpower,1000,1000,persons per unit,military manpower,1 unit consumes 1 supported military-building level,Active in fork 1776 formation history.,HIGH
land,artillery,combat_unit_type_mobile_artillery,TARGET/common/combat_unit_types/00_land_combat_unit_types.txt:448,max_manpower,1000,1000,persons per unit,military manpower,1 unit consumes 1 supported military-building level,Active in fork 1776 formation history.,HIGH
naval,naval base,building_naval_administration,TARGET/common/buildings/05_military.txt:99-120,recruits_sailors,yes,yes,boolean,sailors represented by soldiers plus officers,Sailor pool rather than one ship per level,The 1.13 building replaces the old building_naval_base identifier.,HIGH
naval,naval base employment,pm_simple_sailor_recruitment,TARGET/common/production_methods/05_military.txt:526-541,building_employment_soldiers_add;building_employment_officers_add;country_sailors_max_add,900 soldiers/sailors + 100 officers; 1000 sailor ceiling,1000 military employees and up to 1000 sailors per fully staffed level,persons per level,900 soldiers/sailors;100 officers,Ship crew demand is summed against the national sailor ceiling,Only production method in pmg_base_building_naval_administration.,HIGH
naval,naval sailor capacity,SAILORS_PER_BUILDING_LEVEL,TARGET/common/defines/00_defines.txt:877,NMilitary.SAILORS_PER_BUILDING_LEVEL,1000,OMITTED_BY_ACTIVE_MOD_DEFINE; PM independently grants 1000 at full employment,sailors per naval-administration level,sailors,1 level covers 1000 crew demand,Active common/defines/00_defines.txt shadows this 1.13 key; engine fallback behavior requires runtime verification.,MEDIUM
naval,naval assignment slot,SAILORS_PER_ASSIGNMENT_SLOT,TARGET/common/defines/00_defines.txt:876,NMilitary.SAILORS_PER_ASSIGNMENT_SLOT,100,OMITTED_BY_ACTIVE_MOD_DEFINE,sailors per assignment slot,sailors,Frigate=5 nominal slots; ship of the line=8 nominal slots,Missing from stale active fork define override.,MEDIUM
naval,frigate,ship_type_frigate,TARGET/common/ship_types/00_ship_types.txt:798-879,modifier.ship_crew_max_add,500,500,crew persons per ship unit,sailors,2 frigate units consume 1 fully staffed naval-administration level,"A V3 ship unit is a naval-capacity abstraction, not necessarily one historical hull.",HIGH
naval,ship of the line,ship_type_ship_of_the_line,TARGET/common/ship_types/00_ship_types.txt:2-91,modifier.ship_crew_max_add,800,800,crew persons per ship unit,sailors,1.25 ship-of-the-line units consume 1 fully staffed naval-administration level mathematically; mixed fleets use summed crews,No integer one-level/one-ship relation.,HIGH
