tag,country_name,centralized,barracks_levels,land_formations,infantry_units,cavalry_units,artillery_units,other_land_units,total_land_units,land_manpower_equivalent,naval_base_levels,fleets,frigate_units,ship_of_the_line_units,other_ship_units,total_naval_units,naval_manpower_equivalent,generals,admirals,empty_armies,empty_fleets,duplicate_army_names,duplicate_fleet_names,invalid_land_unit_refs,invalid_naval_unit_refs,structural_risk,notes
ACE,Aceh,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_ACEH:4; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_ACEH:4; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
AGC,Angoche,YES,0,1,5,0,0,0,5,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_MOCAMBIQUE:5; capacity_floor_by_state=STATE_MOCAMBIQUE:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
AIT,Ait Abbas,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_CONSTANTINE:2; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_CONSTANTINE:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
ALK,Alaska,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
ANH,Anhalt,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
ANK,Ankole,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_UGANDA:3; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_UGANDA:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
ARB,Arabistan,YES,0,1,4,1,0,0,5,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_KHUZESTAN:5; capacity_floor_by_state=STATE_KHUZESTAN:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
ASH,Ashanti,YES,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_GOLD_COAST:20|STATE_TOGO:15; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_GOLD_COAST:20|STATE_TOGO:15; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
AUS,Austria,YES,0,4,114,22,16,0,152,152000,3,1,6,3,0,9,5400,0,0,0,0,0,0,0,0,P1,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_AUSTRIA:25|STATE_BOHEMIA:24|STATE_BUKOVINA:4|STATE_CROATIA:30|STATE_LOMBARDY:9|STATE_MORAVIA:31|STATE_SLAVONIA:14|STATE_STYRIA:3|STATE_TYROL:4|STATE_UPPER_SILESIA:8; capacity_floor_by_state=STATE_AUSTRIA:25|STATE_BOHEMIA:24|STATE_BUKOVINA:4|STATE_CROATIA:30|STATE_LOMBARDY:9|STATE_MORAVIA:31|STATE_SLAVONIA:14|STATE_STYRIA:3|STATE_TYROL:4|STATE_UPPER_SILESIA:8; naval_administration_by_state=STATE_CROATIA:3; naval_sailor_capacity=3000; naval_crew_requirement=5400. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
AWA,Awadh,YES,0,1,40,7,2,0,49,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_AWADH:49; capacity_floor_by_state=STATE_AWADH:49; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BAD,Baden,YES,0,1,5,3,2,0,10,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_BADEN:10; capacity_floor_by_state=STATE_BADEN:10; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BAL,Bali,YES,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_SUNDA_ISLANDS:10; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_SUNDA_ISLANDS:10; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BAV,Bavaria,YES,0,2,18,10,2,0,30,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_BAVARIA:16|STATE_FRANCONIA:14; capacity_floor_by_state=STATE_BAVARIA:16|STATE_FRANCONIA:14; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BEN,Benin,YES,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_BENIN:20; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_BENIN:20; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BEO,Austrian Netherlands (BEO/Belgium),YES,0,1,15,6,3,0,24,24000,0,1,1,0,0,1,500,0,0,0,0,0,0,0,0,P0,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_FLANDERS:11|STATE_WALLONIA:13; capacity_floor_by_state=STATE_FLANDERS:11|STATE_WALLONIA:13; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=500. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BGI,Bagirmi,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_WADDAI:2; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_WADDAI:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BHN,Bahrain,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
