tag,country_name,current_v3_land_units,current_v3_land_manpower_equivalent,historical_standing_force_low,historical_standing_force_high,land_gap_direction,land_gap_severity,current_v3_naval_crew,historical_active_naval_personnel_low,historical_active_naval_personnel_high,naval_gap_direction,naval_gap_severity,current_frigate_units,historical_frigate_hulls,current_ship_of_the_line_units,historical_ship_of_the_line_hulls,structural_difference,conversion_warning,notes
ACE,Aceh,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
AGC,Angoche,5,5000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
AIT,Ait Abbas,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
ALK,Alaska,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
ANH,Anhalt,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
ANK,Ankole,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
ARB,Arabistan,5,5000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
ASH,Ashanti,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
AUS,Austria,152,152000,220000,220000,CURRENT_TOO_LOW,MEDIUM,5400,,,UNKNOWN,LOW,6,,3,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_HIGH_CONFIDENCE; naval research status=QUALITATIVE_ONLY.
AWA,Awadh,49,49000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
