tag,country_name,region,total_registered_warships,commissioned_combat_warships,reserve_or_ordinary_warships,under_construction_warships,ships_of_the_line_total,ships_of_the_line_commissioned,frigates_total,frigates_commissioned,other_warships_total,other_warships_commissioned,total_naval_personnel,active_seagoing_personnel,typical_ship_of_the_line_crew,typical_frigate_crew,principal_bases,historical_squadrons,geographic_distribution,date_of_evidence,evidence_window,source_1,source_2,source_3,source_disagreement,recommended_historical_range,quantitative_confidence,organization_confidence,research_status,notes
ACE,Aceh,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
AGC,Angoche,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
AIT,Ait Abbas,Middle East / North Africa,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
ALK,Alaska,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Russian-American Company had not yet been founded; the fork's centralized Alaska tag is not a clean 1776 sovereign military polity.
ANH,Anhalt,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
ANK,Ankole,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
ARB,Arabistan,Middle East / North Africa,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
ASH,Ashanti,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
AUS,Austria,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,
AWA,Awadh,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
