"tag","country_name","current_frigates","current_ship_of_the_line","current_other_ships","current_total_crew","current_naval_admin","historical_registered_hulls","historical_ready_or_commissioned_hulls","historical_active_personnel","hull_based_frigate_equivalent","hull_based_sol_equivalent","crew_based_frigate_equivalent","crew_based_sol_equivalent","readiness_factor","readiness_rationale","target_frigates_low","target_frigates_high","target_frigates_recommended","target_sol_low","target_sol_high","target_sol_recommended","target_other_ships","target_total_crew","target_naval_admin_levels","target_fleet_count","current_to_target_delta","structural_defer","structural_resolution","conversion_confidence","notes"
"ACE","Aceh","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"AGC","Angoche","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"AIT","Ait Abbas","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"ALK","Alaska","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","MAP_REWORK_DEFERRED","VERY_LOW","Russian-American Company had not yet been founded; the fork's centralized Alaska tag is not a clean 1776 sovereign military polity. Independent fleet target withheld pending structural resolution."
"ANH","Anhalt","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"ANK","Ankole","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"ARB","Arabistan","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"ASH","Ashanti","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"AUS","Austria","6","3","0","5400","3","","","","3","0","","","QUALITATIVE_RECONCILIATION","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; small Adriatic capacity only, not a battle fleet.","2","4","3","0","0","0","0","1500","2","1","-6","NO","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; small Adriatic capacity only, not a battle fleet."
"AWA","Awadh","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
