"section","key","fork_value_before","reference_value","final_value","classification","action","scenario_required","military_related","evidence","notes"
"NBattle","DEFAULT_NAVAL_BATTLE_CONDITION_TYPE","","""naval_condition_calm_waters""","""naval_condition_calm_waters""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","FLEET_INTERCEPT_CHANCE_BASE","","10.0","10.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","FLEET_RAID_MAX_SUPPLY_LENGTH_DIVISOR","","5","5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","FLEET_RAID_SUPPLY_CHANCE_BASE","","10.0","10.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","FLEET_UNCONNECTED_MISSION_AREA_TIMEOUT_DAYS","","30","30","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","HIGHLIGHTED_EVENT_INTERVAL_TURNS","","8","8","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","HIGHLIGHTED_EVENT_LOOKBACK_COUNT","","10","10","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","HIGHLIGHTED_EVENT_WEIGHT_DAMAGE","","1.0","1.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","HIGHLIGHTED_EVENT_WEIGHT_FLAGSHIP","","500.0","500.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","HIGHLIGHTED_EVENT_WEIGHT_SINK","","100.0","100.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","MIN_ATTACKS_ZERO_DAMAGE_HIT_PENALTY","","50","50","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","NAVAL_BATTLE_CONDITION_DAMAGE_RANGE","","0.25","0.25","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","NAVAL_BATTLE_CRIT_ARMOR_REDUCTION","","1.0","1.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","NAVAL_BATTLE_LOG_ENTRIES_PER_PAGE","","20","20","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","NAVAL_BATTLE_LOG_INITIAL_SIZE_FACTOR","","8","8","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","OVERWHELMING_ODDS_POWER_RATIO","","0.5","0.5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","PRIORITY_SHIP_WITHDRAW_DESIRE_MULT_PRIORITY_SHIPS_EXPOSED","","0.2","0.2","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","PRIORITY_SHIPS_EXPOSED_FOR_RAIDING_THRESHOLD","","0.25","0.25","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
