tag,country_name,land_units_3b,effective_barracks_before,effective_barracks_after,land_capacity_shortfall_after,naval_crew_3b,naval_admin_before,naval_admin_after,naval_capacity_after,naval_shortfall_after,structural_defer,structural_defer_shortfall_preserved,budget_risk,confidence,notes
ACE,Aceh,2,6,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
AGC,Angoche,4,4,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
AIT,Ait Abbas,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
ALK,Alaska,0,0,0,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
ANH,Anhalt,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
ANK,Ankole,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
ARB,Arabistan,4,4,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
ASH,Ashanti,18,53,18,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
AUS,Austria,140,140,140,0,1500,3,2,2000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
AWA,Awadh,36,36,36,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BAD,Baden,9,9,9,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BAL,Bali,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BAV,Bavaria,8,8,8,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BEN,Benin,8,28,8,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BEO,Austrian Netherlands (BEO/Belgium),12,12,12,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
BGI,Bagirmi,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BHN,Bahrain,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BHU,Bhutan,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BHV,Bhavnagar,3,3,3,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BIC,East India,55,55,55,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BLG,Bulungan,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BNJ,Banjar,2,6,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BNY,Bunyoro,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BOR,Bornu,6,21,6,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BRA,Brunswick,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BRD,Burundi,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BRE,Bremen,1,1,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BRG,Borgu,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BRU,Brunei,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BRZ,Brazil,4,4,4,0,4800,0,0,0,4800,YES,YES,MEDIUM,HIGH,Explicit structural-defer infrastructure preserved.
BST,Basutoland,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
