tag,country_name,state,direct_owner_valid,coastal,domain,land_units_recruited_3b,explicit_barracks_before,formation_materialized_barracks,target_explicit_barracks,explicit_barracks_after,naval_crew_required_country,naval_admin_before_state,naval_admin_target_state,naval_admin_after_state,structural_defer,action,temporary_map_abstraction,capacity_before,capacity_after,shortfall_before,shortfall_after,evidence,static_result,notes
ACE,Aceh,STATE_ACEH,YES,YES,land,2,4,2,0,0,0,0,0,0,NO,REMOVE_DUPLICATE_WITH_FORMATION_MATERIALIZATION,NO,6,2,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
AGC,Angoche,STATE_MOCAMBIQUE,YES,YES,land,4,0,4,0,0,0,0,0,0,NO,FORMATION_MATERIALIZATION_ONLY,NO,4,4,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
AIT,Ait Abbas,STATE_CONSTANTINE,YES,YES,land,1,2,1,0,0,0,0,0,0,NO,REMOVE_DUPLICATE_WITH_FORMATION_MATERIALIZATION,NO,3,1,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
ANK,Ankole,STATE_UGANDA,YES,NO,land,1,3,1,0,0,0,0,0,0,NO,REMOVE_DUPLICATE_WITH_FORMATION_MATERIALIZATION,NO,4,1,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
ARB,Arabistan,STATE_KHUZESTAN,YES,YES,land,4,0,4,0,0,0,0,0,0,NO,FORMATION_MATERIALIZATION_ONLY,NO,4,4,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
ASH,Ashanti,STATE_GOLD_COAST,YES,YES,land,18,20,18,0,0,0,0,0,0,NO,REMOVE_DUPLICATE_WITH_FORMATION_MATERIALIZATION,NO,38,18,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
ASH,Ashanti,STATE_TOGO,YES,YES,land,0,15,0,0,0,0,0,0,0,NO,REMOVE_STALE_PRE_3B_CAPACITY,NO,15,0,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
AUS,Austria,STATE_AUSTRIA,YES,NO,land,70,0,70,0,0,0,0,0,0,NO,FORMATION_MATERIALIZATION_ONLY,NO,70,70,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
AUS,Austria,STATE_BUKOVINA,YES,NO,land,35,0,35,0,0,0,0,0,0,NO,FORMATION_MATERIALIZATION_ONLY,NO,35,35,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
AUS,Austria,STATE_LOMBARDY,YES,NO,land,35,0,35,0,0,0,0,0,0,NO,FORMATION_MATERIALIZATION_ONLY,NO,35,35,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
AWA,Awadh,STATE_AWADH,YES,NO,land,36,0,36,0,0,0,0,0,0,NO,FORMATION_MATERIALIZATION_ONLY,NO,36,36,0,0,Vanilla 1.13.9 has zero overlap between formation-recruiting and explicit-barracks country/state pairs,PASS,Formation units materialize one barracks level each; explicit nondeferred levels would be additive.
