tag,country_name,state,direct_owner,incorporated_if_required,conscription_eligible,target_conscript_units,infantry,cavalry,artillery,other,formation,service_type,historical_role,mechanism,static_result,notes
ACE,Aceh,STATE_ACEH,YES,YES,YES,2,2,0,0,0,cleanup2d3b_ace_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
AIT,Ait Abbas,STATE_CONSTANTINE,YES,YES,YES,1,1,0,0,0,cleanup2d3b_ait_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
ANK,Ankole,STATE_UGANDA,YES,YES,YES,1,1,0,0,0,cleanup2d3b_ank_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
ARB,Arabistan,STATE_KHUZESTAN,YES,YES,YES,2,2,0,0,0,ARB_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
ASH,Ashanti,STATE_GOLD_COAST,YES,YES,YES,3,3,0,0,0,cleanup2d3b_ash_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
ASH,Ashanti,STATE_TOGO,YES,YES,YES,4,4,0,0,0,cleanup2d3b_ash_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
AUS,Austria,STATE_AUSTRIA,YES,YES,YES,6,6,0,0,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
AUS,Austria,STATE_BOHEMIA,YES,YES,YES,12,12,0,0,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
AUS,Austria,STATE_BUKOVINA,YES,YES,YES,1,0,1,0,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
AUS,Austria,STATE_CROATIA,YES,YES,YES,2,2,0,0,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
AUS,Austria,STATE_LOMBARDY,YES,YES,YES,7,7,0,0,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
