tag,country_name,state,population_relevant,incorporated,military_law,technology_factor,existing_modifier_factor,native_conscription_rate,native_max_capacity,allocated_target,implemented_capacity,shortfall,shortfall_reason,temporary_modifier_candidate,confidence,notes
ACE,Aceh,STATE_ACEH,91526,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,2,4,2,2,TECH,NO,MEDIUM_HIGH_STATIC,Total population=354107; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
AGC,Angoche,STATE_MOCAMBIQUE,10259,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,12,0,12,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=36836; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
AIT,Ait Abbas,STATE_CONSTANTINE,74782,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,1,2,1,1,LAW,NO,MEDIUM_HIGH_STATIC,Total population=289848; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
ALK,Alaska,STATE_ALASKA,4208,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=14028; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
ALK,Alaska,STATE_SAKHALIN,524,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1748; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
ANH,Anhalt,STATE_ANHALT,49002,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=196008; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
ANK,Ankole,STATE_UGANDA,62750,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,1,3,1,2,TECH,NO,MEDIUM_HIGH_STATIC,Total population=242000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
ARB,Arabistan,STATE_KHUZESTAN,116674,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,2,8,2,6,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=458498; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
ASH,Ashanti,STATE_GOLD_COAST,149825,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=584300; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
ASH,Ashanti,STATE_TOGO,167003,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,4,47,4,43,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=604008; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
