tag,country_name,state,population_relevant,incorporated,military_law,technology_factor,existing_modifier_factor,native_conscription_rate,native_max_capacity,allocated_target,implemented_capacity,shortfall,shortfall_reason,temporary_modifier_candidate,confidence,notes,true_native_formula_rate,true_native_raw,true_native_max_capacity,r1_allocated
ACE,Aceh,STATE_ACEH,91526,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,2,4,2,2,TECH,NO,MEDIUM_HIGH_STATIC,Total population=354107; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.,0.040000,3.661040,4,4
AGC,Angoche,STATE_MOCAMBIQUE,10259,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,12,0,12,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=36836; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.,0.040000,0.410360,1,1
AIT,Ait Abbas,STATE_CONSTANTINE,74782,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,1,2,1,1,LAW,NO,MEDIUM_HIGH_STATIC,Total population=289848; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.,0.040000,2.991280,3,2
ALK,Alaska,STATE_ALASKA,4208,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=14028; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,0.042080,1,0
ALK,Alaska,STATE_SAKHALIN,524,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1748; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,0.005240,1,0
ANH,Anhalt,STATE_ANHALT,49002,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=196008; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.,0.010000,0.490020,1,0
ANK,Ankole,STATE_UGANDA,62750,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,1,3,1,2,TECH,NO,MEDIUM_HIGH_STATIC,Total population=242000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.,0.040000,2.510000,3,3
ARB,Arabistan,STATE_KHUZESTAN,116674,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,2,8,2,6,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=458498; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.,0.040000,4.666960,5,5
ASH,Ashanti,STATE_GOLD_COAST,149825,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=584300; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.,0.040000,5.993000,6,6
ASH,Ashanti,STATE_TOGO,167003,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,4,47,4,43,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=604008; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.,0.040000,6.680120,7,7
AUS,Austria,STATE_AUSTRIA,604320,YES,law_professional_army,1.0,NONE,0.010000,6,6,6,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2014400; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,6.043200,7,7
AUS,Austria,STATE_BOHEMIA,1245123,YES,law_professional_army,1.0,NONE,0.010000,12,43,12,31,LAW,NO,MEDIUM_HIGH_STATIC,Total population=4150412; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.,0.010000,12.451230,13,13
AUS,Austria,STATE_BUKOVINA,111723,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=372410; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,1.117230,2,2
AUS,Austria,STATE_CROATIA,248397,YES,law_professional_army,1.0,NONE,0.010000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=827992; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,2.483970,3,3
AUS,Austria,STATE_EAST_SWITZERLAND,9000,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=30000; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,0.090000,1,1
AUS,Austria,STATE_LOMBARDY,713217,YES,law_professional_army,1.0,NONE,0.010000,7,7,7,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2377392; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,7.132170,8,8
AUS,Austria,STATE_MORAVIA,508247,YES,law_professional_army,1.0,NONE,0.010000,5,5,5,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1696408; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,5.082470,6,6
AUS,Austria,STATE_SLAVONIA,109868,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=366228; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,1.098680,2,2
AUS,Austria,STATE_SLOVENIA,145736,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=485788; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,1.457360,2,2
AUS,Austria,STATE_STYRIA,221038,YES,law_professional_army,1.0,NONE,0.010000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=736796; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,2.210380,3,3
AUS,Austria,STATE_TYROL,167791,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=559304; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,1.677910,2,2
AUS,Austria,STATE_UPPER_SILESIA,120596,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=401988; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.,0.010000,1.205960,2,2
