tag,formation_type,formation_name_key,english_value_after,french_value_after,generic_after,native_language_policy,duplicate_localization_after,file
CRI,army,cleanup2d3e_r1_cri_land_1,Qırım Hanlığı Ordusu,Qırım Hanlığı Ordusu,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
PLC,army,cleanup2d3e_r1_plc_land_1,Wojsko Rzeczypospolitej Obojga Narodów,Wojsko Rzeczypospolitej Obojga Narodów,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
PRU,army,cleanup2d3b_pru_land_4,Garrison and Reserve Command,Garrison and Reserve Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
PRU,army,cleanup2d3b_pru_land_1,First Army,First Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
PRU,army,cleanup2d3b_pru_land_2,Second Army,Second Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
PRU,army,cleanup2d3b_pru_land_3,Third Army,Third Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GEN,fleet,merchant_venice_fleet,merchant_venice_fleet,merchant_venice_fleet,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GEN,army,cleanup2d3e_r1_gen_land_1,Esercito della Repubblica di Genova,Esercito della Repubblica di Genova,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
VEN,fleet,merchant_venice_fleet,merchant_venice_fleet,merchant_venice_fleet,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
VEN,army,cleanup2d3e_r1_ven_land_1,Esercito della Serenissima,Esercito della Serenissima,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
AUS,fleet,cleanup2d3e_r1_aus_naval_1,Kaiserliche Donauflottille,Kaiserliche Donauflottille,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
AUS,army,cleanup2d3b_aus_land_3,Croatian General Command,Croatian General Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
AUS,army,cleanup2d3b_aus_land_4,Bohemian General Command,Bohemian General Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
AUS,army,cleanup2d3b_aus_land_1,Vienna General Command,Vienna General Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
AUS,army,cleanup2d3b_aus_land_2,Italian General Command,Italian General Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
HUN,army,generalkommando_ofen,generalkommando_ofen,generalkommando_ofen,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
