tag,file,formation_type,formation_name_key,same_key_ordinal,formation_ordinal,hq_region_after,scripted_regular_target_before_r1,scripted_regular_target_after_r1,scripted_conscript_target_before_r1,scripted_conscript_target_after_r1,scripted_ships_after_r1,total_potential_units_after_r1,initial_empty_land_formation_after,runtime_3e_correlation,runtime_3e_regular_objects_exact_formation,runtime_3e_regular_positive_manpower_exact_formation,runtime_3e_conscript_objects_exact_formation,runtime_3e_conscript_positive_manpower_exact_formation,runtime_3e_country_regular_objects,runtime_3e_country_regular_positive_manpower,runtime_3e_country_conscript_objects,runtime_3e_country_conscript_positive_manpower,runtime_3e_country_total_formations_including_engine_or_user_created,final_country_scripted_conscript_target_r1,r2_expected_regular_status,notes
CRI,00_military_formations_europe.txt,army,cleanup2d3e_r1_cri_land_1,1,1,region_eastern_europe,10,10,19,30,0,40,NO,NOT_MATERIALIZED_OR_RUNTIME_NAME_MISMATCH,,,,,10,10,19,0,1,30,PASS_STATIC_STATE_CAP_REALLOCATION,
PLC,00_military_formations_europe.txt,army,cleanup2d3e_r1_plc_land_1,1,1,region_eastern_europe,16,16,18,18,0,34,NO,NOT_MATERIALIZED_OR_RUNTIME_NAME_MISMATCH,,,,,16,16,18,0,1,18,PASS_STATIC_STATE_CAP_REALLOCATION,
PRU,00_military_formations_europe.txt,army,cleanup2d3b_pru_land_4,1,1,region_central_europe,39,39,14,37,0,76,NO,EXACT_NAME_KEY,39,39,14,0,99,99,16,0,4,37,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
PRU,00_military_formations_europe.txt,army,cleanup2d3b_pru_land_1,1,2,region_central_europe,40,40,0,0,0,40,NO,EXACT_NAME_KEY,39,39,2,0,99,99,16,0,4,37,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
PRU,00_military_formations_europe.txt,army,cleanup2d3b_pru_land_2,1,3,region_central_europe,40,40,0,0,0,40,NO,EXACT_NAME_KEY,21,21,0,0,99,99,16,0,4,37,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
PRU,00_military_formations_europe.txt,army,cleanup2d3b_pru_land_3,1,4,region_central_europe,39,39,0,0,0,39,NO,EXACT_NAME_KEY,0,0,0,0,99,99,16,0,4,37,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
GEN,00_military_formations_europe.txt,fleet,merchant_venice_fleet,1,1,region_southern_europe,0,0,0,0,3,3,NO,EXACT_NAME_KEY,0,0,0,0,2,2,1,0,2,1,PASS_STATIC_STATE_CAP_REALLOCATION,
GEN,00_military_formations_europe.txt,army,cleanup2d3e_r1_gen_land_1,1,1,region_southern_europe,2,2,0,1,0,3,NO,NOT_MATERIALIZED_OR_RUNTIME_NAME_MISMATCH,,,,,2,2,1,0,2,1,PASS_STATIC_STATE_CAP_REALLOCATION,
VEN,00_military_formations_europe.txt,fleet,merchant_venice_fleet,1,1,region_southern_europe,0,0,0,0,7,7,NO,EXACT_NAME_KEY,0,0,0,0,11,11,5,0,2,6,PASS_STATIC_STATE_CAP_REALLOCATION,
VEN,00_military_formations_europe.txt,army,cleanup2d3e_r1_ven_land_1,1,1,region_southern_europe,11,11,3,6,0,17,NO,NOT_MATERIALIZED_OR_RUNTIME_NAME_MISMATCH,,,,,11,11,5,0,2,6,PASS_STATIC_STATE_CAP_REALLOCATION,
