tag,country_name,auto_formation_naming_supported,existing_native_name_pool,name_pool_language,latin_alphabet_compliant,r2_generic_automatic_formations,priority,action,evidence
ACE,Aceh,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
AGC,Angoche,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
AIT,Ait Abbas,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
ALK,Alaska,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
ANH,Anhalt,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
ANK,Ankole,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
ARB,Arabistan,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
ASH,Ashanti,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,2,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
AUS,Austria,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
AWA,Awadh,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BAD,Baden,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BAL,Bali,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BAV,Bavaria,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,2,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BEN,Benin,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BEO,Austrian Netherlands (BEO/Belgium),NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BGI,Bagirmi,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BHN,Bahrain,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BHU,Bhutan,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BHV,Bhavnagar,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BIC,East India,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BLG,Bulungan,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BNJ,Banjar,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BNY,Bunyoro,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BOR,Bornu,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,2,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BRA,Brunswick,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BRD,Burundi,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BRE,Bremen,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BRG,Borgu,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BRU,Brunei,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BRZ,Brazil,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BST,Basutoland,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BTN,Buton,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BUG,Buganda,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,2,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BUK,Bukhara,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
BUR,Burma,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
CAM,Cambodia,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
CHC,Chechnya,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
CHI,China,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
CHP,Champasak,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
CIR,Circassia,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
CMI,Chiang Mai,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
COB,Saxe-Coburg-Gotha,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
COC,Cochin,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
CON,Constantine,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
COO,Cooch Behar,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
CRI,Crimea,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
CUB,Cuba,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,SPANISH_COLONIAL,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
DAH,Dahomey,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
DAI,Dai Nam,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,2,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
DEI,East Indies,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
DENNOR,Denmark-Norway,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
DFR,Darfur,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
DUR,Afghanistan,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
ETH,Ethiopia,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,0,WORLD_AUDIT,DEFER,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
EZO,Ezochi,NO,NO,NOT_EXPOSED_BY_ENGINE,N/A_NO_NAME_POOL,1,R2_OBSERVED_GENERIC,NOT_SUPPORTED_BY_ENGINE,No country-scoped army/fleet name-pool database or scripted hook exists in vanilla 1.13.9; automatic ordinal names are engine-generated.
