tag,formation,state,unit_type,raw_cap,effective_cap,r1_assigned,final_assigned,rejection_reason,materialization_expected,law_forced_composition_simplification,mismatch_after
ACE,FIRST_SCRIPTED_LAND_FORMATION,STATE_ACEH,combat_unit_type_irregular_infantry,4,2,4,2,NONE,YES,YES,0
AGC,FIRST_SCRIPTED_LAND_FORMATION,STATE_MOCAMBIQUE,combat_unit_type_irregular_infantry,1,0,1,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
AIT,FIRST_SCRIPTED_LAND_FORMATION,STATE_CONSTANTINE,combat_unit_type_irregular_infantry,3,1,2,1,NONE,YES,YES,0
ALK,NONE,STATE_ALASKA,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
ALK,NONE,STATE_SAKHALIN,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
ANH,NONE,STATE_ANHALT,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
ANK,FIRST_SCRIPTED_LAND_FORMATION,STATE_UGANDA,combat_unit_type_irregular_infantry,3,2,3,2,NONE,YES,YES,0
ARB,FIRST_SCRIPTED_LAND_FORMATION,STATE_KHUZESTAN,combat_unit_type_irregular_infantry,5,2,5,2,NONE,YES,YES,0
ASH,FIRST_SCRIPTED_LAND_FORMATION,STATE_GOLD_COAST,combat_unit_type_irregular_infantry,6,5,6,5,NONE,YES,YES,0
ASH,FIRST_SCRIPTED_LAND_FORMATION,STATE_TOGO,combat_unit_type_irregular_infantry,7,6,7,6,NONE,YES,YES,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_AUSTRIA,combat_unit_type_line_infantry,7,6,7,6,NONE,YES,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_BOHEMIA,combat_unit_type_line_infantry,13,12,13,12,NONE,YES,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_BUKOVINA,combat_unit_type_line_infantry,2,1,2,1,NONE,YES,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_CROATIA,combat_unit_type_line_infantry,3,2,3,2,NONE,YES,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_EAST_SWITZERLAND,combat_unit_type_line_infantry,1,0,1,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_LOMBARDY,combat_unit_type_line_infantry,8,7,8,7,NONE,YES,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_MORAVIA,combat_unit_type_line_infantry,6,5,6,5,NONE,YES,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_SLAVONIA,combat_unit_type_line_infantry,2,1,2,1,NONE,YES,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_SLOVENIA,combat_unit_type_line_infantry,2,1,2,1,NONE,YES,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_STYRIA,combat_unit_type_line_infantry,3,2,3,2,NONE,YES,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_TYROL,combat_unit_type_line_infantry,2,1,2,1,NONE,YES,NO,0
AUS,FIRST_SCRIPTED_LAND_FORMATION,STATE_UPPER_SILESIA,combat_unit_type_line_infantry,2,1,2,1,NONE,YES,NO,0
AWA,FIRST_SCRIPTED_LAND_FORMATION,STATE_AWADH,combat_unit_type_line_infantry,13,7,13,7,NONE,YES,NO,0
BAD,FIRST_SCRIPTED_LAND_FORMATION,STATE_BADEN,combat_unit_type_line_infantry,4,3,4,3,NONE,YES,NO,0
BAL,FIRST_SCRIPTED_LAND_FORMATION,STATE_SUNDA_ISLANDS,combat_unit_type_irregular_infantry,9,8,8,8,NONE,YES,YES,0
BAV,FIRST_SCRIPTED_LAND_FORMATION,STATE_BAVARIA,combat_unit_type_line_infantry,5,4,4,4,NONE,YES,NO,0
BAV,FIRST_SCRIPTED_LAND_FORMATION,STATE_FRANCONIA,combat_unit_type_line_infantry,5,4,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BAV,FIRST_SCRIPTED_LAND_FORMATION,STATE_RHINELAND,combat_unit_type_line_infantry,2,1,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BEN,FIRST_SCRIPTED_LAND_FORMATION,STATE_BENIN,combat_unit_type_irregular_infantry,19,18,19,18,NONE,YES,YES,0
