tag,country_name,state,population_relevant,incorporated,military_law,true_native_formula_rate,true_native_raw,raw_state_center_cap,country_has_active_conscription_law,state_directly_owned,state_incorporation_status,state_conscription_allowed,unit_type_allowed_for_conscripts,tech_requirements_met,law_requirements_met,other_engine_requirements_met,active_church_law,effective_rate_factor,final_state_effective_cap,capacity_basis,effective_native_country_cap,desired_2d2,final_scripted_country_target,country_shortfall,country_shortfall_reason
ACE,Aceh,STATE_ACEH,91526,YES,law_peasant_levies,0.040000,3.661040,4,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,2,4,2,2,EFFECTIVE_NATIVE_CAP
AGC,Angoche,STATE_MOCAMBIQUE,10259,YES,law_peasant_levies,0.040000,0.410360,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,12,0,12,EFFECTIVE_NATIVE_CAP
AIT,Ait Abbas,STATE_CONSTANTINE,74782,YES,law_peasant_levies,0.040000,2.991280,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,1,2,1,1,EFFECTIVE_NATIVE_CAP
ALK,Alaska,STATE_ALASKA,4208,YES,law_professional_army,0.010000,0.042080,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,0,0,0,STRUCTURAL_DEFER
ALK,Alaska,STATE_SAKHALIN,524,NO,law_professional_army,0.010000,0.005240,1,YES,YES,NO,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,0.500,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,0,0,0,STRUCTURAL_DEFER
ANH,Anhalt,STATE_ANHALT,49002,YES,law_professional_army,0.010000,0.490020,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,0,0,0,NONE
ANK,Ankole,STATE_UGANDA,62750,YES,law_peasant_levies,0.040000,2.510000,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,2,3,2,1,EFFECTIVE_NATIVE_CAP
ARB,Arabistan,STATE_KHUZESTAN,116674,YES,law_peasant_levies,0.040000,4.666960,5,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,2,8,2,6,EFFECTIVE_NATIVE_CAP
ASH,Ashanti,STATE_GOLD_COAST,149825,YES,law_peasant_levies,0.040000,5.993000,6,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,5,VANILLA_1_13_9_EFFECTIVE_FORMULA,11,50,11,39,EFFECTIVE_NATIVE_CAP
ASH,Ashanti,STATE_TOGO,167003,YES,law_peasant_levies,0.040000,6.680120,7,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,6,VANILLA_1_13_9_EFFECTIVE_FORMULA,11,50,11,39,EFFECTIVE_NATIVE_CAP
