tag,formation,state,unit_type,state_direct_owner,state_barrack_cap,state_existing_regulars,state_target_regulars,formation_state_type_target,unit_type_allowed,hq,materialization_expected,mismatch_after,notes
CRI,cleanup2d3e_r1_cri_land_1,STATE_CHERSON,combat_unit_type_cannon_artillery,YES,25,10,10,1,YES,region_eastern_europe,YES,0,R1_CAP_SAFE_PRESERVED
CRI,cleanup2d3e_r1_cri_land_1,STATE_CHERSON,combat_unit_type_hussars,YES,25,10,10,5,YES,region_eastern_europe,YES,0,R1_CAP_SAFE_PRESERVED
CRI,cleanup2d3e_r1_cri_land_1,STATE_CHERSON,combat_unit_type_irregular_infantry,YES,25,10,10,4,YES,region_eastern_europe,YES,0,R1_CAP_SAFE_PRESERVED
PLC,cleanup2d3e_r1_plc_land_1,STATE_BREST,combat_unit_type_cannon_artillery,YES,25,16,16,1,YES,region_eastern_europe,YES,0,R1_CAP_SAFE_PRESERVED
PLC,cleanup2d3e_r1_plc_land_1,STATE_BREST,combat_unit_type_hussars,YES,25,16,16,5,YES,region_eastern_europe,YES,0,R1_CAP_SAFE_PRESERVED
PLC,cleanup2d3e_r1_plc_land_1,STATE_BREST,combat_unit_type_irregular_infantry,YES,25,16,16,10,YES,region_eastern_europe,YES,0,R1_CAP_SAFE_PRESERVED
PRU,cleanup2d3b_pru_land_4,STATE_ANHALT,combat_unit_type_cannon_artillery,YES,100,98,98,3,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_4,STATE_ANHALT,combat_unit_type_hussars,YES,100,98,98,7,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_4,STATE_ANHALT,combat_unit_type_line_infantry,YES,100,98,98,27,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_4,STATE_BRANDENBURG,combat_unit_type_line_infantry,YES,100,6,6,2,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_1,STATE_ANHALT,combat_unit_type_cannon_artillery,YES,100,98,98,3,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_1,STATE_ANHALT,combat_unit_type_cuirassiers,YES,100,98,98,8,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_1,STATE_ANHALT,combat_unit_type_line_infantry,YES,100,98,98,29,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_2,STATE_ANHALT,combat_unit_type_cannon_artillery,YES,100,98,98,3,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_2,STATE_ANHALT,combat_unit_type_lancers,YES,100,98,98,8,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_2,STATE_ANHALT,combat_unit_type_line_infantry,YES,100,98,98,10,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_2,STATE_LOWER_SILESIA,combat_unit_type_line_infantry,YES,100,54,54,19,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_3,STATE_BRANDENBURG,combat_unit_type_line_infantry,YES,100,6,6,4,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_3,STATE_LOWER_SILESIA,combat_unit_type_cannon_artillery,YES,100,54,54,3,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_3,STATE_LOWER_SILESIA,combat_unit_type_hussars,YES,100,54,54,7,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
PRU,cleanup2d3b_pru_land_3,STATE_LOWER_SILESIA,combat_unit_type_line_infantry,YES,100,54,54,25,YES,region_central_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GEN,cleanup2d3e_r1_gen_land_1,STATE_PIEDMONT,combat_unit_type_line_infantry,YES,100,2,2,2,YES,region_southern_europe,YES,0,R1_CAP_SAFE_PRESERVED
VEN,cleanup2d3e_r1_ven_land_1,STATE_ISTRIA,combat_unit_type_cannon_artillery,YES,100,11,11,1,YES,region_southern_europe,YES,0,R1_CAP_SAFE_PRESERVED
VEN,cleanup2d3e_r1_ven_land_1,STATE_ISTRIA,combat_unit_type_dragoons,YES,100,11,11,2,YES,region_southern_europe,YES,0,R1_CAP_SAFE_PRESERVED
