tag,file,formation,hq,scripted_regular,materializable_regular,scripted_conscript,materializable_conscript,expected_runtime_total,expected_runtime_empty,disposition,r2_correlation
CRI,00_military_formations_europe.txt,cleanup2d3e_r1_cri_land_1,region_eastern_europe,10,10,20,20,30,NO,PASS,STATIC_EFFECTIVE_AUDIT
PLC,00_military_formations_europe.txt,cleanup2d3e_r1_plc_land_1,region_eastern_europe,16,16,18,18,34,NO,PASS,STATIC_EFFECTIVE_AUDIT
PRU,00_military_formations_europe.txt,cleanup2d3b_pru_land_4,region_central_europe,39,39,24,24,63,NO,PASS,STATIC_EFFECTIVE_AUDIT
PRU,00_military_formations_europe.txt,cleanup2d3b_pru_land_1,region_central_europe,40,40,0,0,40,NO,PASS,STATIC_EFFECTIVE_AUDIT
PRU,00_military_formations_europe.txt,cleanup2d3b_pru_land_2,region_central_europe,40,40,0,0,40,NO,PASS,STATIC_EFFECTIVE_AUDIT
PRU,00_military_formations_europe.txt,cleanup2d3b_pru_land_3,region_central_europe,39,39,0,0,39,NO,PASS,STATIC_EFFECTIVE_AUDIT
GEN,00_military_formations_europe.txt,cleanup2d3e_r1_gen_land_1,region_southern_europe,2,2,1,1,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
VEN,00_military_formations_europe.txt,cleanup2d3e_r1_ven_land_1,region_southern_europe,11,11,6,6,17,NO,PASS,STATIC_EFFECTIVE_AUDIT
AUS,00_military_formations_europe.txt,cleanup2d3b_aus_land_3,region_balkans,35,35,39,39,74,NO,PASS,STATIC_EFFECTIVE_AUDIT
AUS,00_military_formations_europe.txt,cleanup2d3b_aus_land_4,region_central_europe,34,34,0,0,34,NO,PASS,STATIC_EFFECTIVE_AUDIT
AUS,00_military_formations_europe.txt,cleanup2d3b_aus_land_1,region_central_europe,36,36,0,0,36,NO,PASS,STATIC_EFFECTIVE_AUDIT
AUS,00_military_formations_europe.txt,cleanup2d3b_aus_land_2,region_southern_europe,35,35,0,0,35,NO,PASS,STATIC_EFFECTIVE_AUDIT
HUN,00_military_formations_europe.txt,generalkommando_ofen,region_balkans,28,28,0,0,28,NO,PASS,STATIC_EFFECTIVE_AUDIT
TRS,00_military_formations_europe.txt,generalkommando_hermannstadt,region_balkans,8,8,0,0,8,NO,PASS,STATIC_EFFECTIVE_AUDIT
FRA,00_military_formations_europe.txt,cleanup2d3b_fra_land_1,region_western_europe,42,42,72,72,114,NO,PASS,STATIC_EFFECTIVE_AUDIT
FRA,00_military_formations_europe.txt,cleanup2d3b_fra_land_2,region_western_europe,42,42,0,0,42,NO,PASS,STATIC_EFFECTIVE_AUDIT
FRA,00_military_formations_europe.txt,cleanup2d3b_fra_land_3,region_southern_europe,41,41,0,0,41,NO,PASS,STATIC_EFFECTIVE_AUDIT
FRA,00_military_formations_europe.txt,cleanup2d3b_fra_land_4,region_central_america,40,40,0,0,40,NO,PASS,STATIC_EFFECTIVE_AUDIT
GBR,00_military_formations_europe.txt,cleanup2d3b_gbr_land_2,region_atlantic_coast,11,11,43,43,54,NO,PASS,STATIC_EFFECTIVE_AUDIT
GBR,00_military_formations_europe.txt,Home_Army,region_western_europe,11,11,0,0,11,NO,PASS,STATIC_EFFECTIVE_AUDIT
GBR,00_military_formations_europe.txt,cleanup2d3b_gbr_land_4,region_southern_europe,9,9,0,0,9,NO,PASS,FIXED_EMPTY_RECRUITMENT_STATE
GBR,00_military_formations_europe.txt,cleanup2d3b_gbr_land_3,region_central_america,9,9,0,0,9,NO,PASS,STATIC_EFFECTIVE_AUDIT
GBR,00_military_formations_europe.txt,cleanup2d3b_gbr_land_5,region_south_india,9,9,0,0,9,NO,PASS,FIXED_EMPTY_RECRUITMENT_STATE
RUS,00_military_formations_europe.txt,cleanup2d3b_rus_land_1,region_russia,44,44,120,120,164,NO,PASS,STATIC_EFFECTIVE_AUDIT
RUS,00_military_formations_europe.txt,cleanup2d3b_rus_land_2,region_russia,44,44,0,0,44,NO,PASS,STATIC_EFFECTIVE_AUDIT
RUS,00_military_formations_europe.txt,cleanup2d3b_rus_land_3,region_russia,43,43,0,0,43,NO,PASS,STATIC_EFFECTIVE_AUDIT
RUS,00_military_formations_europe.txt,cleanup2d3b_rus_land_4,region_balkans,42,42,0,0,42,NO,PASS,STATIC_EFFECTIVE_AUDIT
RUS,00_military_formations_europe.txt,cleanup2d3b_rus_land_5,region_siberia,42,42,0,0,42,NO,PASS,STATIC_EFFECTIVE_AUDIT
CIR,00_military_formations_europe.txt,cleanup2d3e_r1_cir_land_1,region_russia,14,14,3,3,17,NO,PASS,STATIC_EFFECTIVE_AUDIT
CHC,00_military_formations_europe.txt,Murtazeki,region_russia,8,8,1,1,9,NO,PASS,STATIC_EFFECTIVE_AUDIT
BAD,00_military_formations_europe.txt,Groherzoglich_Badische_Armee,region_central_europe,9,9,3,3,12,NO,PASS,STATIC_EFFECTIVE_AUDIT
WUR,00_military_formations_europe.txt,Kniglich_Wrttembergische_Armee,region_central_europe,13,13,4,4,17,NO,PASS,STATIC_EFFECTIVE_AUDIT
SAX,00_military_formations_europe.txt,Kniglich_Schsische_Armee,region_central_europe,22,22,4,4,26,NO,PASS,STATIC_EFFECTIVE_AUDIT
BAV,00_military_formations_europe.txt,I_ArmeeKorps,region_central_europe,8,8,4,4,12,NO,PASS,STATIC_EFFECTIVE_AUDIT
HEK,00_military_formations_europe.txt,Kurfrstlich_Hessische_Armee,region_central_europe,5,5,1,1,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
