historical_person,tag,target_formation,existing_character_found,existing_character_file,existing_template,existing_dna,reuse_possible,reuse_method,duplicate_created,fallback,notes
Franciszek Ksawery Branicki,PLC,cleanup2d3e_r1_plc_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Friedrich Ehrenreich von Ramin,PRU,cleanup2d3b_pru_land_4,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Friedrich Christoph von Saldern,PRU,cleanup2d3b_pru_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Wichard Joachim Heinrich von Möllendorff,PRU,cleanup2d3b_pru_land_2,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Friedrich Bogislaw von Tauentzien,PRU,cleanup2d3b_pru_land_3,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Gabriel Splényi von Miháldy,AUS,cleanup2d3b_aus_land_3,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Joseph Šišković,AUS,cleanup2d3b_aus_land_4,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Andreas Hadik von Futak,AUS,cleanup2d3b_aus_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Giovanni Battista Serbelloni,AUS,cleanup2d3b_aus_land_2,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Claude-Louis-Robert de Saint-Germain,FRA,cleanup2d3b_fra_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Louis-Georges-Érasme de Contades,FRA,cleanup2d3b_fra_land_2,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Louis-François-Armand de Vignerot du Plessis,FRA,cleanup2d3b_fra_land_3,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Vital-Auguste de Grégoire de Nozières,FRA,cleanup2d3b_fra_land_4,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
William Howe,GBR,cleanup2d3b_gbr_land_2,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Jeffery Amherst,GBR,Home_Army,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
George Augustus Eliott,GBR,cleanup2d3b_gbr_land_4,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Grigory Potemkin,RUS,cleanup2d3b_rus_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Pyotr Rumyantsev,RUS,cleanup2d3b_rus_land_4,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Johann Clapier de Colongue,RUS,cleanup2d3b_rus_land_5,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Heinrich Christoph von Baudissin,SAX,Kniglich_Schsische_Armee,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
August Friedrich von Spörcken,HAN,Kniglich_Hannoversche_Armee,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Georg Magnus Sprengtporten,SWE,Kungliga_Svenska_Armn,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Lodewijk Ernst van Brunswijk-Wolfenbüttel,NET,Koninklijk_Nederlands_Leger,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Joseph-Jean-François de Ferraris,BEO,Armee_Belge,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Duarte António da Câmara,POR,Exercito_Portugues,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Antonio Ricardos,SPA,cleanup2d3b_spa_land_2,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Félix O'Neille y O'Neille,SPA,cleanup2d3b_spa_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
José Francisco Antonio Solano y Bote,SPA,cleanup2d3b_spa_land_3,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Daniyal Biy,BUK,cleanup2d3b_buk_land_1,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
