record_id,tag,formation,hq_region,current_2d4_general,regional_source,regional_decision,regional_candidate,global_override,final_decision,final_historical_character,reuse_existing_character,birth_date_source_value,birth_date_precision,birth_place_source_value,mapped_v3_origin_state,culture_final,religion_final,dna_action,historical_profile_action,notes
GEN1776-001,CRI,cleanup2d3e_r1_cri_land_1,region_eastern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5D,KEEP_PROCEDURAL,PROCEDURAL_GENERAL,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-002,PLC,cleanup2d3e_r1_plc_land_1,region_eastern_europe,Franciszek Ksawery Branicki,2D5D,KEEP_EXISTING_HISTORICAL,Franciszek Ksawery Branicki,,IMPLEMENT_HISTORICAL,Franciszek Ksawery Branicki,NO,c. 1730,YEAR (circa),"Barwałd, usually identified as Barwałd Górny",STATE_WEST_GALICIA (medium-confidence geographic mapping),Polish,Roman Catholic (high-confidence contextual identification; core biogram used here does not need a fabricated confessional date),DNA_PENDING_FUTURE_PORTRAIT_PHASE,REBUILD_2D4_HISTORICAL_PROFILE,
GEN1776-003,PRU,cleanup2d3b_pru_land_4,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,ACCEPT_REPLACE_PROCEDURAL,Friedrich Ehrenreich von Ramin,,IMPLEMENT_HISTORICAL,Friedrich Ehrenreich von Ramin,NO,1709-04-10,DAY,"Brüssow, Uckermark",STATE_BRANDENBURG,north_german,Evangelical/Protestant (source marks with uncertainty),DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-004,PRU,cleanup2d3b_pru_land_1,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,ACCEPT_REPLACE_PROCEDURAL,Friedrich Christoph von Saldern,,IMPLEMENT_HISTORICAL,Friedrich Christoph von Saldern,NO,1719-06-02,DAY,"Kolberg (Kołobrzeg), Pomerania",STATE_POMERANIA,north_german,Evangelical,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-005,PRU,cleanup2d3b_pru_land_2,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,ACCEPT_REPLACE_PROCEDURAL,Wichard Joachim Heinrich von Möllendorff,,IMPLEMENT_HISTORICAL,Wichard Joachim Heinrich von Möllendorff,NO,1724-01-07,DAY,"Lindenberg, Prignitz",STATE_BRANDENBURG,north_german,Evangelical,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-006,PRU,cleanup2d3b_pru_land_3,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,ACCEPT_REPLACE_PROCEDURAL,Friedrich Bogislaw (Boguslaw) von Tauentzien,,IMPLEMENT_HISTORICAL,Friedrich Bogislaw von Tauentzien,NO,1710-04-18,DAY,"Tauentzien (Tawecino), Lauenburg district, Hinterpommern",STATE_POMERANIA,north_german,Not independently verified in this audit,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-007,GEN,cleanup2d3e_r1_gen_land_1,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-008,VEN,cleanup2d3e_r1_ven_land_1,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-009,AUS,cleanup2d3b_aus_land_3,region_balkans,Andreas Hadik,2D5C,ACCEPT_REPLACE_CURRENT_AND_REMAP_HADIK,Gabriel Freiherr Splényi von Miháldy,,IMPLEMENT_HISTORICAL,Gabriel Splényi von Miháldy,NO,1734-10-02,DAY,"Ternyn, Upper Hungary",STATE_SLOVAKIA,hungarian,Catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REPLACE_2D4_HISTORICAL_SELECTION_AND_BUILD_PROFILE,
GEN1776-010,AUS,cleanup2d3b_aus_land_4,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,ACCEPT_REPLACE_PROCEDURAL,Joseph (Josip/József) Šišković,,IMPLEMENT_HISTORICAL,Joseph Šišković,NO,1719-07-02,DAY,Szeged,STATE_CENTRAL_HUNGARY,croat,Catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-011,AUS,cleanup2d3b_aus_land_1,region_central_europe,Franz Moritz von Lacy,2D5C,ACCEPT_REPLACE_LACY_HIGHER_COMMAND_ABSTRACTION,Andreas Hadik von Futak,,IMPLEMENT_HISTORICAL,Andreas Hadik von Futak,NO,1710-10-16,DAY,"Csallóköz / Große Schüttinsel (Žitný ostrov), Kingdom of Hungary",STATE_SLOVAKIA,hungarian,Catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REPLACE_2D4_HISTORICAL_SELECTION_AND_BUILD_PROFILE,
GEN1776-012,AUS,cleanup2d3b_aus_land_2,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,ACCEPT_REPLACE_PROCEDURAL,Giovanni Battista Serbelloni,,IMPLEMENT_HISTORICAL,Giovanni Battista Serbelloni,NO,1696,YEAR,Milan (probable; exact birthplace not independently pinned down in this audit),STATE_LOMBARDY,north_italian,Catholic (probable; not independently proven in this audit),DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-013,HUN,generalkommando_ofen,region_balkans,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-014,TRS,generalkommando_hermannstadt,region_balkans,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-015,FRA,cleanup2d3b_fra_land_1,region_western_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5B,IMPLEMENT_HISTORICAL,"Claude-Louis-Robert, comte de Saint-Germain",,IMPLEMENT_HISTORICAL,Claude-Louis-Robert de Saint-Germain,NO,1707-04-15,DAY,"Vertamboz, Franche-Comté (actuel Jura)",STATE_FRANCHE_COMTE,french,catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-016,FRA,cleanup2d3b_fra_land_2,region_western_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5B,IMPLEMENT_HISTORICAL,Louis-Georges-Érasme de Contades,,IMPLEMENT_HISTORICAL,Louis-Georges-Érasme de Contades,NO,1704-10-11,DAY,"Château de Montgeoffroy, Mazé, Anjou",STATE_LOIRE (mapping géographique probable; vérifier la clé vanilla 1.13 si absente de l'index du fork),french,catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-017,FRA,cleanup2d3b_fra_land_3,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5B,IMPLEMENT_HISTORICAL,"Louis-François-Armand de Vignerot du Plessis, duc de Richelieu",,IMPLEMENT_HISTORICAL,Louis-François-Armand de Vignerot du Plessis,NO,1696-03-13,DAY,Paris,STATE_ILE_DE_FRANCE,french,catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-018,FRA,cleanup2d3b_fra_land_4,region_central_america,DEFAULT_TEMPLATE_PROCEDURAL,2D5A+2D5B,USE_HISTORICAL_GENERAL | IMPLEMENT_HISTORICAL,"Vital-Auguste de Grégoire, comte de Nozières | Victor-Thérèse Charpentier d'Ennery",2D5A colonial authority: Nozières; d'Ennery reserved for HAI,IMPLEMENT_HISTORICAL,Vital-Auguste de Grégoire de Nozières,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,french,"catholic (MEDIUM; recommendation, not independently proven in this audit)",DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-019,GBR,cleanup2d3b_gbr_land_2,region_atlantic_coast,William Howe,2D5A+2D5B,USE_HISTORICAL_GENERAL | KEEP_EXISTING_HISTORICAL,"William Howe, 5th Viscount Howe | William Howe, 5th Viscount Howe",,IMPLEMENT_HISTORICAL,William Howe,NO,1729-08-10,DAY,"Exact birthplace not confirmed in the priority sources consulted; Howe family seat was Langar Hall, Nottinghamshire","STATE_MIDLANDS (TENTATIVE; based on Nottinghamshire family-seat association, not a proven birthplace)",british,"protestant (MEDIUM; likely Anglican abstraction, not a primary-source finding of this audit)",DNA_PENDING_FUTURE_PORTRAIT_PHASE,REBUILD_2D4_HISTORICAL_PROFILE,
GEN1776-020,GBR,Home_Army,region_western_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5B,IMPLEMENT_HISTORICAL,Jeffery Amherst,,IMPLEMENT_HISTORICAL,Jeffery Amherst,NO,1717-01-29,DAY,"Riverhead, Sevenoaks, Kent",STATE_HOME_COUNTIES,british,protestant,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-021,GBR,cleanup2d3b_gbr_land_4,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5B,IMPLEMENT_HISTORICAL,George Augustus Eliott,,IMPLEMENT_HISTORICAL,George Augustus Eliott,NO,1717-12-25,DAY,"Stobs, Roxburghshire, Scotland",STATE_LOWLANDS,scottish,protestant,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-022,GBR,cleanup2d3b_gbr_land_3,region_central_america,DEFAULT_TEMPLATE_PROCEDURAL,2D5A+2D5B,KEEP_PROCEDURAL | IMPLEMENT_HISTORICAL,NONE | Montfort Browne,KEEP_PROCEDURAL; Montfort Browne rejected for 1776-01-01,KEEP_EXISTING_PROCEDURAL,,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-023,GBR,cleanup2d3b_gbr_land_5,region_south_india,DEFAULT_TEMPLATE_PROCEDURAL,2D5B,IMPLEMENT_HISTORICAL,John Clavering,KEEP_PROCEDURAL; John Clavering remains BIC GEN1776-122 only,KEEP_EXISTING_PROCEDURAL,,NO,1722,YEAR,UNKNOWN — le siège familial de Greencroft (County Durham) n'est pas promu comme lieu de naissance sans preuve explicite,,british,protestant,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-024,RUS,cleanup2d3b_rus_land_1,region_russia,DEFAULT_TEMPLATE_PROCEDURAL,2D5D,IMPLEMENT_HISTORICAL,Grigory Alexandrovich Potemkin,,IMPLEMENT_HISTORICAL,Grigory Potemkin,NO,1739-10-11 (New Style; 1739-09-30 Old Style),DAY,"Chizhovo, Smolensk uezd",STATE_SMOLENSK,Russian,Russian Orthodox,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-025,RUS,cleanup2d3b_rus_land_2,region_russia,DEFAULT_TEMPLATE_PROCEDURAL,2D5D,KEEP_PROCEDURAL,PROCEDURAL_GENERAL,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-026,RUS,cleanup2d3b_rus_land_3,region_russia,DEFAULT_TEMPLATE_PROCEDURAL,2D5D,KEEP_PROCEDURAL,PROCEDURAL_GENERAL,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-027,RUS,cleanup2d3b_rus_land_4,region_balkans,Pyotr Rumyantsev,2D5D,KEEP_EXISTING_HISTORICAL,Pyotr Alexandrovich Rumyantsev,,IMPLEMENT_HISTORICAL,Pyotr Rumyantsev,NO,1725-01-15 (New Style; 1725-01-04 Old Style),DAY,Moscow,STATE_MOSCOW,Russian,Russian Orthodox,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REBUILD_2D4_HISTORICAL_PROFILE,
GEN1776-028,RUS,cleanup2d3b_rus_land_5,region_siberia,DEFAULT_TEMPLATE_PROCEDURAL,2D5D,IMPLEMENT_HISTORICAL,Johann (Ivan) Alexandrovich Clapier de Colongue / Decolong,,IMPLEMENT_HISTORICAL,Johann Clapier de Colongue,NO,1719-11-24 (New Style; 1719-11-13 Old Style) — conflicts with RGVIA guide's 1716,DAY (but year conflict across authoritative references),Exact locality not securely established in the sources used; Baltic/Estland origin is reported,UNKNOWN — do not invent a state mapping,Baltic German (Deutschbalte in Amburger database),UNKNOWN — Amburger explicitly gives no religion,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-029,CIR,cleanup2d3e_r1_cir_land_1,region_russia,DEFAULT_TEMPLATE_PROCEDURAL,2D5D+2D5G,KEEP_PROCEDURAL | KEEP_PROCEDURAL,PROCEDURAL_GENERAL,KEEP_PROCEDURAL collective structure,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
