nav_record_id,tag,formation,ship_count,admiral,current_rank,base_command_limit,deterministic_modifier,guaranteed_command_limit,minimum_required_rank,final_rank,capacity_sufficient,decision
NAV1776-001,GEN,merchant_venice_fleet,3,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,KEEP_NO_FIXED_STARTING_ADMIRAL; vanilla no-commander fallback 20 is sufficient
NAV1776-002,VEN,merchant_venice_fleet,7,Antonio Renier,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-003,AUS,cleanup2d3e_r1_aus_naval_1,3,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,KEEP_NO_FIXED_STARTING_ADMIRAL; vanilla no-commander fallback 20 is sufficient
NAV1776-004,FRA,cleanup2d3b_fra_naval_2,13,"Paul-Hippolyte de Beauvilliers, marquis de La Ferté-Saint-Aignan",commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-005,FRA,cleanup2d3b_fra_naval_1,22,"Louis Guillouet, comte d'Orvilliers",commander_rank_2,20,0,40,commander_rank_2,commander_rank_2,YES,PROMOTE_NEW_ADMIRAL_TO_SMALLEST_SUFFICIENT_NAVAL_RANK
NAV1776-006,FRA,cleanup2d3b_fra_naval_3,6,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-007,GBR,Mediterranean_Station,12,Robert Man (elder),commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-008,GBR,North_America_and_West_Indies_Station,12,Samuel Graves,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-009,GBR,cleanup2d3b_gbr_naval_6,5,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-010,GBR,cleanup2d3b_gbr_naval_5,7,Edward Hughes,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_OR_REUSE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-011,GBR,cleanup2d3b_gbr_naval_1,50,Sir James Douglas,commander_rank_3,20,0,60,commander_rank_3,commander_rank_3,YES,PROMOTE_NEW_ADMIRAL_TO_SMALLEST_SUFFICIENT_NAVAL_RANK
NAV1776-012,GBR,cleanup2d3b_gbr_naval_2,28,John Amherst,commander_rank_2,20,0,40,commander_rank_2,commander_rank_2,YES,PROMOTE_NEW_ADMIRAL_TO_SMALLEST_SUFFICIENT_NAVAL_RANK
NAV1776-013,GBR,cleanup2d3b_gbr_naval_7,6,George Mackenzie,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-014,RUS,cleanup2d3b_rus_naval_1,25,Samuil Karlovich Greig,commander_rank_2,20,0,40,commander_rank_2,commander_rank_2,YES,PROMOTE_NEW_ADMIRAL_TO_SMALLEST_SUFFICIENT_NAVAL_RANK
NAV1776-015,RUS,cleanup2d3b_rus_naval_2,7,Alexei Naumovich Senyavin,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-016,SWE,cleanup2d3b_swe_naval_2,6,Henrik af Trolle,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-017,SWE,cleanup2d3b_swe_naval_1,16,Carl Tersmeden,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-018,DENNOR,Kongelige_Danske_Marine,14,Frederik Christian Kaas,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-019,SIC,Armata_di_Mare_di_SM_il_Re_del_Regno_delle_Due_Sicilie,8,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-020,SAR,Marina_del_Regno_di_Sardegna,5,Francesco Maria De Nobili,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-021,PAP,Marina_Pontificia,1,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-022,TUS,Marina_del_Granducato_di_Toscana,1,John Francis Edward Acton,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-023,NET,cleanup2d3b_net_naval_2,5,Andries Hartsinck,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-024,NET,cleanup2d3b_net_naval_1,9,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,COLLECTIVE_COMMAND_NO_SINGLE_ADMIRAL
NAV1776-025,POR,cleanup2d3b_por_naval_2,4,Roberto Macdouall,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-026,POR,cleanup2d3b_por_naval_1,8,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-027,SPA,cleanup2d3b_spa_naval_3,13,Juan Bautista Bonet Arniaud,commander_rank_1,20,0,20,commander_rank_1,commander_rank_1,YES,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-028,SPA,cleanup2d3b_spa_naval_1,17,NO_FIXED_STARTING_ADMIRAL,NO_COMMANDER,20,0,20,NO_COMMANDER_FALLBACK,NO_COMMANDER,YES,FINAL HISTORICAL DECISION OVERRIDES capacity-only KEEP_CURRENT_RANK; no-commander fallback 20 covers 17 ships
