nav_record_id,candidate,source_birth_value,source_precision,implemented_birth_date,implemented_age,implemented_home_region,birthplace_claimed,technical_gameplay_fallback,precision_preserved,fake_exact_birth_date,baptism_as_birth_date,decision,notes
NAV1776-002,Antonio Renier,1708,YEAR_ONLY,,67,,NO,AGE_APPROXIMATION,YES,NO,NO,TECHNICAL_AGE_ONLY,
NAV1776-004,"Paul-Hippolyte de Beauvilliers, marquis de La Ferté-Saint-Aignan",1712-12-26,DAY,1712.12.26,,,NO,NONE,YES,NO,NO,EXACT_DATE,
NAV1776-005,"Louis Guillouet, comte d'Orvilliers",1710-03-26,DAY,1710.3.26,,,NO,NONE,YES,NO,NO,EXACT_DATE,
NAV1776-007,Robert Man (elder),UNKNOWN,UNKNOWN,,,,NO,NONE,YES,NO,NO,NO_DATE_ENCODED,
NAV1776-008,Samuel Graves,1713-04-17,DAY,1713.4.17,,,NO,NONE,YES,NO,NO,EXACT_DATE,
NAV1776-010,Edward Hughes,c.1716,APPROXIMATE_YEAR,,59,,NO,AGE_APPROXIMATION,YES,NO,NO,TECHNICAL_AGE_ONLY,
NAV1776-011,Sir James Douglas,1703,YEAR,,72,,NO,AGE_APPROXIMATION,YES,NO,NO,TECHNICAL_AGE_ONLY,
NAV1776-012,John Amherst,c.1718,APPROXIMATE_YEAR,,57,,NO,AGE_APPROXIMATION,YES,NO,NO,TECHNICAL_AGE_ONLY,
NAV1776-013,George Mackenzie,UNKNOWN,UNKNOWN,,,,NO,NONE,YES,NO,NO,NO_DATE_ENCODED,
NAV1776-014,Samuil Karlovich Greig,1735-11-30 (British Old Style traditional date),DAY_EXACT; CALENDAR_CONFLICT,1735.11.30,,,NO,NONE,YES,NO,NO,EXACT_DATE,Old Style date retained; calendar conflict documented.
NAV1776-015,Alexei Naumovich Senyavin,1722-10-05 OS / 1722-10-16 NS,DAY_EXACT,1722.10.5,,,NO,NONE,YES,NO,NO,EXACT_DATE,Old Style date retained; calendar conflict documented.
NAV1776-016,Henrik af Trolle,1730-11-24,DAY_EXACT,1730.11.24,,,NO,NONE,YES,NO,NO,EXACT_DATE,
NAV1776-017,Carl Tersmeden,1715-04-23,DAY_EXACT,1715.4.23,,,NO,NONE,YES,NO,NO,EXACT_DATE,
NAV1776-018,Frederik Christian Kaas,1725-12-01,DAY_EXACT,1725.12.1,,,NO,NONE,YES,NO,NO,EXACT_DATE,
NAV1776-020,Francesco Maria De Nobili,UNKNOWN,UNKNOWN,,,,NO,NONE,YES,NO,NO,NO_DATE_ENCODED,
NAV1776-022,John Francis Edward Acton,1736-06,MONTH_ONLY,,39,,NO,AGE_APPROXIMATION,YES,NO,NO,TECHNICAL_AGE_ONLY,
NAV1776-023,Andries Hartsinck,1720-04-25,EXACT_DAY,1720.4.25,,,NO,NONE,YES,NO,NO,EXACT_DATE,
NAV1776-025,Roberto Macdouall,UNKNOWN,UNKNOWN,,,,NO,PRIMARY_CULTURE_FALLBACK,YES,NO,NO,NO_DATE_ENCODED,
NAV1776-027,Juan Bautista Bonet Arniaud,1707,YEAR,,68,,NO,AGE_APPROXIMATION,YES,NO,NO,TECHNICAL_AGE_ONLY,
NAV1776-030,Esek Hopkins,1718-04-26,DAY,1718.4.26,,STATE_RHODE_ISLAND,YES,NONE,YES,NO,NO,EXACT_DATE,
NAV1776-035,Cezayirli Gazi Hasan Paşa,c.1714,CIRCA_YEAR / RANGE,,61,,NO,AGE_APPROXIMATION;PRIMARY_CULTURE_FALLBACK,YES,NO,NO,TECHNICAL_AGE_ONLY,
NAV1776-036,Hilāl ibn Aḥmad ibn Saʿīd al-Būsaʿīdī,before 1737-03-10,TERMINUS_ANTE_QUEM,,,,NO,PRIMARY_CULTURE_FALLBACK,YES,NO,NO,NO_DATE_ENCODED,
NAV1776-037,Anandrao Dhulap,UNKNOWN,UNKNOWN,,40,STATE_BOMBAY,NO,AGE_APPROXIMATION;HOME_REGION_NOT_BIRTHPLACE,YES,NO,NO,TECHNICAL_AGE_ONLY,
NAV1776-039,Li Fengyao,UNKNOWN,UNKNOWN,,,,NO,PRIMARY_CULTURE_FALLBACK,YES,NO,NO,NO_DATE_ENCODED,
NAV1776-040,Zhang Shen,UNKNOWN,UNKNOWN,,,,NO,PRIMARY_CULTURE_FALLBACK,YES,NO,NO,NO_DATE_ENCODED,
NAV1776-041,Assuerus van den Bergh,UNKNOWN,UNKNOWN,,,,NO,PRIMARY_CULTURE_FALLBACK,YES,NO,NO,NO_DATE_ENCODED,
