nav_record_id,tag,country_name,formation,source_file,hq_region,ship_count,research_batch,source_packet,source_decision,final_candidate,mapping_type,final_decision,arbitration_note,current_admiral_count,current_admiral_note,final_rank,guaranteed_command_limit,rank_capacity_decision
NAV1776-001,GEN,Republic of Genoa,merchant_venice_fleet,00_military_formations_europe.txt,region_southern_europe,3,2D-6D,2D-6D,KEEP_NO_FIXED_STARTING_ADMIRAL,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,,0,0,NO_COMMANDER,20,KEEP_NO_FIXED_STARTING_ADMIRAL; vanilla no-commander fallback 20 is sufficient
NAV1776-002,VEN,Republic of Venice,merchant_venice_fleet,00_military_formations_europe.txt,region_southern_europe,7,2D-6D,2D-6D,ADD_HISTORICAL_STARTING_ADMIRAL,Antonio Renier,,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-003,AUS,Habsburg Monarchy / Austria,cleanup2d3e_r1_aus_naval_1,00_military_formations_europe.txt,region_balkans,3,2D-6D,2D-6D,KEEP_NO_FIXED_STARTING_ADMIRAL,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,,0,0,NO_COMMANDER,20,KEEP_NO_FIXED_STARTING_ADMIRAL; vanilla no-commander fallback 20 is sufficient
NAV1776-004,FRA,France,cleanup2d3b_fra_naval_2,00_military_formations_europe.txt,region_southern_europe,13,2D-6A,2D-6A,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,"Paul-Hippolyte de Beauvilliers, marquis de La Ferté-Saint-Aignan",PORT_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-005,FRA,France,cleanup2d3b_fra_naval_1,00_military_formations_europe.txt,region_western_europe,22,2D-6A,2D-6A,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,"Louis Guillouet, comte d'Orvilliers",PORT_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_2,40,PROMOTE_NEW_ADMIRAL_TO_SMALLEST_SUFFICIENT_NAVAL_RANK
NAV1776-006,FRA,France,cleanup2d3b_fra_naval_3,00_military_formations_europe.txt,region_central_america,6,2D-6A,2D-6A,KEEP_NO_FIXED_STARTING_ADMIRAL,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,,0,0,NO_COMMANDER,20,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-007,GBR,Great Britain,Mediterranean_Station,00_military_formations_europe.txt,region_southern_europe,12,2D-6A,2D-6A,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,Robert Man (elder),STATION_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-008,GBR,Great Britain,North_America_and_West_Indies_Station,00_military_formations_europe.txt,region_atlantic_coast,12,2D-6A,2D-6A,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,Samuel Graves,STATION_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-009,GBR,Great Britain,cleanup2d3b_gbr_naval_6,00_military_formations_europe.txt,region_east_africa,5,2D-6A,2D-6A,KEEP_NO_FIXED_STARTING_ADMIRAL,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,2D-6I independently confirms no defensible separate Cape/East Africa command in 1776,0,0,NO_COMMANDER,20,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-010,GBR,Great Britain,cleanup2d3b_gbr_naval_5,00_military_formations_europe.txt,region_south_india,7,2D-6A,2D-6A,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,Edward Hughes,STATION_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,2D-6G independently agrees on Edward Hughes but conflicts on whether an active repo character already exists; mandatory repo-wide reuse preflight,0,0,commander_rank_1,20,CREATE_OR_REUSE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-011,GBR,Great Britain,cleanup2d3b_gbr_naval_1,00_military_formations_europe.txt,region_western_europe,50,2D-6A,2D-6A,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,Sir James Douglas,NAVAL_BASE_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_3,60,PROMOTE_NEW_ADMIRAL_TO_SMALLEST_SUFFICIENT_NAVAL_RANK
NAV1776-012,GBR,Great Britain,cleanup2d3b_gbr_naval_2,00_military_formations_europe.txt,region_western_europe,28,2D-6A,2D-6A,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,John Amherst,NAVAL_BASE_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_2,40,PROMOTE_NEW_ADMIRAL_TO_SMALLEST_SUFFICIENT_NAVAL_RANK
NAV1776-013,GBR,Great Britain,cleanup2d3b_gbr_naval_7,00_military_formations_europe.txt,region_western_europe,6,2D-6A,2D-6A,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,George Mackenzie,STATION_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-014,RUS,Russia,cleanup2d3b_rus_naval_1,00_military_formations_europe.txt,region_russia,25,2D-6C,2D-6C,IMPLEMENT,Samuil Karlovich Greig,NAVAL_BASE_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_2,40,PROMOTE_NEW_ADMIRAL_TO_SMALLEST_SUFFICIENT_NAVAL_RANK
NAV1776-015,RUS,Russia,cleanup2d3b_rus_naval_2,00_military_formations_europe.txt,region_balkans,7,2D-6C,2D-6C,IMPLEMENT,Alexei Naumovich Senyavin,HIGHER_NAVAL_COMMAND_ABSTRACTION,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-016,SWE,Sweden,cleanup2d3b_swe_naval_2,00_military_formations_europe.txt,region_northern_europe,6,2D-6C,2D-6C,IMPLEMENT,Henrik af Trolle,SQUADRON_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-017,SWE,Sweden,cleanup2d3b_swe_naval_1,00_military_formations_europe.txt,region_northern_europe,16,2D-6C,2D-6C,IMPLEMENT,Carl Tersmeden,NAVAL_BASE_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-018,DENNOR,Denmark-Norway,Kongelige_Danske_Marine,00_military_formations_europe.txt,region_northern_europe,14,2D-6C,2D-6C,IMPLEMENT,Frederik Christian Kaas,HIGHER_NAVAL_COMMAND_ABSTRACTION,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-019,SIC,Two Sicilies,Armata_di_Mare_di_SM_il_Re_del_Regno_delle_Due_Sicilie,00_military_formations_europe.txt,region_southern_europe,8,2D-6D,2D-6D,KEEP_NO_FIXED_STARTING_ADMIRAL,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,,0,0,NO_COMMANDER,20,KEEP_NO_FIXED_STARTING_ADMIRAL
