record_id,tag,country_name,formation,source_file,hq_region,expected_runtime_total,implementation_decision,recommended_character,formation_scopes_before,commanders_before,planned_action,formation_scope_after,character_scope_after,commander_after,historical_after,attachment_after,static_result
GEN1776-001,CRI,Crimea,cleanup2d3e_r1_cri_land_1,00_military_formations_europe.txt,region_eastern_europe,30,PROCEDURAL_ALLOWED,,crimea_army,Anvar Ayaz,REPLACE_LEGACY_WITH_PROCEDURAL,crimea_army,cleanup2d4_general_001,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_001->scope:crimea_army,PASS
GEN1776-002,PLC,Poland-Lithuania,cleanup2d3e_r1_plc_land_1,00_military_formations_europe.txt,region_eastern_europe,34,IMPLEMENT_NAMED_MILITARY_OFFICEHOLDER,Franciszek Ksawery Branicki,polish_Armeee,Piotr von_Zieten,REPLACE_LEGACY_WITH_NAMED,polish_Armeee,cleanup2d4_general_002,Franciszek Ksawery Branicki,YES,scope:cleanup2d4_general_002->scope:polish_Armeee,PASS
GEN1776-003,PRU,Prussia,cleanup2d3b_pru_land_4,00_military_formations_europe.txt,region_central_europe,63,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_003,cleanup2d4_general_003,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_003->scope:cleanup2d4_formation_003,PASS
GEN1776-004,PRU,Prussia,cleanup2d3b_pru_land_1,00_military_formations_europe.txt,region_central_europe,40,PROCEDURAL_ALLOWED,,2_Armee,Wilhelm von_Krauseneck,REPLACE_LEGACY_WITH_PROCEDURAL,2_Armee,cleanup2d4_general_004,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_004->scope:2_Armee,PASS
GEN1776-005,PRU,Prussia,cleanup2d3b_pru_land_2,00_military_formations_europe.txt,region_central_europe,40,PROCEDURAL_ALLOWED,,main_Armee,Helmuth von_Moltke,REPLACE_LEGACY_WITH_PROCEDURAL,main_Armee,cleanup2d4_general_005,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_005->scope:main_Armee,PASS
GEN1776-006,PRU,Prussia,cleanup2d3b_pru_land_3,00_military_formations_europe.txt,region_central_europe,39,PROCEDURAL_ALLOWED,,Elbe_Armee,Hans_Ernst_Karl von_Zieten,REPLACE_LEGACY_WITH_PROCEDURAL,Elbe_Armee,cleanup2d4_general_006,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_006->scope:Elbe_Armee,PASS
GEN1776-007,GEN,Most Serene Republic of Genoa,cleanup2d3e_r1_gen_land_1,00_military_formations_europe.txt,region_southern_europe,3,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_007,cleanup2d4_general_007,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_007->scope:cleanup2d4_formation_007,PASS
GEN1776-008,VEN,Venice,cleanup2d3e_r1_ven_land_1,00_military_formations_europe.txt,region_southern_europe,17,PROCEDURAL_ALLOWED,,NONE,NONE,ADD_PROCEDURAL,cleanup2d4_formation_008,cleanup2d4_general_008,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_008->scope:cleanup2d4_formation_008,PASS
GEN1776-009,AUS,Austria,cleanup2d3b_aus_land_3,00_military_formations_europe.txt,region_balkans,74,IMPLEMENT_NAMED_MILITARY_OFFICEHOLDER,Andreas Hadik,NONE,NONE,ADD_NAMED,cleanup2d4_formation_009,cleanup2d4_general_009,Andreas Hadik,YES,scope:cleanup2d4_general_009->scope:cleanup2d4_formation_009,PASS
GEN1776-010,AUS,Austria,cleanup2d3b_aus_land_4,00_military_formations_europe.txt,region_central_europe,34,PROCEDURAL_ALLOWED,,generalkommando_lemberg,NONE,ADD_PROCEDURAL,generalkommando_lemberg,cleanup2d4_general_010,DEFAULT_TEMPLATE_PROCEDURAL,NO,scope:cleanup2d4_general_010->scope:generalkommando_lemberg,PASS
