record_id,research_batch,tag,country_name,formation,source_file,hq_region,expected_runtime_total,reference_date,commander_required_2d4,command_role_type,recommended_character,office_or_role_1776,implementation_decision,procedural_allowed,research_status,role_identity_confidence,formation_mapping_confidence,structural_context,source_1,source_2,legacy_action,notes
GEN1776-001,03_MIDDLE_EAST_CAUCASUS,CRI,Crimea,cleanup2d3e_r1_cri_land_1,00_military_formations_europe.txt,region_eastern_europe,30,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-002,00_EUROPE_POST_2D3,PLC,Poland-Lithuania,cleanup2d3e_r1_plc_land_1,00_military_formations_europe.txt,region_eastern_europe,34,1776-01-01,YES,HIGHER_COMMAND_ABSTRACTION,Franciszek Ksawery Branicki,Grand Crown Hetman (Hetman Wielki Koronny),IMPLEMENT_NAMED_MILITARY_OFFICEHOLDER,NO,NAMED_HISTORICAL_CANDIDATE,HIGH,MEDIUM,,https://www.ipsb.nina.gov.pl/a/biografia/franciszek-ksawery-branicki-h-korczak-zm-1819-hetman-wielki-koronny,https://polonika.pl/abc-dziedzictwa/indeks-osob/-braniccy-,REPLACE_IF_MISMATCH_OR_CREATE_IF_MISSING,Senior Crown military officeholder. The single V3 formation is an abstraction of Commonwealth forces.
GEN1776-003,00_EUROPE_POST_2D3,PRU,Prussia,cleanup2d3b_pru_land_4,00_military_formations_europe.txt,region_central_europe,63,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,REPLACE_BROKEN_OR_ANACHRONISTIC_LEGACY_IF_PRESENT,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-004,00_EUROPE_POST_2D3,PRU,Prussia,cleanup2d3b_pru_land_1,00_military_formations_europe.txt,region_central_europe,40,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,REPLACE_BROKEN_OR_ANACHRONISTIC_LEGACY_IF_PRESENT,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-005,00_EUROPE_POST_2D3,PRU,Prussia,cleanup2d3b_pru_land_2,00_military_formations_europe.txt,region_central_europe,40,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,REPLACE_BROKEN_OR_ANACHRONISTIC_LEGACY_IF_PRESENT,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-006,00_EUROPE_POST_2D3,PRU,Prussia,cleanup2d3b_pru_land_3,00_military_formations_europe.txt,region_central_europe,39,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,REPLACE_BROKEN_OR_ANACHRONISTIC_LEGACY_IF_PRESENT,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-007,00_EUROPE_POST_2D3,GEN,Most Serene Republic of Genoa,cleanup2d3e_r1_gen_land_1,00_military_formations_europe.txt,region_southern_europe,3,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-008,00_EUROPE_POST_2D3,VEN,Venice,cleanup2d3e_r1_ven_land_1,00_military_formations_europe.txt,region_southern_europe,17,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-009,00_EUROPE_POST_2D3,AUS,Austria,cleanup2d3b_aus_land_3,00_military_formations_europe.txt,region_balkans,74,1776-01-01,YES,HIGHER_COMMAND_ABSTRACTION,Andreas Hadik,President of the Hofkriegsrat; field marshal,IMPLEMENT_NAMED_MILITARY_OFFICEHOLDER,NO,NAMED_HISTORICAL_CANDIDATE,HIGH,MEDIUM_LOW,,https://www.archivinformationssystem.at/archivplansuche.aspx?ID=2351669,https://www.deutsche-digitale-bibliothek.de/item/VVRDBH2Q4K3Z3HRBZQ4CJR7D2NB7QBJ4,REPLACE_IF_MISMATCH_OR_CREATE_IF_MISSING,Senior central military authority; not evidence of literal command of a formation identical to this post-2D3 Balkan aggregate.
GEN1776-010,00_EUROPE_POST_2D3,AUS,Austria,cleanup2d3b_aus_land_4,00_military_formations_europe.txt,region_central_europe,34,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-011,00_EUROPE_POST_2D3,AUS,Austria,cleanup2d3b_aus_land_1,00_military_formations_europe.txt,region_central_europe,36,1776-01-01,YES,HIGHER_COMMAND_ABSTRACTION,Franz Moritz von Lacy,Field marshal and senior military adviser after leaving the Hofkriegsrat presidency in 1774,IMPLEMENT_NAMED_MILITARY_OFFICEHOLDER,NO,NAMED_HISTORICAL_CANDIDATE,HIGH,MEDIUM_LOW,,https://www.archivinformationssystem.at/detail.aspx?ID=4761,https://www.archivinformationssystem.at/archivplansuche.aspx?ID=2351669,REPLACE_IF_MISMATCH_OR_CREATE_IF_MISSING,Higher-command abstraction only; do not claim literal command of an army bearing the generated formation name.
GEN1776-012,00_EUROPE_POST_2D3,AUS,Austria,cleanup2d3b_aus_land_2,00_military_formations_europe.txt,region_southern_europe,35,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-013,00_EUROPE_POST_2D3,HUN,Hungary,generalkommando_ofen,00_military_formations_europe.txt,region_balkans,28,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-014,00_EUROPE_POST_2D3,TRS,Transylvania,generalkommando_hermannstadt,00_military_formations_europe.txt,region_balkans,8,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-015,00_EUROPE_POST_2D3,FRA,France,cleanup2d3b_fra_land_1,00_military_formations_europe.txt,region_western_europe,114,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
